Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2011-2012,Aaron Palushaj,MTL,F,362.0,133.0,,,228.0,211.0,192.0,430.0,411.0,400.0,46.0,191.0,,413.0,Fringe,38,287.51666666667,1,1,35,1989-09-07,USA,USA,72,187,2007,2,14,44
2011-2012,Aaron Volpatti,VAN,F,430.0,183.0,,,417.0,192.0,396.0,406.0,439.0,441.0,431.0,11.0,,428.0,Bottom 6,23,206.28333333333,1,0,40,1985-05-30,CAN,CAN,72,215,-,-,-,-
2011-2012,Adam Burish,DAL,F,341.0,126.0,,102.0,374.0,166.0,338.0,328.0,438.0,351.0,377.0,182.0,123.0,287.0,Bottom 6,65,831.21666666667,6,7,42,1983-01-06,USA,USA,73,195,2002,9,22,282
2011-2012,Adam Hall,TBL,F,345.0,54.0,,104.0,385.0,50.0,282.0,416.0,434.0,363.0,179.0,132.0,119.0,323.0,Bottom 6,57,676.35,2,4,45,1980-08-14,USA,USA,74,212,1999,2,24,52
2011-2012,Adam Henrique,NJD,F,311.0,53.0,190.0,106.0,305.0,82.0,380.0,257.0,365.0,120.0,281.0,297.0,149.0,140.0,First Line,74,1343.85,16,18,35,1990-02-06,CAN,CAN,72,195,2008,3,21,82
2011-2012,Ales Hemsky,EDM,F,102.0,414.0,150.0,,128.0,374.0,193.0,192.0,294.0,21.0,122.0,404.0,,105.0,Second Line,69,1214.4,10,13,42,1983-08-13,CZE,CZE,72,177,2001,1,13,13
2011-2012,Alex Ovechkin,WSH,F,9.0,371.0,13.0,,161.0,289.0,1.0,5.0,142.0,51.0,19.0,108.0,,4.0,First Line,78,1544.4166666667,38,14,39,1985-09-17,RUS,RUS,75,238,2004,1,1,1
2011-2012,Alex Tanguay,CGY,F,155.0,308.0,144.0,132.0,119.0,249.0,419.0,224.0,124.0,14.0,193.0,412.0,,123.0,First Line,64,1218.9166666667,13,25,45,1979-11-21,CAN,CAN,73,194,1998,1,12,12
2011-2012,Alexander Burmistrov,WPG,F,334.0,331.0,242.0,101.0,260.0,283.0,336.0,320.0,160.0,370.0,84.0,214.0,140.0,300.0,Second Line,76,1266.35,13,7,33,1991-10-21,RUS,RUS,73,180,2010,1,8,8
2011-2012,Alexander Semin,WSH,F,6.0,289.0,46.0,233.0,78.0,214.0,22.0,23.0,148.0,33.0,343.0,387.0,,48.0,Second Line,77,1292.8333333333,21,22,41,1984-03-03,RUS,RUS,74,211,2002,1,13,13
