Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2018-2019,Adam Erne,TBL,F,321.0,24.0,,,326.0,11.0,219.0,253.0,144.0,408.0,221.0,30.0,,364.0,Bottom 6,65,685.63333333333,7,6,30,1995-04-20,USA,USA,73,212,2013,2,3,33,,
2018-2019,Adam Gaudette,VAN,F,401.0,379.0,207.0,,416.0,395.0,381.0,383.0,57.0,369.0,178.0,216.0,164.0,423.0,Bottom 6,56,613.15,5,4,28,1996-10-03,USA,USA,73,194,2015,5,28,149,,
2018-2019,Adam Henrique,ANA,F,312.0,162.0,86.0,50.0,292.0,294.0,337.0,153.0,157.0,171.0,189.0,279.0,64.0,135.0,Second Line,82,1349.0,18,15,35,1990-02-06,CAN,CAN,72,195,2008,3,21,82,,
2018-2019,Adam Lowry,WPG,F,234.0,6.0,280.0,28.0,185.0,8.0,354.0,251.0,392.0,315.0,93.0,39.0,6.0,246.0,Bottom 6,78,1141.7833333333,12,5,32,1993-03-29,USA,USA,78,208,2011,3,6,67,,
2018-2019,Adrian Kempe,LAK,F,274.0,241.0,223.0,,169.0,115.0,282.0,242.0,66.0,278.0,354.0,188.0,110.0,285.0,Bottom 6,81,1174.5166666667,12,8,28,1996-09-13,SWE,SWE,74,200,2014,1,29,29,,
2018-2019,Aleksander Barkov,FLA,F,61.0,203.0,81.0,32.0,110.0,296.0,199.0,93.0,358.0,32.0,8.0,434.0,28.0,19.0,First Line,82,1833.0166666667,35,37,29,1995-09-02,FIN,FIN,75,215,2013,1,2,2,,
2018-2019,Alex Chiasson,EDM,F,338.0,279.0,237.0,194.0,355.0,306.0,373.0,136.0,266.0,243.0,309.0,209.0,,230.0,Second Line,73,1238.8333333333,22,13,34,1990-10-01,CAN,CAN,76,208,2009,2,8,38,,
2018-2019,Alex DeBrincat,CHI,F,47.0,404.0,170.0,,181.0,396.0,61.0,9.0,109.0,141.0,177.0,401.0,,79.0,Second Line,82,1451.4,41,17,27,1997-12-18,USA,USA,68,178,2016,2,9,39,,
2018-2019,Alex Galchenyuk,ARI,F,248.0,400.0,55.0,,192.0,406.0,78.0,118.0,12.0,106.0,269.0,309.0,178.0,110.0,Second Line,72,1132.6333333333,19,12,31,1994-02-12,USA,USA,73,194,2012,1,3,3,,
2018-2019,Alex Iafallo,LAK,F,340.0,200.0,255.0,,307.0,220.0,275.0,327.0,346.0,316.0,251.0,285.0,,238.0,Second Line,82,1380.0333333333,15,10,31,1993-12-21,USA,USA,72,200,-,-,-,-,,
