Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2024-2025,A.J. Greer,FLA,F,216.0,86.0,,,244.0,45.0,161.0,358.0,84.0,224.0,424.0,21.0,,392.0,Fourth Line,81,777.05,6,11,17,11.06,52.38,56.22,27,1996-12-14,CAN,CAN,75,208,2015,2,39,8478421.0
2024-2025,Aatu Raty,VAN,F,249.0,127.0,,,303.0,37.0,343.0,17.0,401.0,179.0,342.0,40.0,10.0,343.0,Fourth Line,33,351.68333333333,7,4,11,3.68,48.39,48.3,21,2002-11-14,FIN,FIN,74,190,2021,2,52,
2024-2025,Adam Edstrom,NYR,F,377.0,93.0,,,394.0,251.0,365.0,192.0,394.0,423.0,137.0,53.0,,396.0,Fourth Line,51,472.95,5,4,9,6.93,44.12,45.4,23,2000-10-12,SWE,SWE,79,220,2019,6,161,8481726.0
2024-2025,Adam Fantilli,CBJ,F,108.0,385.0,248.0,,319.0,387.0,109.0,29.0,104.0,35.0,40.0,179.0,180.0,109.0,Second Line,82,1433.1833333333,31,23,54,19.03,54.46,43.98,19,2004-10-12,CAN,,74,194,2023,1,3,8484166.0
2024-2025,Adam Gaudette,OTT,F,187.0,135.0,221.0,,262.0,60.0,227.0,7.0,384.0,5.0,335.0,181.0,97.0,325.0,Fourth Line,81,844.21666666667,19,7,26,11.57,62.75,50.07,27,1996-10-03,USA,USA,73,194,2015,5,149,8478874.0
2024-2025,Adam Henrique,EDM,F,301.0,132.0,194.0,141.0,307.0,252.0,312.0,167.0,327.0,346.0,306.0,258.0,23.0,192.0,Third Line,81,1186.1666666667,12,15,27,13.3,47.76,47.42,34,1990-02-06,CAN,CAN,72,195,2008,3,82,8474641.0
2024-2025,Adam Lowry,WPG,F,248.0,52.0,,125.0,194.0,75.0,276.0,141.0,340.0,412.0,171.0,74.0,51.0,218.0,Third Line,73,1126.2666666667,16,18,34,15.56,61.82,52.68,31,1993-03-29,USA,USA,78,208,2011,3,67,8476392.0
2024-2025,Adrian Kempe,LAK,F,40.0,255.0,75.0,80.0,183.0,113.0,34.0,31.0,58.0,226.0,210.0,199.0,,33.0,First Line,81,1551.5833333333,35,38,73,26.7,64.89,51.07,27,1996-09-13,SWE,SWE,74,200,2014,1,29,8477960.0
2024-2025,Aleksander Barkov,FLA,F,45.0,5.0,20.0,76.0,19.0,8.0,187.0,250.0,10.0,163.0,191.0,196.0,26.0,26.0,First Line,67,1357.2833333333,20,51,71,19.44,59.42,58.35,28,1995-09-02,FIN,FIN,75,215,2013,1,2,8477493.0
2024-2025,Alex DeBrincat,DET,F,68.0,273.0,25.0,,181.0,302.0,37.0,50.0,131.0,150.0,35.0,316.0,,46.0,Second Line,82,1465.4333333333,39,31,70,31.96,52.17,50.47,26,1997-12-18,USA,USA,68,178,2016,2,39,8479337.0
2024-2025,Alex Iafallo,WPG,F,283.0,2.0,89.0,112.0,248.0,17.0,273.0,278.0,265.0,284.0,224.0,274.0,,242.0,Fourth Line,82,1089.05,15,16,31,14.68,65.45,56.5,30,1993-12-21,USA,USA,72,200,-,-,-,8480113.0
2024-2025,Alex Killorn,ANA,F,207.0,382.0,266.0,113.0,209.0,271.0,254.0,177.0,216.0,149.0,390.0,234.0,,191.0,Second Line,82,1416.6333333333,19,18,37,14.53,53.09,49.31,34,1989-09-14,CAN,CAN,73,194,2007,3,77,8473986.0
2024-2025,Alex Laferriere,LAK,F,51.0,87.0,192.0,,129.0,48.0,41.0,86.0,49.0,207.0,188.0,152.0,,168.0,Second Line,77,1272.95,19,23,42,23.98,64.71,56.9,22,2001-10-28,USA,USA,72,173,2020,3,83,8482155.0
2024-2025,Alex Newhook,MTL,F,296.0,362.0,265.0,,245.0,386.0,339.0,147.0,361.0,98.0,271.0,241.0,162.0,253.0,Third Line,82,1240.8333333333,15,11,26,17.11,37.89,46.38,23,2001-01-28,CAN,CAN,70,190,2019,1,16,8481618.0
2024-2025,Alex Ovechkin,WSH,F,16.0,417.0,84.0,,130.0,389.0,19.0,5.0,36.0,1.0,338.0,126.0,,11.0,Second Line,65,1152.0833333333,44,29,73,27.28,59.04,45.4,38,1985-09-17,RUS,RUS,75,238,2004,1,1,8471214.0
2024-2025,Alex Tuch,BUF,F,72.0,100.0,199.0,50.0,143.0,340.0,91.0,18.0,140.0,76.0,310.0,254.0,,38.0,First Line,82,1578.85,36,31,67,30.44,56.12,48.39,28,1996-05-10,USA,USA,76,219,2014,1,18,8477949.0
2024-2025,Alex Turcotte,LAK,F,143.0,83.0,260.0,,140.0,30.0,279.0,204.0,33.0,300.0,389.0,267.0,,315.0,Fourth Line,68,798.1,9,16,25,11.4,56.90,56.19,23,2001-02-26,USA,USA,71,185,2019,1,5,8481532.0
2024-2025,Alexander Holtz,VGK,F,284.0,358.0,,,290.0,202.0,138.0,288.0,312.0,81.0,275.0,265.0,,359.0,Fourth Line,53,614.0,4,8,12,8.45,46.34,48.59,22,2002-01-23,SWE,SWE,72,195,2020,1,7,8482125.0
2024-2025,Alexander Kerfoot,UTA,F,233.0,117.0,,159.0,146.0,142.0,355.0,314.0,139.0,311.0,77.0,278.0,71.0,247.0,Third Line,81,1235.5333333333,11,17,28,14.71,44.78,54.95,30,1994-08-11,CAN,CAN,71,186,2012,5,150,8477021.0
2024-2025,Alexander Wennberg,SJS,F,394.0,41.0,226.0,164.0,274.0,279.0,425.0,415.0,279.0,315.0,54.0,372.0,128.0,241.0,First Line,77,1452.0,10,25,35,10.72,45.88,43.37,29,1994-09-22,SWE,SWE,74,190,2013,1,14,8477505.0
