Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,W,L,OT/SO,Shutouts
2025-2026,Adin Hill,VGK,G,67.0,68.0,53.0,51.0,30.0,72.0,7.0,4.0,60.0,59.0,60.0,67.0,56.0,Backup,12,641.33333333333,0.870,3.27,27.06,35,29,1996-05-11,CAN,CAN,76,215,2015,3,76,8478499.0,4,3,3,0
2025-2026,Akira Schmid,VGK,G,45.0,40.0,42.0,59.0,12.0,41.0,63.0,6.0,52.0,64.0,64.0,60.0,31.0,Tandem (1A),29,1685.5,0.895,2.53,73.45,71,25,2000-05-12,CHE,CHE,77,205,2018,5,136,8481033.0,16,6,6,2
2025-2026,Alex Lyon,BUF,G,17.0,22.0,19.0,9.0,19.0,50.0,35.0,61.0,17.0,16.0,16.0,6.0,17.0,Tandem (1B),27,1503.7166666667,0.913,2.71,81.41,68,32,1992-12-09,USA,USA,73,201,-,-,-,8479312.0,14,8,3,2
2025-2026,Alex Nedeljkovic,SJS,G,30.0,32.0,39.0,45.0,23.0,42.0,38.0,59.0,33.0,41.0,41.0,48.0,51.0,Tandem (1B),25,1403.1333333333,0.899,2.91,69.28,68,29,1996-01-07,USA,USA,72,208,2014,2,37,8477968.0,10,9,2,0
2025-2026,Andrei Vasilevskiy,TBL,G,2.0,5.0,12.0,48.0,5.0,10.0,10.0,18.0,5.0,5.0,5.0,5.0,2.0,Starter,37,2219.1666666667,0.919,2.11,105.29,78,31,1994-07-25,RUS,RUS,76,220,2012,1,19,8476883.0,27,7,3,2
2025-2026,Anthony Stolarz,TOR,G,39.0,43.0,24.0,5.0,69.0,24.0,24.0,42.0,31.0,52.0,53.0,53.0,27.0,Backup,16,878.11666666667,0.882,3.55,44.49,52,31,1994-01-20,USA,USA,78,243,2012,2,45,8476932.0,7,7,1,0
2025-2026,Anton Forsberg,LAK,G,20.0,19.0,35.0,8.0,38.0,23.0,41.0,24.0,38.0,30.0,31.0,37.0,28.0,Tandem (1B),22,1259.4833333333,0.906,2.57,65.26,54,32,1992-11-27,SWE,SWE,75,193,2011,7,188,8476341.0,9,7,5,1
2025-2026,Arturs Silovs,PIT,G,31.0,41.0,10.0,66.0,17.0,34.0,46.0,64.0,28.0,19.0,19.0,33.0,46.0,Tandem (1B),26,1516.8166666667,0.895,2.93,74.21,74,24,2001-03-22,LVA,LVA,76,203,2019,6,156,8481668.0,11,7,8,1
2025-2026,Arvid Soderblom,CHI,G,65.0,69.0,7.0,64.0,54.0,70.0,49.0,71.0,71.0,67.0,68.0,71.0,70.0,Backup,17,987.36666666667,0.874,3.89,57.97,64,26,1999-08-19,SWE,SWE,75,180,-,-,-,8482821.0,5,9,2,0
2025-2026,Brandon Bussi,CAR,G,8.0,6.0,44.0,26.0,25.0,6.0,5.0,2.0,15.0,7.0,7.0,3.0,1.0,Tandem (1B),27,1638.25,0.906,2.16,72.34,59,27,1998-06-25,USA,USA,76,226,-,-,-,8483548.0,23,3,1,2
2025-2026,Calvin Pickard,EDM,G,66.0,66.0,54.0,34.0,42.0,69.0,11.0,47.0,64.0,65.0,65.0,64.0,64.0,Backup,16,864.13333333333,0.871,3.68,47.0,53,33,1992-04-15,CAN,CAN,73,210,2010,2,49,,5,6,2,0
2025-2026,Cam Talbot,DET,G,48.0,28.0,67.0,6.0,29.0,54.0,12.0,36.0,44.0,37.0,37.0,30.0,45.0,Tandem (1B),24,1342.3333333333,0.891,2.99,64.13,67,38,1987-07-05,CAN,CAN,76,201,-,-,-,8475660.0,11,7,4,0
2025-2026,Carter Hart,VGK,G,68.0,72.0,5.0,72.0,63.0,71.0,31.0,13.0,67.0,55.0,56.0,62.0,65.0,Backup,12,659.3,0.870,3.28,28.37,36,27,1998-08-13,CAN,CAN,74,181,2016,2,48,8479394.0,5,3,3,0
2025-2026,Casey DeSmith,DAL,G,13.0,4.0,40.0,4.0,41.0,7.0,48.0,28.0,4.0,14.0,14.0,17.0,8.0,Backup,21,1239.8166666667,0.911,2.37,62.46,49,34,1991-08-13,USA,USA,72,181,-,-,-,8479193.0,11,4,5,1
2025-2026,Charlie Lindgren,WSH,G,58.0,44.0,62.0,46.0,21.0,52.0,2.0,15.0,69.0,68.0,66.0,61.0,54.0,Backup,19,1131.2666666667,0.884,3.18,56.91,60,31,1993-12-18,USA,USA,74,179,-,-,-,8479292.0,8,6,3,1
2025-2026,Colten Ellis,BUF,G,43.0,46.0,41.0,65.0,15.0,45.0,66.0,65.0,40.0,51.0,52.0,13.0,40.0,Backup,13,732.2,0.896,3.11,38.74,38,24,2000-10-05,CAN,CAN,73,185,2019,3,93,8481551.0,7,4,1,0
2025-2026,Connor Hellebuyck,WPG,G,15.0,13.0,21.0,10.0,13.0,26.0,43.0,26.0,23.0,21.0,21.0,21.0,15.0,Starter,36,2152.0166666667,0.900,2.79,111.03,100,32,1993-05-19,USA,USA,76,216,2012,5,130,8476945.0,13,16,7,0
2025-2026,Connor Ingram,EDM,G,56.0,53.0,52.0,38.0,68.0,13.0,26.0,19.0,46.0,33.0,33.0,44.0,48.0,Backup,13,718.88333333333,0.896,2.67,33.4,32,28,1997-03-31,CAN,CAN,74,196,2016,3,88,8478971.0,6,4,1,1
