Season,Player,Team,Position,ovr_pct,evo_pct,evd_pct,ppl_pct,pkl_pct,fin_pct,gol_pct,xgl_pct,ast_pct,pen_pct,hit_pct,ozs_pct,pdo_pct,tmt_pct,cmp_pct,ovr_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,ozs_rank,pdo_rank,tmt_rank,cmp_rank,all_players,ppl_players,pkl_players,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Player ID,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,Age,ovr_history,evo_history,evd_history,team_history
2022-2023,Aaron Ekblad,FLA,D,88.0,83.8,68.8,81.8,95.0,54.7,92.3,96.6,64.1,38.9,9.4,70.5,38.5,99.6,98.3,29,39,74,17.0,10.0,107,19,9,85,129,213,70,145,2,5,234,88,179,First Pair,71.0,1660.9833333333331,14.0,24.0,38.0,15.807878079334078,46.84684684684685,51.8709506119525,8477932,D,76.0,220.0,1996-02-07,CAN,2014.0,1.0,1.0,R,26,"[88, 92, 83, 95, 78]","[63, 87, 73, 84, 79]","[74, 78, 72, 81, 60]","['FLA', 'FLA', 'FLA', 'FLA', 'FLA']"
2022-2023,Adam Boqvist,CBJ,D,37.6,61.1,6.4,46.6,,91.5,97.4,70.5,46.6,92.7,9.8,99.1,55.6,7.7,23.1,147,92,220,48.0,,21,7,70,126,18,212,3,105,217,181,234,88,179,Second Pair,46.0,857.1333333333333,5.0,19.0,24.0,3.8195797618108718,45.20547945205479,44.34298226420822,8480871,D,72.0,195.0,2000-08-15,SWE,2018.0,1.0,8.0,R,22,"[None, 77, 64, 26, 48]","[None, 60, 71, 44, 67]","[None, 29, 35, 6, 7]","[None, 'CHI', 'CHI', 'CBJ', 'CBJ']"
2022-2023,Adam Fox,NYR,D,100.0,99.6,95.3,100.0,63.1,93.2,87.2,74.8,94.4,92.3,3.0,78.6,87.6,56.0,89.7,1,2,12,1.0,67.0,17,31,60,14,19,228,51,30,104,25,234,88,179,First Pair,82.0,1998.9666666666667,12.0,60.0,72.0,12.198206672382684,59.48275862068966,55.044245510852974,8479323,D,71.0,185.0,1998-02-17,USA,2016.0,3.0,66.0,R,24,"[None, 91, 97, 98, 100]","[None, 86, 93, 97, 99]","[None, 89, 94, 91, 95]","[None, 'NYR', 'NYR', 'NYR', 'NYR']"
2022-2023,Adam Larsson,SEA,D,50.9,9.0,94.0,,49.2,90.2,72.6,49.1,65.8,6.0,67.5,82.9,33.8,60.3,71.4,116,214,15,,92.0,24,65,120,81,203,77,41,156,94,68,234,88,179,First Pair,82.0,1938.4666666666667,8.0,25.0,33.0,7.03639989612931,56.493506493506494,53.357474139821115,8476457,D,75.0,207.0,1992-11-12,SWE,2011.0,1.0,4.0,R,29,"[60, 29, 84, 9, 70]","[53, 51, 15, 2, 32]","[87, 80, 98, 80, 94]","['EDM', 'EDM', 'EDM', 'SEA', 'SEA']"
2022-2023,Adam Pelech,NYI,D,96.2,82.5,99.1,,55.9,39.7,57.7,63.7,62.8,34.6,40.2,12.8,82.1,39.3,71.8,10,42,3,,80.0,142,100,86,88,139,141,205,43,143,67,234,88,179,Second Pair,61.0,1320.7666666666669,6.0,15.0,21.0,5.055804931299892,53.48837209302325,52.42557305516189,8476917,D,75.0,212.0,1994-08-16,CAN,2012.0,3.0,65.0,L,28,"[82, 67, 95, 97, 88]","[28, 41, 91, 94, 56]","[93, 77, 97, 98, 97]","['NYI', 'NYI', 'NYI', 'NYI', 'NYI']"
2022-2023,Alec Martinez,VGK,D,48.7,64.5,47.4,,25.1,27.8,60.7,34.2,21.4,55.6,23.5,53.4,92.7,81.2,40.6,121,84,124,,135.0,170,93,155,185,95,180,110,18,45,140,234,88,179,Second Pair,77.0,1480.3166666666666,3.0,11.0,14.0,4.2615560714011265,56.25,52.397483450825,8474166,D,73.0,210.0,1987-07-26,USA,2007.0,4.0,95.0,L,35,"[44, 34, 50, 65, 42]","[76, 58, 90, 71, 44]","[9, 15, 10, 21, 67]","['LAK', 'VGK', 'VGK', 'VGK', 'VGK']"
2022-2023,Alex Goligoski,MIN,D,69.2,84.6,50.4,,62.0,22.6,6.4,22.6,27.4,29.9,13.7,57.7,55.1,48.3,53.4,73,37,117,,69.0,182,220,182,171,150,203,100,106,122,110,234,88,179,Third Pair,46.0,812.6666666666666,2.0,4.0,6.0,2.6196043844922183,38.88888888888889,51.87211359146836,8471274,D,71.0,173.0,1985-07-30,USA,2004.0,2.0,61.0,L,37,"[78, 56, 80, 69, 64]","[82, 77, 84, 82, 84]","[30, 46, 47, 59, 45]","['ARI', 'ARI', 'ARI', 'MIN', 'MIN']"
2022-2023,Alex Pietrangelo,VGK,D,95.7,96.6,46.6,67.0,94.4,82.9,86.8,86.8,76.5,82.1,32.1,76.5,67.9,63.7,86.3,11,9,126,30.0,11.0,41,32,32,56,41,160,56,76,86,33,234,88,179,First Pair,73.0,1750.6333333333334,11.0,43.0,54.0,11.474875280094201,55.172413793103445,53.381262931285875,8474565,D,75.0,215.0,1990-01-18,CAN,2008.0,1.0,4.0,R,32,"[93, 95, 89, 83, 97]","[97, 98, 94, 96, 96]","[28, 48, 16, 23, 66]","['STL', 'STL', 'VGK', 'VGK', 'VGK']"
2022-2023,Alexander Alexeyev,WSH,D,43.6,22.2,40.2,,39.7,27.4,2.6,24.8,27.8,94.4,50.0,3.8,74.8,19.7,3.0,133,183,141,,109.0,171,224,177,170,14,118,226,60,189,228,234,88,179,Third Pair,32.0,526.5333333333333,0.0,5.0,5.0,1.2251573684077113,46.51162790697674,43.86459218275012,8480823,D,76.0,230.0,1999-11-15,RUS,2018.0,1.0,31.0,L,22,"[None, None, None, None, 47]","[None, None, None, None, 26]","[None, None, None, None, 41]","[None, None, None, None, 'WSH']"
2022-2023,Alexander Edler,LAK,D,49.6,73.9,43.2,,75.4,58.1,48.7,20.9,84.6,13.7,78.2,66.7,17.5,79.1,24.8,119,62,134,,45.0,99,121,186,37,186,52,79,194,50,177,234,88,179,Third Pair,64.0,945.5666666666668,2.0,9.0,11.0,1.5235292202019963,48.148148148148145,50.61694266979002,8471303,D,76.0,210.0,1986-04-21,SWE,2004.0,3.0,91.0,L,36,"[33, 14, 27, 70, 38]","[7, 27, 52, 81, 69]","[68, 53, 64, 55, 39]","['VAN', 'VAN', 'VAN', 'LAK', 'LAK']"
2022-2023,Alexander Romanov,NYI,D,25.2,23.5,39.7,,21.8,14.5,20.1,32.9,38.9,68.8,92.7,26.5,67.1,36.8,63.2,176,180,142,,141.0,201,188,158,144,68,18,173,78,149,87,234,88,179,Second Pair,76.0,1478.1666666666667,2.0,20.0,22.0,3.877716659887336,53.535353535353536,46.062007105920216,8481014,D,73.0,220.0,2000-01-06,RUS,2018.0,2.0,38.0,L,22,"[None, None, 52, 22, 26]","[None, None, 47, 32, 18]","[None, None, 52, 53, 38]","[None, None, 'MTL', 'MTL', 'NYI']"
2022-2023,Alexandre Carrier,NSH,D,32.1,25.2,62.0,,68.2,11.1,15.4,73.5,30.3,39.5,71.4,20.9,83.3,67.1,53.8,160,176,90,,58.0,209,199,63,164,128,68,186,40,78,109,234,88,179,Third Pair,43.0,769.1999999999999,2.0,7.0,9.0,2.734129226621761,45.45454545454545,50.08841308838012,8478851,D,71.0,174.0,1996-10-08,CAN,2015.0,4.0,115.0,R,25,"[None, None, 56, 23, 39]","[None, None, 36, 9, 34]","[None, None, 56, 69, 57]","[None, None, 'NSH', 'NSH', 'NSH']"
2022-2023,Andreas Englund,CHI,D,47.4,22.6,53.8,,,26.9,2.6,20.5,17.1,91.0,99.1,0.4,29.9,45.7,1.7,124,182,109,,,172,224,187,195,22,3,234,165,128,231,234,88,179,Fringe,47.0,569.2333333333333,0.0,4.0,4.0,1.2686688825868804,45.16129032258064,49.80151598894225,8477971,D,76.0,200.0,1996-01-21,SWE,2014.0,2.0,40.0,L,26,"[None, 48, None, None, 51]","[None, 36, None, None, 26]","[None, 38, None, None, 49]","[None, 'OTT', None, None, 'CHI']"
2022-2023,Andrew Peeke,CBJ,D,28.6,3.0,86.3,,1.1,65.8,25.2,5.6,6.4,77.8,67.9,11.5,4.3,8.5,93.6,168,228,33,,178.0,81,176,222,220,48,76,208,225,215,16,234,88,179,Second Pair,80.0,1699.75,6.0,7.0,13.0,2.78992968057225,32.592592592592595,41.48088127170087,8479369,D,75.0,214.0,1998-03-17,USA,2016.0,2.0,34.0,R,24,"[None, 53, None, 24, 38]","[None, 37, None, 7, 3]","[None, 48, None, 83, 82]","[None, 'CBJ', None, 'CBJ', 'CBJ']"
2022-2023,Arber Xhekaj,MTL,D,3.0,14.5,7.7,39.8,,78.6,76.1,35.9,69.2,7.5,97.4,95.3,36.8,9.0,7.7,228,201,217,54.0,,51,57,151,73,200,7,12,149,214,217,234,88,179,Third Pair,51.0,778.8,5.0,8.0,13.0,2.6725651223698335,44.44444444444444,41.61474742310609,8482964,D,76.0,240.0,2001-01-30,CAN,,,,L,21,"[None, None, None, None, 6]","[None, None, None, None, 20]","[None, None, None, None, 11]","[None, None, None, None, 'MTL']"
2022-2023,Artem Zub,OTT,D,27.4,12.4,81.6,,72.6,77.8,35.5,6.8,16.2,3.4,79.5,31.2,60.7,57.3,92.3,171,206,44,,50.0,53,152,219,197,209,49,162,93,101,19,234,88,179,Second Pair,53.0,1073.4166666666667,3.0,7.0,10.0,2.6106104975651223,50.72463768115942,51.3507408689909,8482245,D,75.0,201.0,1995-10-03,RUS,,,,R,26,"[None, None, 42, 22, 29]","[None, None, 25, 36, 9]","[None, None, 72, 71, 84]","[None, None, 'OTT', 'OTT', 'OTT']"
2022-2023,Ben Chiarot,DET,D,1.3,15.0,12.4,,12.8,52.6,47.4,45.7,51.7,2.1,61.1,20.5,8.5,48.7,79.1,232,200,206,,157.0,112,124,128,114,212,92,187,215,121,50,234,88,179,Second Pair,76.0,1566.1833333333334,5.0,14.0,19.0,5.523088132313761,38.655462184873954,43.53654667469059,8475279,D,75.0,222.0,1991-05-09,CAN,2009.0,4.0,120.0,L,31,"[4, 3, 3, 1, 3]","[1, 36, 5, 68, 5]","[52, 31, 58, 4, 23]","['WPG', 'MTL', 'MTL', 'FLA', 'DET']"
2022-2023,Ben Harpur,NYR,D,15.0,12.8,20.5,,,53.4,11.5,3.0,9.0,63.9,75.2,46.6,94.9,21.8,8.1,200,205,187,,,110,208,228,214,79,59,126,13,184,216,234,88,179,Third Pair,42.0,590.6833333333333,1.0,5.0,6.0,0.8301443620421972,51.162790697674424,42.887709041455935,8477433,D,80.0,235.0,1995-01-12,CAN,2013.0,4.0,108.0,L,27,"[18, None, 11, None, 18]","[12, None, 10, None, 16]","[31, None, 21, None, 23]","['OTT', None, 'NSH', None, 'NYR']"
2022-2023,Ben Hutton,VGK,D,45.7,38.5,25.6,54.5,,55.1,67.9,82.1,43.6,89.3,54.7,79.1,39.3,59.4,10.3,128,145,175,41.0,,106,76,43,133,26,107,50,143,96,211,234,88,179,Third Pair,31.0,495.81666666666666,3.0,5.0,8.0,2.799165256739726,51.61290322580645,52.73951348959017,8477018,D,75.0,209.0,1993-04-20,CAN,2012.0,5.0,147.0,L,29,"[7, 39, 20, 35, 58]","[35, 79, 59, 44, 38]","[0, 6, 8, 22, 38]","['VAN', 'LAK', 'TOR', 'VGK', 'VGK']"
2022-2023,Bowen Byram,COL,D,52.6,58.1,54.7,47.7,46.4,66.2,88.5,91.0,85.9,56.4,80.8,73.5,66.7,80.8,84.6,112,99,107,47.0,97.0,80,28,22,34,93,46,63,79,46,37,234,88,179,Second Pair,42.0,918.8666666666668,10.0,14.0,24.0,6.103195204821301,50.76923076923077,49.27005963167796,8481524,D,73.0,205.0,2001-06-13,CAN,2019.0,1.0,4.0,L,21,"[None, None, 23, 58, 54]","[None, None, 34, 62, 54]","[None, None, 58, 49, 57]","[None, None, 'COL', 'COL', 'COL']"
2022-2023,Brad Hunt,COL,D,37.2,56.4,30.8,,,76.1,84.2,51.3,82.5,49.1,11.1,54.7,57.7,51.7,12.4,148,103,163,,,57,38,115,42,108,209,107,100,114,206,234,88,179,Fringe,47.0,527.0666666666667,4.0,6.0,10.0,1.8887540873634603,54.054054054054056,49.438701945562975,8476779,D,69.0,177.0,1988-08-24,CAN,,,,L,34,"[41, 59, None, 45, 38]","[43, 20, None, 66, 47]","[41, 65, None, 27, 39]","['MIN', 'MIN', None, 'VAN', 'COL']"
2022-2023,Braden Schneider,NYR,D,12.0,3.4,11.5,,,81.6,65.8,19.7,40.6,90.2,88.5,39.3,98.3,32.1,23.9,207,227,208,,,44,81,189,140,24,28,143,5,160,179,234,88,179,Third Pair,82.0,1273.45,5.0,13.0,18.0,3.4237138030875838,55.0561797752809,44.15273378408996,8482073,D,75.0,206.0,2001-09-20,CAN,2020.0,1.0,19.0,R,20,"[None, None, None, 23, 10]","[None, None, None, 11, 2]","[None, None, None, 27, 10]","[None, None, None, 'NYR', 'NYR']"
2022-2023,Brady Skjei,CAR,D,26.5,67.5,11.1,26.1,76.5,97.4,94.9,94.4,76.1,9.4,20.1,72.2,43.2,98.3,62.4,173,77,209,66.0,43.0,7,13,14,57,196,188,66,134,5,89,234,88,179,Second Pair,81.0,1766.4833333333331,18.0,20.0,38.0,10.31754937213256,50.84745762711864,56.01645286622712,8476869,D,75.0,210.0,1994-03-26,USA,2012.0,1.0,28.0,L,28,"[16, 10, 9, 28, 32]","[72, 79, 69, 72, 60]","[10, 3, 5, 3, 31]","['NYR', 'CAR', 'CAR', 'CAR', 'CAR']"
2022-2023,Brandon Carlo,BOS,D,67.9,2.1,90.2,,99.4,50.4,54.7,46.2,23.9,32.1,79.9,12.4,88.0,91.5,48.3,76,230,24,,2.0,117,107,127,179,145,48,206,29,21,122,234,88,179,Second Pair,75.0,1412.3,3.0,13.0,16.0,5.753672123742486,68.6046511627907,56.772546068940976,8478443,D,77.0,227.0,1996-11-26,USA,2015.0,2.0,37.0,R,25,"[47, 43, 67, 36, 80]","[20, 2, 19, 0, 9]","[90, 89, 70, 71, 94]","['BOS', 'BOS', 'BOS', 'BOS', 'BOS']"
2022-2023,Brandon Montour,FLA,D,39.3,85.9,4.3,84.1,25.7,91.0,96.2,99.1,81.2,33.3,22.2,88.9,81.6,85.0,26.1,143,34,225,15.0,134.0,22,10,3,45,142,183,27,44,36,174,234,88,179,First Pair,80.0,1930.1,16.0,57.0,73.0,16.65331284975125,57.638888888888886,53.24857364634439,8477986,D,72.0,199.0,1994-04-11,CAN,2014.0,2.0,55.0,R,28,"[1, 3, 2, 37, 57]","[6, 11, 48, 82, 90]","[12, 8, 2, 14, 3]","['BUF', 'BUF', 'FLA', 'FLA', 'FLA']"
2022-2023,Brayden McNabb,VGK,D,77.4,59.0,89.7,,23.5,3.4,7.3,47.9,26.1,57.3,87.6,23.9,60.3,73.9,50.4,54,97,25,,138.0,227,218,123,174,91,30,179,94,62,117,234,88,179,Second Pair,82.0,1627.1833333333334,1.0,16.0,17.0,4.530238935878475,53.44827586206896,53.09295243060521,8475188,D,76.0,215.0,1991-01-21,CAN,2009.0,3.0,66.0,L,31,"[83, 84, 75, 63, 82]","[98, 88, 76, 63, 50]","[64, 80, 71, 77, 94]","['VGK', 'VGK', 'VGK', 'VGK', 'VGK']"
2022-2023,Brendan Smith,NJD,D,27.8,54.7,31.2,,78.2,17.1,44.4,78.2,8.5,19.7,84.2,71.4,23.5,94.0,4.7,170,107,162,,40.0,195,131,52,215,173,38,68,180,15,224,234,88,179,Third Pair,60.0,933.2,0.0,5.0,5.0,3.5122406716321675,49.2063492063492,55.534820372443875,8474090,D,74.0,200.0,1989-02-08,CAN,2007.0,1.0,27.0,L,33,"[49, 54, 64, 36, 23]","[70, 24, 19, 52, 59]","[25, 39, 33, 24, 42]","['NYR', 'NYR', 'NYR', 'CAR', 'NJD']"
2022-2023,Brenden Dillon,WPG,D,82.1,68.4,91.9,,22.3,23.1,16.7,12.8,62.4,23.1,82.9,44.0,50.9,38.9,40.2,43,75,20,,140.0,181,196,205,89,165,41,132,116,144,141,234,88,179,Second Pair,82.0,1606.25,2.0,21.0,23.0,3.108165827414931,46.93877551020408,53.05041545736331,8475455,D,76.0,225.0,1990-11-13,CAN,,,,L,31,"[76, 27, 80, 47, 89]","[84, 48, 56, 78, 51]","[94, 96, 95, 35, 100]","['SJS', 'WSH', 'WSH', 'WPG', 'WPG']"
2022-2023,Brent Burns,CAR,D,78.2,91.9,35.9,68.2,49.7,99.1,94.0,85.5,88.0,9.0,0.4,70.1,64.5,93.2,80.3,52,20,151,29.0,91.0,3,15,35,29,197,234,71,84,17,47,234,88,179,First Pair,82.0,1903.65,18.0,43.0,61.0,13.008213022248043,58.71559633027523,59.87797480743312,8470613,D,77.0,228.0,1985-03-09,CAN,2003.0,1.0,20.0,R,37,"[63, 36, 46, 14, 94]","[97, 92, 97, 58, 96]","[3, 0, 7, 21, 58]","['SJS', 'SJS', 'SJS', 'SJS', 'CAR']"
2022-2023,Brett Kulak,EDM,D,53.0,28.6,79.5,,66.5,65.0,53.0,33.3,24.4,25.2,48.7,59.4,47.0,72.6,17.1,111,168,49,,61.0,83,111,157,178,161,121,96,125,65,195,234,88,179,Third Pair,82.0,1435.7666666666669,3.0,17.0,20.0,3.767980417015241,51.85185185185185,52.71218111790166,8476967,D,73.0,192.0,1994-01-06,CAN,2012.0,4.0,105.0,L,28,"[77, 83, 50, 80, 29]","[67, 75, 50, 56, 17]","[84, 85, 77, 89, 68]","['MTL', 'MTL', 'MTL', 'EDM', 'EDM']"
