Season,Player,Team,Position,tot_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,pdo_rank,ozs_rank,tmt_rank,cmp_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,Specific Position,tot_history,evo_history,evd_history,ppl_history,pkl_history,team_history
2008-2009,Aaron Voros,NYR,F,,,,,,,163.0,216.0,130.0,380.0,21.0,208.0,153.0,,,Fourth Line,54,603.58333333333,8,8,16,8.88,46.34,49.21,27,1981-07-02,CAN,CAN,74,210,2001,8,229,8469672,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'MIN', 'NYR']"
2008-2009,Adam Burish,CHI,F,,,,,,,231.0,100.0,378.0,184.0,113.0,193.0,27.0,,,Fourth Line,66,606.65,6,3,9,7.19,56.67,54.87,25,1983-01-06,USA,USA,73,195,2002,9,282,8470063,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'CHI', 'CHI']"
2008-2009,Adam Hall,TBL,F,,,,,,,348.0,248.0,376.0,43.0,119.0,213.0,396.0,,,Fourth Line,74,828.65,5,5,10,7.72,37.50,48.64,28,1980-08-14,USA,USA,74,212,1999,2,52,8467925,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'PIT', 'TBL']"
2008-2009,Adam Mair,BUF,F,,,,,,,241.0,236.0,212.0,385.0,79.0,74.0,154.0,,,Fourth Line,75,793.41666666667,8,11,19,7.94,55.32,49.97,29,1979-02-15,CAN,CAN,73,208,1997,4,84,8466216,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'BUF', 'BUF']"
2008-2009,Ales Hemsky,EDM,F,,,,,,,79.0,250.0,73.0,21.0,335.0,106.0,373.0,,,First Line,72,1342.6333333333,23,43,66,16.86,53.95,50.25,25,1983-08-13,CZE,CZE,72,177,2001,1,13,8469466,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'EDM', 'EDM']"
2008-2009,Ales Kotalik,EDM,F,,,,,,,228.0,259.0,348.0,326.0,136.0,171.0,160.0,,,Third Line,75,1158.9833333333,20,23,43,13.65,49.32,49.43,29,1978-12-23,CZE,CZE,73,225,1998,6,164,8467502,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'BUF', 'EDM']"
2008-2009,Alex Frolov,LAK,F,,,,,,,64.0,75.0,187.0,273.0,345.0,179.0,201.0,,,First Line,77,1533.6333333333,32,27,59,24.94,46.15,53.31,26,1982-06-19,RUS,RUS,74,210,2000,1,20,8468500,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'LAK', 'LAK']"
2008-2009,Alex Kovalev,MTL,F,,,,,,,89.0,129.0,215.0,160.0,269.0,60.0,114.0,,,First Line,78,1515.5333333333,26,39,65,21.68,50.67,46.66,35,1973-02-24,RUS,RUS,74,222,1991,1,15,8458529,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'MTL', 'MTL']"
2008-2009,Alex Ovechkin,WSH,F,,,,,,,6.0,1.0,63.0,73.0,71.0,128.0,12.0,,,First Line,79,1817.3666666667,56,54,110,51.75,54.55,55.49,22,1985-09-17,RUS,RUS,75,238,2004,1,1,8471214,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'WSH', 'WSH']"
2008-2009,Alex Tanguay,MTL,F,,,,,,,41.0,205.0,55.0,72.0,240.0,4.0,296.0,,,Second Line,50,804.51666666667,16,25,41,12.22,60.00,44.7,28,1979-11-21,CAN,CAN,73,194,1998,1,12,8467338,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'CGY', 'MTL']"
