Season,Player,Team,Position,ovr_pct,evo_pct,evd_pct,ppl_pct,pkl_pct,fin_pct,gol_pct,xgl_pct,ast_pct,pen_pct,hit_pct,ozs_pct,pdo_pct,tmt_pct,cmp_pct,ovr_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,ozs_rank,pdo_rank,tmt_rank,cmp_rank,all_players,ppl_players,pkl_players,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Player ID,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,Age,ovr_history,evo_history,evd_history,team_history
2009-2010,Adam Mair,BUF,F,13.0,32.4,61.7,,,46.7,30.2,27.0,27.3,7.2,78.1,48.9,42.0,55.3,27.8,355,276,157,,,218,285,298,297,48,90,208,237,183,295,407,260,207,Fourth Line,69.0,637.2833333333333,6.0,8.0,14.0,5.671324827399285,47.61904761904761,48.7304268678784,8466216,C,73.0,208.0,1979-02-15,CAN,1997.0,4.0,84.0,R,30,"[None, None, None, None, 13]","[None, None, None, None, 32]","[None, None, None, None, 61]","[None, None, None, None, 'BUF']"
2009-2010,Ales Hemsky,EDM,F,48.2,47.9,55.0,44.6,,50.6,49.4,65.1,97.8,54.4,24.8,5.0,99.3,17.2,93.4,212,213,184,145.0,,202,207,143,10,32,307,383,4,338,28,407,260,207,Second Line,22.0,394.6,7.0,14.0,21.0,5.6607253847413,64.0,51.19690437156458,8469466,R,72.0,177.0,1983-08-13,CZE,2001.0,1.0,13.0,R,26,"[None, None, None, None, 48]","[None, None, None, None, 47]","[None, None, None, None, 55]","[None, None, None, None, 'EDM']"
2009-2010,Ales Kotalik,CGY,F,9.1,30.7,42.3,71.9,,4.7,18.4,66.8,2.5,9.7,73.7,66.3,4.9,58.5,22.9,371,283,236,74.0,,389,333,136,398,46,108,137,388,170,315,407,260,207,Third Line,71.0,1006.9666666666668,11.0,16.0,27.0,14.663261943357725,40.0,48.90591675223733,8467502,R,73.0,225.0,1978-12-23,CZE,1998.0,6.0,164.0,R,30,"[None, None, None, None, 9]","[None, None, None, None, 30]","[None, None, None, None, 42]","[None, None, None, None, 'CGY']"
2009-2010,Alex Frolov,LAK,F,82.1,80.3,96.6,35.8,72.5,12.8,34.9,56.3,73.0,49.1,20.9,59.7,21.4,34.6,78.9,74,81,15,168.0,58.0,356,266,179,111,33,323,164,321,267,87,407,260,207,First Line,81.0,1493.3166666666666,19.0,30.0,49.0,19.522518986808326,48.31460674157304,53.04691379805351,8468500,L,74.0,210.0,1982-06-19,RUS,2000.0,1.0,20.0,R,27,"[None, None, None, None, 82]","[None, None, None, None, 80]","[None, None, None, None, 96]","[None, None, None, None, 'LAK']"
2009-2010,Alex Kovalev,OTT,F,31.7,55.3,14.3,8.1,,32.4,54.3,67.3,79.1,69.0,15.5,85.3,19.7,77.4,48.6,279,183,350,240.0,,276,187,134,86,28,345,61,328,93,210,407,260,207,First Line,77.0,1398.3666666666666,18.0,31.0,49.0,19.17166351548401,46.0,50.626027348378265,8458529,R,74.0,222.0,1973-02-24,RUS,1991.0,1.0,15.0,L,36,"[None, None, None, None, 31]","[None, None, None, None, 55]","[None, None, None, None, 14]","[None, None, None, None, 'OTT']"
2009-2010,Alex Ovechkin,WSH,F,100.0,99.3,97.8,99.2,,99.8,99.5,99.0,98.8,30.2,78.6,82.1,99.0,93.4,48.9,1,4,10,3.0,,2,3,5,6,38,88,74,5,28,209,407,260,207,First Line,72.0,1569.4166666666667,50.0,58.0,108.0,37.63500859153625,69.91150442477876,57.96575511888411,8471214,L,75.0,238.0,1985-09-17,RUS,2004.0,1.0,1.0,R,23,"[None, None, None, None, 100]","[None, None, None, None, 99]","[None, None, None, None, 97]","[None, None, None, None, 'WSH']"
2009-2010,Alex Tanguay,TBL,F,18.2,70.8,37.6,0.4,,20.4,15.2,19.2,73.2,27.9,22.6,82.6,66.3,27.0,24.8,334,120,255,260.0,,325,346,330,110,39,316,72,138,298,307,407,260,207,Second Line,80.0,1263.0833333333333,10.0,26.0,36.0,11.061523950973884,48.86363636363637,48.86127308677115,8467338,L,73.0,194.0,1979-11-21,CAN,1998.0,1.0,12.0,L,29,"[None, None, None, None, 18]","[None, None, None, None, 70]","[None, None, None, None, 37]","[None, None, None, None, 'TBL']"
2009-2010,Alexander Semin,WSH,F,97.3,94.8,6.9,98.8,62.3,99.5,99.8,98.5,91.4,34.2,9.6,55.5,98.8,92.1,45.7,12,22,380,4.0,79.0,3,2,7,36,37,369,181,6,33,222,407,260,207,First Line,73.0,1396.0,40.0,44.0,84.0,28.073038528172376,66.35514018691589,53.44765811144969,8470120,R,74.0,211.0,1984-03-03,RUS,2002.0,1.0,13.0,R,25,"[None, None, None, None, 97]","[None, None, None, None, 94]","[None, None, None, None, 6]","[None, None, None, None, 'WSH']"
2009-2010,Alexander Steen,STL,F,84.0,31.0,73.2,65.8,22.7,92.9,90.2,52.1,71.0,78.7,48.2,59.5,84.8,20.9,95.1,66,282,110,90.0,161.0,30,41,196,119,24,212,165,63,323,21,407,260,207,Second Line,68.0,1106.7833333333333,24.0,23.0,47.0,15.155516514585239,56.92307692307692,47.99953459332382,8470257,L,72.0,211.0,1984-03-01,CAN,2002.0,1.0,24.0,L,25,"[None, None, None, None, 84]","[None, None, None, None, 31]","[None, None, None, None, 73]","[None, None, None, None, 'STL']"
2009-2010,Alexandre Burrows,VAN,F,89.4,86.0,73.5,16.2,79.7,91.4,90.9,87.2,72.7,58.0,51.6,91.9,90.2,84.5,39.8,44,58,109,219.0,43.0,36,38,53,112,31,198,34,41,64,246,407,260,207,Second Line,82.0,1464.6,35.0,28.0,63.0,23.894504497539426,60.824742268041234,55.27794782667876,8470358,R,73.0,197.0,1981-04-11,CAN,,,,L,28,"[None, None, None, None, 89]","[None, None, None, None, 86]","[None, None, None, None, 73]","[None, None, None, None, 'VAN']"
2009-2010,Alexei Ponikarovsky,PIT,F,90.7,95.1,98.8,14.2,,81.8,87.0,87.7,94.1,1.7,64.9,66.8,15.5,89.7,40.8,39,21,6,224.0,,75,54,51,25,55,144,135,345,43,242,407,260,207,Second Line,77.0,1267.75,21.0,29.0,50.0,18.64712260673002,52.0,60.94358789737051,8467412,L,76.0,225.0,1980-04-09,UKR,1998.0,4.0,87.0,L,29,"[None, None, None, None, 90]","[None, None, None, None, 95]","[None, None, None, None, 98]","[None, None, None, None, 'PIT']"
2009-2010,Andrei Kostitsyn,MTL,F,68.1,27.8,82.8,70.4,,51.1,45.9,43.5,93.1,69.0,66.8,9.6,82.6,10.8,59.7,131,295,71,78.0,,200,221,231,29,28,136,365,72,364,165,407,260,207,Second Line,59.0,943.3333333333334,15.0,18.0,33.0,13.068664943042513,54.54545454545454,48.412321592655864,8470603,L,72.0,214.0,1985-02-03,BLR,2003.0,1.0,10.0,L,24,"[None, None, None, None, 68]","[None, None, None, None, 27]","[None, None, None, None, 82]","[None, None, None, None, 'MTL']"
2009-2010,Andrew Brunette,MIN,F,87.2,53.6,86.0,80.8,,79.1,45.5,6.1,75.4,69.0,11.3,76.2,68.8,62.9,58.7,53,190,58,51.0,,86,223,383,101,28,362,98,128,152,169,407,260,207,Second Line,82.0,1396.2166666666667,24.0,37.0,61.0,15.830825553401834,51.68539325842697,51.92154565512074,8459596,L,73.0,215.0,1973-08-24,CAN,1993.0,7.0,174.0,L,36,"[None, None, None, None, 87]","[None, None, None, None, 53]","[None, None, None, None, 86]","[None, None, None, None, 'MIN']"
2009-2010,Andrew Cogliano,EDM,F,10.6,36.6,2.2,8.5,,19.2,35.9,51.8,48.4,87.8,40.5,47.4,63.4,2.9,76.9,365,259,399,239.0,,330,262,197,211,18,243,214,150,396,95,407,260,207,Third Line,82.0,1162.35,10.0,18.0,28.0,12.64944985089137,47.674418604651166,42.62825219831685,8471699,C,70.0,179.0,1987-06-14,CAN,2005.0,1.0,25.0,L,22,"[None, None, None, None, 10]","[None, None, None, None, 36]","[None, None, None, None, 2]","[None, None, None, None, 'EDM']"
2009-2010,Andrew Ebbett,MIN,F,62.7,40.8,31.4,,60.4,56.3,38.3,29.2,8.8,90.7,43.2,10.1,27.5,64.1,22.1,153,242,280,,83.0,179,252,289,372,16,232,363,296,147,318,407,260,207,Fourth Line,61.0,774.6666666666666,9.0,6.0,15.0,6.556981595081856,41.46341463414634,48.83148614606866,8473682,C,69.0,174.0,1983-01-02,CAN,,,,L,26,"[None, None, None, None, 62]","[None, None, None, None, 40]","[None, None, None, None, 31]","[None, None, None, None, 'MIN']"
2009-2010,Andrew Ladd,CHI,F,78.1,76.2,84.3,,,78.4,82.3,81.8,46.2,38.2,61.2,60.9,9.6,98.5,31.4,90,98,65,,,89,73,75,220,36,159,159,369,7,280,407,260,207,Third Line,82.0,1122.95,16.0,21.0,37.0,15.259223328060168,50.48543689320388,57.44862837937043,8471217,L,75.0,205.0,1985-12-12,CAN,2004.0,1.0,4.0,L,23,"[None, None, None, None, 78]","[None, None, None, None, 76]","[None, None, None, None, 84]","[None, None, None, None, 'CHI']"
2009-2010,Andrew Murray,CBJ,F,60.4,45.5,74.2,,43.5,47.7,61.2,78.9,2.9,69.0,86.2,2.2,2.0,24.6,88.9,162,223,106,,118.0,214,159,87,396,28,57,394,400,308,46,407,260,207,Fourth Line,46.0,476.51666666666665,5.0,2.0,7.0,5.981205348460307,31.57894736842105,52.25102363768814,8469685,C,74.0,210.0,1981-11-06,CAN,2001.0,8.0,242.0,L,27,"[None, None, None, None, 60]","[None, None, None, None, 45]","[None, None, None, None, 74]","[None, None, None, None, 'CBJ']"
