Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2022-2023,A.J. Greer,BOS,F,288.0,22.0,,,336.0,20.0,192.0,340.0,220.0,426.0,442.0,32.0,,412.0,Fourth Line,61,555.65,5,7,12,7.91,61.76,52.95,25,1996-12-14,CAN,CAN,75,208,2015,2,39,8478421.0
2022-2023,Adam Erne,DET,F,424.0,212.0,,152.0,433.0,307.0,393.0,365.0,397.0,245.0,296.0,55.0,,345.0,Fourth Line,61,816.23333333333,8,10,18,6.84,36.36,40.53,27,1995-04-20,USA,USA,73,212,2013,2,33,8477454.0
2022-2023,Adam Henrique,ANA,F,161.0,375.0,64.0,183.0,188.0,395.0,168.0,56.0,265.0,208.0,284.0,384.0,69.0,113.0,First Line,62,1127.1666666667,22,16,38,18.99,48.61,45.38,32,1990-02-06,CAN,CAN,72,195,2008,3,82,8474641.0
2022-2023,Adam Lowry,WPG,F,259.0,113.0,251.0,168.0,179.0,140.0,323.0,254.0,305.0,409.0,256.0,48.0,37.0,261.0,Second Line,82,1283.0833333333,13,23,36,20.0,47.83,55.09,29,1993-03-29,USA,USA,78,208,2011,3,67,8476392.0
2022-2023,Adam Ruzicka,CGY,F,143.0,83.0,208.0,,150.0,22.0,163.0,294.0,49.0,181.0,207.0,282.0,120.0,272.0,Fourth Line,44,509.33333333333,6,14,20,6.83,48.65,55.87,23,1999-05-11,SVK,SVK,76,215,2017,4,109,8480008.0
2022-2023,Adrian Kempe,LAK,F,116.0,353.0,68.0,143.0,145.0,209.0,59.0,48.0,317.0,279.0,302.0,184.0,,75.0,First Line,82,1538.15,41,26,67,23.92,58.14,51.2,25,1996-09-13,SWE,SWE,74,200,2014,1,29,8477960.0
2022-2023,Aleksander Barkov,FLA,F,31.0,84.0,25.0,48.0,20.0,121.0,92.0,89.0,30.0,248.0,75.0,340.0,31.0,13.0,First Line,68,1443.25,23,55,78,21.71,56.99,55.51,26,1995-09-02,FIN,FIN,75,215,2013,1,2,8477493.0
2022-2023,Alex Belzile,MTL,F,290.0,392.0,,187.0,422.0,394.0,267.0,82.0,276.0,326.0,57.0,183.0,128.0,259.0,Fourth Line,31,376.15,6,8,14,2.76,50.00,42.15,31,1991-08-31,CAN,CAN,72,196,-,-,-,8475968.0
2022-2023,Alex DeBrincat,OTT,F,128.0,279.0,43.0,,191.0,326.0,78.0,160.0,137.0,65.0,45.0,204.0,,34.0,First Line,82,1558.5166666667,27,39,66,28.2,42.00,49.67,24,1997-12-18,USA,USA,68,178,2016,2,39,8479337.0
2022-2023,Alex Iafallo,LAK,F,149.0,160.0,84.0,170.0,106.0,137.0,106.0,295.0,131.0,278.0,231.0,371.0,,148.0,Second Line,59,961.7,14,22,36,13.59,58.18,53.97,28,1993-12-21,USA,USA,72,200,-,-,-,8480113.0
2022-2023,Alex Killorn,TBL,F,180.0,410.0,193.0,130.0,137.0,283.0,354.0,90.0,209.0,302.0,320.0,265.0,,135.0,Second Line,82,1411.1333333333,27,37,64,20.36,58.00,48.96,32,1989-09-14,CAN,CAN,73,194,2007,3,77,8473986.0
2022-2023,Alex Newhook,COL,F,309.0,89.0,242.0,,269.0,92.0,338.0,242.0,308.0,310.0,301.0,306.0,173.0,279.0,Third Line,82,1144.15,14,16,30,13.85,53.09,49.96,21,2001-01-28,CAN,CAN,70,190,2019,1,16,8481618.0
2022-2023,Alex Ovechkin,WSH,F,34.0,438.0,77.0,,138.0,407.0,18.0,19.0,86.0,1.0,336.0,88.0,,10.0,First Line,73,1474.9,42,33,75,34.51,49.07,49.27,36,1985-09-17,RUS,RUS,75,238,2004,1,1,8471214.0
2022-2023,Alex Tuch,BUF,F,24.0,156.0,150.0,79.0,51.0,322.0,35.0,52.0,18.0,36.0,157.0,339.0,,36.0,First Line,74,1417.4,36,43,79,26.01,57.39,51.43,26,1996-05-10,USA,USA,76,219,2014,1,18,8477949.0
2022-2023,Alexander Barabanov,SJS,F,209.0,418.0,130.0,,113.0,387.0,384.0,292.0,121.0,274.0,186.0,363.0,,198.0,First Line,68,1227.6166666667,15,32,47,17.69,44.86,51.39,28,1994-06-17,RUS,RUS,70,195,-,-,-,8482222.0
2022-2023,Alexander Kerfoot,TOR,F,246.0,74.0,,33.0,186.0,83.0,266.0,355.0,172.0,294.0,150.0,303.0,,233.0,Third Line,82,1198.75,10,22,32,15.04,53.95,53.01,28,1994-08-11,CAN,CAN,71,186,2012,5,150,8477021.0
2022-2023,Alexander Wennberg,SEA,F,389.0,19.0,210.0,81.0,285.0,70.0,439.0,408.0,270.0,193.0,250.0,373.0,147.0,240.0,First Line,82,1532.8666666667,13,25,38,16.52,47.25,49.51,27,1994-09-22,SWE,SWE,74,190,2013,1,14,8477505.0
2022-2023,Alexey Toropchenko,STL,F,376.0,120.0,,39.0,404.0,156.0,213.0,286.0,401.0,356.0,86.0,65.0,,349.0,Fourth Line,69,833.26666666667,10,9,19,8.53,56.00,45.45,23,1999-06-25,RUS,RUS,78,222,2017,4,113,8480281.0
2022-2023,Alexis Lafrenière,NYR,F,293.0,224.0,253.0,,227.0,210.0,322.0,161.0,374.0,139.0,263.0,140.0,,249.0,Third Line,81,1232.7833333333,16,23,39,14.91,52.63,48.87,20,2001-10-11,CAN,CAN,73,195,2020,1,1,8482109.0
2022-2023,Aliaksei Protas,WSH,F,245.0,173.0,,,211.0,39.0,227.0,367.0,190.0,390.0,343.0,289.0,,378.0,Fourth Line,58,668.01666666667,4,11,15,8.42,45.10,54.83,21,2001-01-06,BLR,BLR,78,225,2019,3,91,8481656.0
2022-2023,Anders Lee,NYI,F,70.0,300.0,111.0,,68.0,324.0,84.0,29.0,275.0,38.0,195.0,159.0,,106.0,Second Line,82,1412.2833333333,28,22,50,34.66,54.00,54.59,32,1990-07-03,USA,USA,75,235,2009,6,152,8475314.0
2022-2023,Andre Burakovsky,SEA,F,99.0,258.0,157.0,,134.0,284.0,207.0,153.0,37.0,145.0,173.0,394.0,,111.0,Second Line,49,811.13333333333,13,26,39,8.55,50.00,45.43,27,1995-02-09,AUT,SWE,75,209,2013,1,23,8477444.0
2022-2023,Andreas Athanasiou,CHI,F,193.0,324.0,250.0,,315.0,392.0,91.0,97.0,274.0,195.0,34.0,383.0,,152.0,Second Line,81,1296.2833333333,20,20,40,18.67,40.00,42.71,28,1994-08-06,CAN,CAN,74,190,2012,4,110,8476960.0
2022-2023,Andrei Kuzmenko,VAN,F,138.0,195.0,101.0,,159.0,118.0,364.0,31.0,152.0,99.0,70.0,436.0,,91.0,Second Line,81,1315.5833333333,39,35,74,21.92,57.66,53.51,26,1996-02-04,RUS,RUS,71,194,-,-,-,8483808.0
2022-2023,Andrei Svechnikov,CAR,F,17.0,194.0,37.0,,11.0,37.0,37.0,46.0,53.0,89.0,374.0,84.0,,56.0,First Line,64,1155.0833333333,23,32,55,24.61,57.69,60.54,22,2000-03-26,RUS,RUS,74,195,2018,1,2,8480830.0
2022-2023,Andrew Cogliano,COL,F,422.0,64.0,,135.0,395.0,111.0,375.0,364.0,427.0,403.0,324.0,190.0,,384.0,Fourth Line,79,996.8,10,9,19,7.24,55.56,45.36,35,1987-06-14,CAN,CAN,70,179,2005,1,25,8471699.0
2022-2023,Andrew Copp,DET,F,313.0,351.0,217.0,105.0,311.0,275.0,350.0,363.0,156.0,268.0,280.0,357.0,70.0,161.0,First Line,82,1488.7166666667,9,33,42,14.18,50.00,42.64,28,1994-07-08,USA,USA,73,199,2013,4,104,8477429.0
2022-2023,Andrew Mangiapane,CGY,F,46.0,102.0,205.0,7.0,19.0,61.0,110.0,41.0,150.0,183.0,162.0,241.0,,143.0,Second Line,82,1379.3833333333,17,26,43,25.75,56.86,58.23,26,1996-04-04,CAN,CAN,70,184,2015,6,166,8478233.0
2022-2023,Anthony Beauvillier,NYI,F,221.0,378.0,149.0,,184.0,365.0,211.0,264.0,211.0,126.0,209.0,298.0,,190.0,Second Line,82,1333.8666666667,18,22,40,18.35,46.67,48.03,25,1997-06-08,CAN,CAN,71,180,2015,1,28,8478463.0
2022-2023,Anthony Beauvillier,VAN,F,221.0,378.0,149.0,,184.0,365.0,211.0,264.0,211.0,126.0,209.0,298.0,,190.0,Second Line,82,1333.8666666667,18,22,40,18.35,46.67,48.03,25,1997-06-08,CAN,CAN,71,180,2015,1,28,8478463.0
2022-2023,Anthony Cirelli,TBL,F,163.0,219.0,,114.0,94.0,232.0,210.0,280.0,103.0,337.0,40.0,285.0,84.0,209.0,Second Line,58,960.53333333333,11,18,29,14.77,61.40,51.66,25,1997-07-15,CAN,CAN,72,189,2015,3,72,8478519.0
2022-2023,Anthony Mantha,WSH,F,152.0,159.0,275.0,,202.0,99.0,143.0,174.0,109.0,283.0,277.0,189.0,,204.0,Third Line,67,952.63333333333,11,16,27,12.36,46.67,52.74,27,1994-09-16,CAN,CAN,77,234,2013,1,20,8477511.0
2022-2023,Anton Lundell,FLA,F,142.0,123.0,174.0,99.0,44.0,139.0,134.0,195.0,278.0,207.0,241.0,390.0,155.0,169.0,Second Line,73,1195.05,12,21,33,16.39,52.70,53.89,20,2001-10-03,FIN,FIN,73,185,2020,1,12,8482113.0
2022-2023,Anze Kopitar,LAK,F,150.0,250.0,109.0,181.0,102.0,171.0,269.0,177.0,110.0,291.0,109.0,325.0,14.0,88.0,First Line,82,1664.7833333333,28,46,74,19.51,58.25,51.72,35,1987-08-24,SVN,SVN,75,225,2005,1,11,8471685.0
2022-2023,Artemi Panarin,NYR,F,126.0,428.0,11.0,,144.0,247.0,308.0,166.0,24.0,243.0,155.0,426.0,,30.0,First Line,82,1607.8333333333,29,63,92,21.02,54.31,50.44,30,1991-10-30,RUS,RUS,72,173,-,-,-,8478550.0
2022-2023,Arthur Kaliyev,LAK,F,94.0,332.0,14.0,,80.0,146.0,22.0,231.0,215.0,30.0,298.0,278.0,,205.0,Fourth Line,56,653.95,13,15,28,13.64,51.02,51.18,21,2001-06-26,USA,USA,74,210,2019,2,33,8481560.0
2022-2023,Artturi Lehkonen,COL,F,140.0,110.0,158.0,21.0,84.0,142.0,135.0,165.0,208.0,121.0,290.0,192.0,,114.0,First Line,64,1308.95,21,30,51,19.96,55.17,53.37,27,1995-07-04,FIN,FIN,71,179,2013,2,55,8477476.0
2022-2023,Austin Czarnik,DET,F,397.0,12.0,,,401.0,57.0,376.0,288.0,396.0,90.0,46.0,312.0,157.0,423.0,Fourth Line,29,324.0,3,2,5,3.03,47.37,48.98,29,1992-12-12,USA,USA,69,170,-,-,-,8478512.0
2022-2023,Austin Watson,OTT,F,394.0,96.0,,64.0,405.0,263.0,204.0,293.0,422.0,438.0,435.0,8.0,,355.0,Fourth Line,75,767.46666666667,9,2,11,7.64,36.11,44.29,30,1992-01-13,USA,USA,76,204,2010,1,18,8475766.0
2022-2023,Auston Matthews,TOR,F,1.0,11.0,6.0,,9.0,122.0,3.0,1.0,9.0,31.0,28.0,288.0,34.0,3.0,First Line,74,1500.6,40,45,85,39.04,66.96,57.57,24,1997-09-17,USA,USA,75,208,2016,1,1,8479318.0
2022-2023,Axel Jonsson-Fjallby,WPG,F,324.0,77.0,,134.0,396.0,46.0,232.0,188.0,341.0,308.0,215.0,194.0,,372.0,Fourth Line,50,522.8,6,8,14,5.07,48.48,48.68,24,1998-02-10,SWE,SWE,73,189,2016,5,147,8479536.0
2022-2023,Barclay Goodrow,NYR,F,336.0,246.0,,53.0,299.0,291.0,394.0,319.0,259.0,331.0,356.0,103.0,114.0,280.0,Third Line,82,1162.0,11,20,31,10.46,50.00,45.78,29,1993-02-26,CAN,CAN,74,204,-,-,-,8476624.0
2022-2023,Barrett Hayton,ARI,F,276.0,313.0,211.0,193.0,277.0,258.0,248.0,238.0,309.0,386.0,19.0,217.0,93.0,194.0,Second Line,82,1434.8166666667,19,24,43,22.18,49.04,49.66,22,2000-06-09,CAN,CAN,73,207,2018,1,5,8480849.0
2022-2023,Ben Meyers,COL,F,411.0,5.0,,,326.0,11.0,368.0,193.0,445.0,317.0,191.0,245.0,79.0,440.0,Fourth Line,39,374.26666666667,4,0,4,5.6,37.50,55.73,23,1998-11-15,USA,USA,71,194,-,-,-,8483570.0
2022-2023,Blake Coleman,CGY,F,56.0,66.0,,15.0,48.0,18.0,40.0,142.0,157.0,231.0,371.0,133.0,,175.0,Third Line,82,1246.65,18,20,38,25.12,52.38,58.73,30,1991-11-28,USA,USA,71,199,2011,3,75,8476399.0
2022-2023,Blake Lizotte,LAK,F,179.0,141.0,,84.0,96.0,106.0,278.0,269.0,136.0,135.0,145.0,171.0,61.0,337.0,Fourth Line,81,1048.45,11,23,34,11.88,52.44,52.9,24,1997-12-13,USA,USA,69,170,-,-,-,8481481.0
2022-2023,Blake Wheeler,WPG,F,130.0,222.0,188.0,,103.0,298.0,228.0,284.0,36.0,45.0,409.0,304.0,,102.0,Second Line,72,1227.1833333333,16,39,55,18.79,54.55,50.33,36,1986-08-31,USA,USA,77,220,2004,1,5,8471218.0
