Season,Player ID,Player,Team,Position,ovr_pct,evs_pct,pkl_pct,ldg_pct,mdg_pct,hdg_pct,rbd_pct,tmd_pct,gre_pct,qal_pct,bad_pct,awf_pct,wrk_pct,ovr_rank,evs_rank,pkl_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,wrk_rank,all_players,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,W,L,OT/SO,Shutouts,Age,ovr_history,evs_history,pkl_history,team_history
2011-2012,8471219,Al Montoya,NYI,G,84.5,79.3,74.1,72.4,46.6,86.2,8.6,3.4,56.9,82.8,82.8,82.8,20.7,10,13,16,17,32,9,54,57,26,11,11,11,47,58,Backup,31.0,1719.7,0.893,3.11,79.64,89.0,G,74.0,200.0,1985-02-13,USA,2004.0,1.0,6.0,L,9,11,5,0,26,"[None, None, None, 98, 12]","[None, None, None, 98, 15]","[None, None, None, 83, 60]","[None, None, None, 'NYI', 'NYI']"
2011-2012,8467913,Alex Auld,OTT,G,22.4,22.4,37.9,43.1,48.3,17.2,32.8,96.6,15.5,20.7,20.7,56.9,3.4,46,46,37,34,31,49,40,3,50,47,47,26,57,58,Backup,14.0,645.03,0.884,3.35,28.15,36.0,G,76.0,215.0,1981-01-07,CAN,1999.0,2.0,40.0,L,2,4,2,0,30,"[None, None, 5, 69, 27]","[None, None, 5, 59, 36]","[None, None, 28, 87, 20]","[None, None, 'NYR', 'MTL', 'OTT']"
2011-2012,8474765,Anders Lindback,NSH,G,60.3,70.7,29.3,53.4,91.4,41.4,87.9,79.3,27.6,51.7,50.0,75.9,10.3,24,18,42,28,6,35,8,13,43,29,30,15,53,58,Backup,16.0,792.42,0.912,2.42,35.39,32.0,G,78.0,215.0,1988-05-03,SWE,2008.0,7.0,207.0,L,5,8,0,0,23,"[None, None, None, 56, 63]","[None, None, None, 67, 60]","[None, None, None, 17, 63]","[None, None, None, 'NSH', 'NSH']"
2011-2012,8474550,Antti Niemi,SJS,G,58.6,67.2,25.9,50.0,53.4,63.8,34.5,72.4,39.7,27.6,27.6,22.4,74.1,25,20,44,30,28,22,39,17,36,43,43,46,16,58,Starter,68.0,3915.77,0.915,2.44,148.83,159.0,G,74.0,209.0,1983-08-29,FIN,,,,L,34,22,9,6,28,"[None, None, 68, 54, 51]","[None, None, 65, 54, 69]","[None, None, 58, 32, 15]","[None, None, 'CHI', 'SJS', 'SJS']"
2011-2012,8462161,Brent Johnson,PIT,G,20.7,19.0,50.0,51.7,15.5,25.9,36.2,84.5,29.3,17.2,15.5,5.2,12.1,47,48,30,29,50,44,38,10,42,49,50,56,52,58,Backup,16.0,811.08,0.883,3.11,31.08,42.0,G,75.0,199.0,1977-03-12,USA,1995.0,5.0,129.0,L,6,7,2,0,34,"[None, None, 35, 71, 5]","[None, None, 36, 71, 5]","[None, None, 45, 69, 39]","[None, None, 'PIT', 'PIT', 'PIT']"
2011-2012,8470880,Brian Elliott,STL,G,15.5,12.1,81.0,12.1,58.6,8.6,72.4,86.2,48.3,37.9,37.9,77.6,58.6,50,52,12,52,25,54,17,9,31,37,37,14,25,58,Tandem (1B),38.0,2214.58,0.94,1.57,76.29,58.0,G,74.0,221.0,1985-04-09,CAN,2003.0,9.0,291.0,L,23,10,4,9,26,"[None, None, 13, 1, 94]","[None, None, 6, 1, 94]","[None, None, 81, 25, 91]","[None, None, 'OTT', 'COL', 'STL']"
2011-2012,8470320,Cam Ward,CAR,G,96.6,98.3,93.1,31.0,86.2,91.4,5.2,1.7,94.8,84.5,84.5,67.2,86.2,3,2,5,41,9,6,56,58,4,10,10,20,9,58,Starter,68.0,3985.48,0.915,2.74,192.99,182.0,G,73.0,194.0,1984-02-29,CAN,2002.0,1.0,25.0,L,30,23,13,5,27,"[None, None, 98, 95, 86]","[None, None, 96, 93, 86]","[None, None, 61, 93, 69]","[None, None, 'CAR', 'CAR', 'CAR']"
2011-2012,8471679,Carey Price,MTL,G,65.5,50.0,87.9,79.3,22.4,62.1,50.0,37.9,75.9,55.2,55.2,72.4,82.8,21,30,8,13,46,23,30,37,15,27,27,17,11,58,Starter,65.0,3939.1,0.916,2.44,159.72,160.0,G,75.0,217.0,1987-08-16,CAN,2005.0,1.0,5.0,L,26,28,11,4,24,"[None, None, 40, 80, 46]","[None, None, 38, 75, 37]","[None, None, 51, 88, 72]","[None, None, 'MTL', 'MTL', 'MTL']"
2011-2012,8462152,Chris Mason,WPG,G,13.8,8.6,63.8,19.0,13.8,31.0,65.5,69.0,58.6,22.4,22.4,37.9,37.9,51,54,22,48,51,41,21,19,25,46,46,37,37,58,Backup,20.0,974.87,0.898,2.65,42.13,43.0,G,72.0,198.0,1976-04-20,CAN,1995.0,5.0,122.0,L,8,7,1,2,35,"[None, None, 81, 4, 29]","[None, None, 66, 6, 24]","[None, None, 98, 22, 56]","[None, None, 'STL', 'ATL', 'WPG']"
2011-2012,8470645,Corey Crawford,CHI,G,39.7,58.6,10.3,32.8,75.9,51.7,63.8,41.4,24.1,63.8,63.8,29.3,72.4,36,25,53,40,15,29,22,35,45,22,22,42,17,58,Starter,57.0,3218.12,0.903,2.72,126.54,146.0,G,74.0,216.0,1984-12-31,CAN,2003.0,2.0,52.0,L,30,17,7,0,26,"[None, None, None, 75, 13]","[None, None, None, 77, 25]","[None, None, None, 48, 5]","[None, None, None, 'CHI', 'CHI']"
