Season,Player,Team,Position,ovr_pct,evs_pct,pkl_pct,ldg_pct,mdg_pct,hdg_pct,rbd_pct,tmd_pct,gre_pct,qal_pct,bad_pct,awf_pct,wrk_pct,ovr_rank,evs_rank,pkl_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,wrk_rank,all_players,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Player ID,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,W,L,OT/SO,Shutouts,Age,ovr_history,evs_history,pkl_history,team_history
2013-2014,Al Montoya,WPG,G,38.8,37.3,59.7,43.3,41.8,41.8,76.1,52.2,31.3,43.3,22.4,77.6,38.8,42,43,28,39,40,40,17,33,45,37,51,15,42,67,Backup,28.0,1540.9,0.9199457259158752,2.297358686481926,60.42945057261551,59.0,8471219,G,74.0,200.0,1985-02-13,USA,2004.0,1.0,6.0,L,13,8,3,2,28,"[None, 83, 15, None, 50]","[None, 82, 13, None, 47]","[None, 75, 62, None, 58]","[None, 'NYI', 'NYI', None, 'WPG']"
2013-2014,Alex Stalock,SJS,G,67.2,47.8,94.0,91.0,16.4,80.6,62.7,92.5,50.0,35.8,16.4,99.3,23.9,23,36,5,7,57,14,26,6,33,42,55,1,52,67,Backup,24.0,1251.7166666666667,0.9316987740805605,1.869432645833056,42.242641681753994,39.0,8471774,G,71.0,170.0,1987-07-28,USA,2005.0,4.0,112.0,L,12,5,2,2,26,"[None, None, None, None, 65]","[None, None, None, None, 49]","[None, None, None, None, 85]","[None, None, None, None, 'SJS']"
2013-2014,Anders Lindback,TBL,G,25.4,28.4,28.4,31.3,62.7,28.4,83.6,62.7,10.4,17.9,3.0,16.4,17.9,51,49,49,47,26,49,12,26,59,54,64,55,56,67,Backup,23.0,1302.3166666666666,0.8946488294314381,2.9025198684395757,53.01145583988402,63.0,8474765,G,78.0,215.0,1988-05-03,SWE,2008.0,7.0,207.0,L,8,12,2,1,25,"[None, 40, 46, 28, 23]","[None, 54, 48, 3, 43]","[None, 22, 60, 98, 4]","[None, 'NSH', 'NSH', 'TBL', 'TBL']"
2013-2014,Anders Nilsson,NYI,G,47.8,67.2,13.4,74.6,98.5,44.8,35.8,4.5,93.3,94.8,82.8,13.4,10.4,36,23,59,18,2,38,44,65,5,4,12,57,61,67,Backup,19.0,1096.1666666666667,0.8959854014598541,3.1199635091987226,56.73238142847491,57.0,8475195,G,78.0,232.0,1990-03-19,SWE,2009.0,3.0,62.0,L,8,7,2,0,23,"[None, None, None, None, 47]","[None, None, None, None, 65]","[None, None, None, None, 20]","[None, None, None, None, 'NYI']"
2013-2014,Anton Khudobin,CAR,G,91.0,86.6,91.0,71.6,73.1,67.2,37.3,37.3,80.6,88.8,70.9,74.6,35.8,7,10,7,20,19,23,43,43,13,7,19,17,44,67,Tandem (1B),36.0,2084.3,0.9256505576208178,2.302931439811927,95.22759970032334,80.0,8471418,G,71.0,210.0,1986-05-07,KAZ,2004.0,7.0,206.0,L,19,14,1,1,27,"[None, None, None, 50, 94]","[None, None, None, 26, 94]","[None, None, None, 93, 68]","[None, None, None, 'BOS', 'CAR']"
2013-2014,Antti Niemi,SJS,G,37.3,49.3,32.8,47.8,53.7,37.3,52.2,79.1,35.8,47.8,28.4,44.8,100.0,43,35,46,36,32,43,33,15,42,34,47,37,1,67,Starter,64.0,3720.2833333333338,0.9138728323699422,2.403042778999807,137.95702373550466,149.0,8474550,G,74.0,209.0,1983-08-29,FIN,,,,L,39,17,7,4,30,"[70, 61, 48, 84, 28]","[60, 69, 72, 84, 26]","[65, 32, 6, 75, 32]","['CHI', 'SJS', 'SJS', 'SJS', 'SJS']"
2013-2014,Antti Raanta,CHI,G,16.4,11.9,62.7,20.9,38.8,6.0,70.1,65.7,6.0,61.2,41.8,21.6,26.9,57,60,26,54,42,64,21,24,62,25,38,52,50,67,Backup,25.0,1376.25,0.8967213114754098,2.746594005449591,55.773969551268195,63.0,8477293,G,72.0,195.0,1989-05-12,FIN,,,,L,13,5,4,1,24,"[None, None, None, None, 20]","[None, None, None, None, 17]","[None, None, None, None, 62]","[None, None, None, None, 'CHI']"
2013-2014,Ben Bishop,TBL,G,86.6,91.0,64.2,49.3,40.3,86.6,65.7,43.3,59.7,25.4,89.6,83.6,79.1,10,7,25,35,41,10,24,39,27,49,8,11,15,67,Starter,63.0,3586.35,0.9243888573052872,2.225103517503869,143.71926256313552,133.0,8471750,G,79.0,210.0,1986-11-21,USA,2005.0,3.0,85.0,L,37,14,7,5,26,"[None, None, None, 59, 92]","[None, None, None, 57, 89]","[None, None, None, 52, 65]","[None, None, None, 'TBL', 'TBL']"
2013-2014,Ben Scrivens,EDM,G,71.6,65.7,77.6,40.3,82.1,43.3,13.4,20.9,40.3,14.9,77.6,68.7,47.8,20,24,16,41,13,39,59,54,39,56,15,21,36,67,Tandem (1B),40.0,2210.116666666667,0.9219917012448132,2.5519014833304423,102.81573110920402,94.0,8475681,G,74.0,181.0,1986-09-11,CAN,,,,L,16,16,4,4,26,"[None, None, None, 33, 86]","[None, None, None, 38, 82]","[None, None, None, 43, 88]","[None, None, None, 'TOR', 'EDM']"
2013-2014,Braden Holtby,WSH,G,82.1,92.5,14.9,17.9,77.6,94.0,14.9,14.9,95.5,73.1,53.7,9.0,70.1,13,6,58,56,16,5,58,58,4,17,30,59,21,67,Tandem (1A),48.0,2656.3333333333335,0.9173660426081344,2.8912034132262514,131.68152056337416,128.0,8474651,G,73.0,215.0,1989-09-16,CAN,2008.0,4.0,93.0,L,23,15,4,4,23,"[None, 58, None, 78, 82]","[None, 46, None, 77, 91]","[None, 77, None, 59, 11]","[None, 'WSH', None, 'WSH', 'WSH']"
