Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,W,L,OT/SO,Shutouts
2020-2021,Adin Hill,ARI,G,20.0,24.0,27.0,17.0,31.0,27.0,60.0,59.0,42.0,14.0,14.0,9.0,35.0,Backup,19,1005.9,0.913,2.74,46.17,46,24,1996-05-11,CAN,CAN,76,215,2015,3,76,8478499,9,9,1,2
2020-2021,Alex Nedeljkovic,CAR,G,2.0,2.0,5.0,6.0,8.0,4.0,33.0,14.0,5.0,19.0,20.0,3.0,2.0,Tandem (1B),23,1392.0333333333,0.932,1.9,54.73,44,24,1996-01-07,USA,USA,72,208,2014,2,37,8477968,15,5,3,3
2020-2021,Alexandar Georgiev,NYR,G,43.0,46.0,11.0,37.0,17.0,61.0,12.0,45.0,51.0,49.0,49.0,36.0,37.0,Backup,19,973.93333333333,0.905,2.71,39.63,44,24,1996-02-10,RUS,RUS,73,178,-,-,-,8480382,8,7,2,2
2020-2021,Andrei Vasilevskiy,TBL,G,3.0,6.0,19.0,19.0,13.0,6.0,25.0,52.0,14.0,11.0,12.0,12.0,4.0,Starter,42,2523.6166666667,0.925,2.21,99.37,93,26,1994-07-25,RUS,RUS,76,220,2012,1,19,8476883,31,10,1,5
2020-2021,Anton Khudobin,DAL,G,32.0,15.0,58.0,57.0,7.0,22.0,8.0,6.0,13.0,17.0,18.0,32.0,29.0,Tandem (1A),32,1795.9166666667,0.905,2.54,64.62,76,34,1986-05-07,KAZ,RUS,71,210,2004,7,206,8471418,12,11,7,3
2020-2021,Antti Raanta,ARI,G,27.0,12.0,14.0,12.0,5.0,43.0,69.0,69.0,46.0,30.0,27.0,41.0,42.0,Backup,12,678.83333333333,0.905,3.36,35.12,38,31,1989-05-12,FIN,FIN,72,195,-,-,-,8477293,5,5,2,0
2020-2021,Braden Holtby,VAN,G,61.0,62.0,44.0,36.0,25.0,69.0,42.0,67.0,64.0,60.0,60.0,63.0,63.0,Backup,21,1260.4833333333,0.889,3.67,63.96,77,30,1989-09-16,CAN,CAN,73,215,2008,4,93,8474651,7,11,3,0
2020-2021,Brian Elliott,PHI,G,63.0,63.0,55.0,66.0,62.0,54.0,39.0,16.0,43.0,39.0,39.0,52.0,49.0,Tandem (1A),30,1607.7166666667,0.889,3.06,60.61,82,35,1985-04-09,CAN,CAN,74,221,2003,9,291,8470880,15,9,2,2
2020-2021,Cal Petersen,LAK,G,26.0,19.0,38.0,24.0,53.0,7.0,68.0,57.0,29.0,34.0,34.0,38.0,53.0,Starter,35,2018.9166666667,0.911,2.88,94.98,97,25,1994-10-19,USA,USA,74,185,2013,5,129,8477361,9,18,5,0
2020-2021,Cam Talbot,MIN,G,38.0,32.0,42.0,14.0,33.0,46.0,43.0,33.0,36.0,15.0,16.0,31.0,21.0,Tandem (1A),33,1976.1166666667,0.915,2.61,78.44,86,33,1987-07-05,CAN,CAN,76,201,-,-,-,8475660,19,8,5,2
