Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,W,L,OT/SO,Shutouts,all_history,evs_history,gpk_history,team_history
2022-2023,Adin Hill,VGK,G,40.0,39.0,42.0,30.0,54.0,38.0,20.0,19.0,11.0,31.0,29.0,35.0,27.0,Backup,27,1490.9,0.914,2.5,65.8,62,26,1996-05-11,CAN,CAN,76,215,2015,3,76,8478499.0,16,7,1,0,"[44, 70, 71, 17, 59]","[9, 91, 62, 32, 46]","[44, 8, 91, 26, 49]","['ARI', 'ARI', 'ARI', 'SJS', 'VGK']"
2022-2023,Akira Schmid,NJD,G,8.0,14.0,68.0,1.0,48.0,54.0,41.0,4.0,13.0,21.0,27.0,10.0,19.0,Backup,18,901.35,0.922,2.13,38.74,32,22,2000-05-12,CHE,CHE,77,205,2018,5,136,8481033.0,9,5,2,1,"[None, None, None, None, 78]","[None, None, None, None, 67]","[None, None, None, None, 16]","[None, None, None, None, 'NJD']"
2022-2023,Alex Lyon,FLA,G,4.0,5.0,2.0,67.0,16.0,13.0,74.0,65.0,17.0,7.0,10.0,19.0,20.0,Backup,15,893.18333333333,0.912,2.89,51.56,43,29,1992-12-09,USA,USA,73,201,-,-,-,8479312.0,9,4,2,1,"[None, None, None, None, 89]","[None, None, None, None, 84]","[None, None, None, None, 96]","[None, None, None, None, 'FLA']"
2022-2023,Alex Nedeljkovic,DET,G,59.0,32.0,72.0,68.0,15.0,20.0,68.0,67.0,47.0,59.0,58.0,44.0,54.0,Backup,15,832.63333333333,0.895,3.53,41.3,49,26,1996-01-07,USA,USA,72,208,2014,2,37,8477968.0,5,7,2,0,"[None, None, 94, 35, 12]","[None, None, 96, 42, 54]","[None, None, 78, 46, 1]","[None, None, 'CAR', 'DET', 'DET']"
2022-2023,Alex Stalock,CHI,G,39.0,48.0,14.0,72.0,5.0,41.0,34.0,51.0,22.0,40.0,39.0,50.0,41.0,Backup,27,1475.3333333333,0.908,3.01,70.07,74,35,1987-07-28,USA,USA,71,170,2005,4,112,8471774.0,9,15,2,2,"[11, 12, None, None, 46]","[24, 17, None, None, 33]","[8, 53, None, None, 67]","['MIN', 'MIN', None, None, 'CHI']"
2022-2023,Alexandar Georgiev,COL,G,22.0,17.0,57.0,25.0,31.0,17.0,17.0,20.0,20.0,25.0,20.0,15.0,13.0,Starter,62,3700.3333333333,0.918,2.53,173.06,156,26,1996-02-10,RUS,RUS,73,178,-,-,-,8480382.0,40,16,6,5,"[89, 77, 45, 32, 80]","[62, 67, 33, 58, 83]","[97, 89, 94, 1, 51]","['NYR', 'NYR', 'NYR', 'NYR', 'COL']"
2022-2023,Andrei Vasilevskiy,TBL,G,7.0,8.0,17.0,14.0,21.0,5.0,14.0,41.0,5.0,11.0,9.0,8.0,6.0,Starter,60,3596.4166666667,0.915,2.65,177.61,159,28,1994-07-25,RUS,RUS,76,220,2012,1,19,8476883.0,34,22,4,4,"[83, 45, 88, 84, 88]","[65, 47, 87, 86, 82]","[82, 44, 46, 35, 88]","['TBL', 'TBL', 'TBL', 'TBL', 'TBL']"
2022-2023,Anthony Stolarz,ANA,G,14.0,26.0,9.0,74.0,19.0,14.0,73.0,71.0,56.0,50.0,49.0,42.0,55.0,Backup,19,820.05,0.897,3.73,51.6,51,28,1994-01-20,USA,USA,78,243,2012,2,45,8476932.0,5,6,0,0,"[20, None, None, 78, 70]","[48, None, None, 57, 61]","[36, None, None, 96, 74]","['PHI', None, None, 'ANA', 'ANA']"
2022-2023,Anton Forsberg,OTT,G,16.0,28.0,12.0,42.0,41.0,35.0,71.0,52.0,19.0,18.0,18.0,29.0,36.0,Backup,28,1471.7166666667,0.902,3.26,81.63,80,29,1992-11-27,SWE,SWE,75,193,2011,7,188,8476341.0,11,11,2,2,"[None, None, None, 90, 62]","[None, None, None, 71, 53]","[None, None, None, 94, 53]","[None, None, None, 'OTT', 'OTT']"
2022-2023,Antti Raanta,CAR,G,26.0,21.0,39.0,37.0,33.0,12.0,3.0,11.0,38.0,36.0,35.0,28.0,11.0,Backup,27,1561.2166666667,0.910,2.23,60.8,58,33,1989-05-12,FIN,FIN,72,195,-,-,-,8477293.0,19,3,3,4,"[None, 88, 61, 75, 50]","[None, 68, 68, 88, 50]","[None, 85, 86, 68, 34]","[None, 'ARI', 'ARI', 'CAR', 'CAR']"
2022-2023,Arvid Soderblom,CHI,G,55.0,27.0,75.0,27.0,58.0,26.0,63.0,66.0,71.0,66.0,65.0,67.0,72.0,Backup,15,835.23333333333,0.894,3.45,42.43,48,23,1999-08-19,SWE,SWE,75,180,-,-,-,8482821.0,2,10,2,0,"[None, None, None, None, 24]","[None, None, None, None, 51]","[None, None, None, None, 0]","[None, None, None, None, 'CHI']"
2022-2023,Brian Elliott,TBL,G,54.0,55.0,69.0,66.0,62.0,23.0,8.0,24.0,66.0,70.0,67.0,70.0,40.0,Backup,22,1324.7333333333,0.891,3.4,67.12,75,37,1985-04-09,CAN,CAN,74,221,2003,9,291,8470880.0,12,8,2,2,"[52, 20, 6, 51, 26]","[55, 15, 7, 45, 34]","[21, 39, 28, 55, 5]","['PHI', 'PHI', 'PHI', 'TBL', 'TBL']"
2022-2023,Cam Talbot,OTT,G,50.0,61.0,32.0,28.0,36.0,67.0,5.0,8.0,16.0,15.0,12.0,17.0,29.0,Tandem (1B),36,1948.4166666667,0.898,2.93,92.62,95,35,1987-07-05,CAN,CAN,76,201,-,-,-,8475660.0,17,14,2,1,"[8, 65, 54, 20, 41]","[36, 56, 57, 20, 18]","[2, 91, 51, 19, 86]","['EDM', 'CGY', 'MIN', 'MIN', 'OTT']"
2022-2023,Carter Hart,PHI,G,42.0,36.0,56.0,3.0,45.0,36.0,47.0,42.0,52.0,65.0,64.0,51.0,44.0,Starter,55,3163.7666666667,0.907,2.94,160.02,155,24,1998-08-13,CAN,CAN,74,181,2016,2,48,8479394.0,22,23,10,2,"[48, 67, 3, 38, 67]","[30, 58, 1, 54, 79]","[80, 33, 0, 38, 36]","['PHI', 'PHI', 'PHI', 'PHI', 'PHI']"
2022-2023,Casey DeSmith,PIT,G,21.0,20.0,40.0,34.0,29.0,33.0,62.0,57.0,36.0,23.0,21.0,11.0,34.0,Tandem (1B),38,2065.95,0.905,3.17,112.49,109,31,1991-08-13,USA,USA,72,181,-,-,-,8479193.0,15,16,4,0,"[65, None, 68, 55, 72]","[71, None, 72, 49, 72]","[65, None, 23, 33, 59]","['PIT', None, 'PIT', 'PIT', 'PIT']"
2022-2023,Charlie Lindgren,WSH,G,47.0,60.0,8.0,75.0,14.0,49.0,21.0,27.0,41.0,53.0,52.0,57.0,46.0,Backup,31,1692.0666666667,0.899,3.05,80.5,86,28,1993-12-18,USA,USA,74,179,-,-,-,8479292.0,13,11,3,0,"[None, None, None, None, 34]","[None, None, None, None, 22]","[None, None, None, None, 80]","[None, None, None, None, 'WSH']"
2022-2023,Collin Delia,VAN,G,53.0,50.0,6.0,60.0,22.0,73.0,66.0,23.0,46.0,68.0,68.0,72.0,65.0,Backup,20,1135.6666666667,0.882,3.28,56.95,62,28,1994-06-20,USA,USA,74,208,-,-,-,8480420.0,10,6,2,0,"[59, None, None, None, 30]","[70, None, None, None, 30]","[58, None, None, None, 82]","['CHI', None, None, None, 'VAN']"
2022-2023,Connor Hellebuyck,WPG,G,5.0,4.0,10.0,4.0,9.0,24.0,24.0,45.0,12.0,5.0,4.0,5.0,9.0,Starter,64,3778.0,0.920,2.49,189.63,157,29,1993-05-19,USA,USA,76,216,2012,5,130,8476945.0,37,25,2,4,"[50, 98, 96, 83, 95]","[38, 98, 94, 81, 89]","[68, 59, 64, 83, 87]","['WPG', 'WPG', 'WPG', 'WPG', 'WPG']"
2022-2023,Connor Ingram,ARI,G,15.0,22.0,24.0,5.0,39.0,37.0,60.0,63.0,30.0,14.0,14.0,23.0,47.0,Backup,27,1586.6666666667,0.907,3.37,89.84,89,25,1997-03-31,CAN,CAN,74,196,2016,3,88,8478971.0,6,13,8,1,"[None, None, None, None, 68]","[None, None, None, None, 55]","[None, None, None, None, 55]","[None, None, None, None, 'ARI']"
2022-2023,Craig Anderson,BUF,G,38.0,47.0,26.0,20.0,68.0,32.0,25.0,53.0,27.0,42.0,41.0,39.0,37.0,Backup,26,1490.0333333333,0.908,3.06,75.4,76,41,1981-05-21,USA,USA,74,187,2001,3,73,8467950.0,11,11,2,1,"[21, 23, None, 23, 57]","[17, 50, None, 12, 45]","[67, 30, None, 81, 54]","['OTT', 'OTT', None, 'BUF', 'BUF']"
2022-2023,Dan Vladar,CGY,G,57.0,53.0,53.0,41.0,66.0,34.0,10.0,10.0,55.0,63.0,62.0,63.0,39.0,Backup,27,1485.05,0.892,2.91,64.58,72,25,1997-08-20,CZE,CZE,77,209,2015,3,75,8478435.0,14,6,5,0,"[None, None, None, 30, 20]","[None, None, None, 39, 29]","[None, None, None, 20, 30]","[None, None, None, 'CGY', 'CGY']"
2022-2023,Daniil Tarasov,CBJ,G,65.0,63.0,62.0,56.0,52.0,66.0,75.0,74.0,63.0,72.0,71.0,53.0,71.0,Backup,17,874.13333333333,0.892,3.91,48.93,57,23,1999-03-27,RUS,RUS,77,196,2017,3,86,8480193.0,4,11,1,0,"[None, None, None, None, 16]","[None, None, None, None, 16]","[None, None, None, None, 20]","[None, None, None, None, 'CBJ']"
2022-2023,Darcy Kuemper,WSH,G,12.0,30.0,5.0,45.0,35.0,25.0,37.0,34.0,29.0,28.0,22.0,26.0,23.0,Starter,57,3223.7833333333,0.908,2.87,163.61,154,32,1990-05-05,CAN,CAN,77,215,2009,6,161,8475311.0,22,26,7,5,"[82, 92, 59, 93, 74]","[56, 77, 35, 83, 57]","[85, 47, 70, 90, 92]","['ARI', 'ARI', 'ARI', 'COL', 'WSH']"
