Season,Team,Team Abbreviation,Games Played,Wins,Losses,Overtime/Shootout Losses,Regulation Wins,Regulation/Overtime Wins,Points,Point %,Goals For,Goals Against,Goal Differential,GF,GA,xGF,xGA,SF,SA,SV%,EV_GF,EV_GA,EV_xGF,EV_xGA,EV_GF%,EV_xGF%,EV_SF%,EV_CF%,EV_FF%,EV_SH%,EV_SV%,PP_GF,PK_GA,SRS Rank History,Elo History,League Rank,Conference Rank,Division Rank,GAx,GSAx,gf_rank,ga_rank,xgf_rank,xga_rank,pp_rank,pk_rank,sf_rank,sa_rank,fn_rank,gt_rank
2021-2022,Florida Panthers,FLA,82,58,18,6,42,55,122,0.744,340,246,94,337,242,298.19,239.02,3062,2515,90.38,2.18,1.61,2.0663,1.6284999999999998,0.5752,0.5592,0.5604,0.5636,0.5606,0.0895,0.9158,62,49,"[19.0, 18.0, 17.0, 6.0, 1.0]","[1500.0, 1506.2364634331873, 1520.9179607786537, 1536.383374400463, 1547.8893920574549, 1560.7458314431829, 1567.6454859767634, 1579.5886210837482, 1584.7385840758088, 1579.199858722465, 1583.7715106596945, 1598.167074285516, 1588.1351495969302, 1566.0626410470124, 1560.4257864350625, 1553.2390240007016, 1566.702757600735, 1577.6682511798358, 1583.6040975330252, 1586.889315623721, 1578.9966383029575, 1554.710596587896, 1563.0070715527363, 1570.832536191298, 1572.303064058469, 1564.8804487230332, 1571.3517515273973, 1564.2069968649344, 1532.3731210819026, 1514.2305351437103, 1522.6450387601071, 1544.487636113134, 1550.9646425876242, 1567.1442975960042, 1562.3050007066372, 1571.031385312947, 1582.1930029565156, 1596.8889261070574, 1608.0246453970608, 1585.4446773181894, 1598.9720792400456, 1601.3679310842133, 1580.394647040485, 1590.5332573955304, 1603.0123070357868, 1605.7743982081502, 1616.492331012752, 1599.6852360289522, 1606.8938111746754, 1624.059310247655, 1631.609716151935, 1612.4060897883385, 1589.3424040641748, 1578.3468053380957, 1586.4789151328334, 1594.3692511559832, 1603.4880538895256, 1611.549807633551, 1616.0953023651225, 1610.1488877352135, 1613.188801307955, 1594.8521033911704, 1603.3605805802529, 1607.0049733979192, 1606.485457771782, 1587.9995573944962, 1594.145749606122, 1601.9108786484612, 1605.023072910593, 1612.726322262157, 1618.0692178102042, 1621.7194429669898, 1635.1117669433895, 1636.0141278743556, 1645.3825102823832, 1652.4117967067946, 1656.366934882063, 1660.6023979067998, 1665.0115073069194, 1639.6118341095969, 1624.8368262474228, 1634.6676287026332, 1592.0452075710357]",1,1,1,38.81,-2.9799999999999898,1,15,1,14,2,21,1,9,4,14
2021-2022,Colorado Avalanche,COL,82,56,19,7,46,52,119,0.726,312,234,78,308,232,259.97,233.75,2874,2627,91.17,1.98,1.53,1.6799000000000002,1.5434999999999999,0.5640999999999999,0.5212,0.5207999999999999,0.5287,0.5191,0.0894,0.9248999999999999,59,42,"[10.0, 15.0, 3.0, 2.0, 3.0]","[1500.0, 1511.5900106385327, 1497.3159850765503, 1483.7862395727484, 1472.2802219157566, 1477.395999381655, 1462.6635997182432, 1474.2154919899092, 1489.6156764322784, 1482.7393603364849, 1472.1132954813436, 1491.4106111091903, 1508.054012706939, 1519.1460427197703, 1532.4897535400703, 1539.9338046396606, 1553.9587432274916, 1539.9227357942843, 1553.4627500025458, 1538.5558075647991, 1549.072962671547, 1538.82371218027, 1548.0642383242302, 1569.435692234205, 1579.2995926449928, 1586.4443473074557, 1597.1291187340817, 1579.848386594306, 1588.865748641349, 1591.8811677015042, 1605.5537116082246, 1611.3739706700535, 1614.3856885513003, 1607.737057329006, 1605.344611698312, 1613.541717496753, 1615.0390099766512, 1622.796282692227, 1634.7609839108998, 1635.363111023225, 1640.0083534584508, 1643.678459483517, 1649.8463813202518, 1654.5191141234873, 1643.1818329044838, 1648.9103156574963, 1660.731032474299, 1636.1322795781284, 1646.5287055881745, 1651.6247510805165, 1626.998446777723, 1634.9121357603826, 1642.5266731261358, 1648.3537501039857, 1653.7272065458246, 1638.9765532894894, 1631.1483211128902, 1635.860517635593, 1615.6728766523684, 1603.493608978349, 1619.0820200830738, 1631.047867968908, 1637.14334611763, 1640.530146099668, 1621.0814554027236, 1625.7721217310343, 1617.9164541503756, 1626.9013776296997, 1631.8353629156031, 1637.9857177849829, 1649.2718479324956, 1652.3037297923984, 1654.6046844121058, 1664.00188593633, 1668.1309534790123, 1677.3664422937336, 1665.1162250328173, 1650.843130191703, 1633.4999115702908, 1609.762141785268, 1622.545855981807, 1614.2589131127845, 1599.4285732965102]",2,1,1,48.02999999999997,1.75,5,9,13,6,4,12,4,19,3,11
2021-2022,Carolina Hurricanes,CAR,82,54,20,8,47,53,116,0.707,278,202,76,277,200,284.06,228.27,2798,2310,91.34,1.93,1.41,1.9842,1.621,0.5778,0.5504,0.5494,0.5622,0.5579999999999999,0.0874,0.9222,47,29,"[23.0, 13.0, 6.0, 3.0, 4.0]","[1500.0, 1514.067449024315, 1522.1862288278262, 1535.0555466243834, 1552.6249370279795, 1563.003217606926, 1574.604142045999, 1581.8692602007734, 1585.3650964932988, 1590.1970409913251, 1575.8014773655036, 1581.2825317073743, 1570.68727492328, 1577.319252533022, 1588.4321058228174, 1596.2937643085122, 1602.8276672725128, 1593.7240887715257, 1581.809116576375, 1593.2587234111934, 1578.6880613234248, 1561.38329930188, 1547.5068625294407, 1556.628180312612, 1569.018326993442, 1575.8322828880923, 1586.9435856033429, 1575.9220747355027, 1582.852991432145, 1595.4408564905507, 1601.2528794489967, 1611.9721417409846, 1622.0439815686734, 1613.317596962364, 1579.3009229662289, 1589.193309646643, 1610.2970528375952, 1623.469903547817, 1597.552353644818, 1602.4398088324458, 1603.308146886873, 1606.392592441768, 1610.547764352551, 1604.998280748198, 1593.4436428832994, 1610.6825463818266, 1602.590962181142, 1595.3823870354188, 1603.7990433449254, 1612.0595447287037, 1613.578548191042, 1624.2160459205656, 1629.019944012476, 1617.5082337847432, 1593.657471794399, 1599.1513413140458, 1601.735594098988, 1613.9148617730075, 1617.5263527695977, 1604.3670160780978, 1595.2897006769906, 1589.1498036239298, 1574.7120175779496, 1581.633823506903, 1573.0732959311424, 1591.2218492653035, 1608.2523029204513, 1601.309365448607, 1607.5828708145202, 1591.516890895969, 1573.2961844727013, 1580.6192811370463, 1570.7498000281423, 1577.1479114588003, 1591.6338263529474, 1563.424930800836, 1554.189441986115, 1560.2622430169465, 1568.066470774069, 1571.61965204795, 1584.436091306765, 1593.607752096611, 1599.4976942227486]",3,2,1,-7.060000000000002,28.27000000000001,7,2,2,13,12,1,9,1,27,2
2021-2022,Toronto Maple Leafs,TOR,81,54,20,7,45,51,115,0.71,315,253,62,312,252,276.79,217.71,2835,2512,89.97,2.08,1.82,1.9058000000000002,1.5443,0.5333,0.5524,0.5283,0.5356000000000001,0.531,0.0932,0.9087000000000001,58,41,"[6.0, 4.0, 11.0, 5.0, 6.0]","[1500.0, 1507.3548017444105, 1499.803521924725, 1511.7197792326126, 1504.0431450206709, 1491.4931400350358, 1474.9875989349991, 1464.6093183560529, 1470.6706164779484, 1478.7352338844378, 1494.6525772078155, 1500.7005330181396, 1515.7775810908329, 1495.7849874333815, 1514.433911720217, 1520.6037207535574, 1528.2793787982978, 1542.3554326813098, 1549.4643773024893, 1532.07137492952, 1545.318838050569, 1561.2544904852373, 1574.8086112560395, 1591.3027405498271, 1606.2096829875738, 1601.828283955526, 1582.590097140379, 1587.86035002992, 1573.212726427099, 1577.5027249258294, 1591.97712711277, 1601.5081341828927, 1608.4575824339736, 1602.6373233721445, 1606.5919342654756, 1592.3947221932906, 1600.828957202709, 1585.540494966382, 1595.1743136068967, 1595.5929753933333, 1604.034809722997, 1608.8036594872526, 1618.1774671789665, 1623.7269507833196, 1606.9007189448764, 1596.4046415549258, 1605.8708839001893, 1619.6322709641292, 1599.3688697236262, 1569.6024783045789, 1561.526148943807, 1573.3790942916862, 1583.0684883223964, 1593.2021637642936, 1560.9146484334594, 1545.7668901368845, 1553.1050996635531, 1558.178480867701, 1547.9008023759422, 1525.7343468737713, 1541.796700991377, 1550.8740163924842, 1536.7408497708775, 1542.0028760707364, 1523.218208802195, 1541.7041091794808, 1557.8799088789258, 1571.462211143559, 1578.7786848269625, 1596.945381109842, 1591.6024855617948, 1596.8959296173568, 1599.9832879107917, 1574.8093339713243, 1589.4673146781834, 1593.112832477389, 1602.2906163796931, 1606.4183769537915, 1602.009267553672, 1605.6620559215587, 1611.2815162300783, 1624.4509462327308]",4,3,2,35.20999999999998,-34.28999999999999,2,22,3,9,5,11,5,12,5,25
2021-2022,Minnesota Wild,MIN,82,53,22,7,37,48,113,0.689,310,253,57,305,249,234.75,226.81,2669,2577,90.34,2.07,1.5,1.5722,1.3622999999999998,0.5798,0.5357999999999999,0.5153,0.5101,0.5114,0.1017,0.9217,45,60,"[8.0, 21.0, 18.0, 12.0, 7.0]","[1500.0, 1509.1259636594475, 1518.0616448491012, 1522.828920923749, 1527.6704454369171, 1507.7340603266923, 1516.411438763492, 1499.9985060421643, 1484.598321599795, 1489.9850107347966, 1494.8030235120889, 1511.041846011001, 1522.1811883973298, 1514.0395884153213, 1524.9865100003935, 1506.3743315141912, 1521.764954539556, 1515.8291081863665, 1510.0874885843425, 1514.8557289259186, 1532.2363810795437, 1544.3929483767583, 1552.08015442875, 1562.9520924958542, 1567.3334915279022, 1582.4404833160763, 1595.7560977690546, 1585.730072325298, 1571.604202523196, 1560.2432801243533, 1542.473647639026, 1529.1575897856596, 1538.064628177456, 1541.6765511434735, 1554.701870260214, 1553.204577780316, 1565.8494744486522, 1568.5198290247358, 1575.593944846661, 1584.1498614626607, 1589.995688198437, 1600.8040574765623, 1583.4426894849885, 1591.534273685673, 1598.725035039009, 1578.6105161469384, 1561.4450170739588, 1578.622641513708, 1567.7766391232983, 1555.9236937754192, 1542.4518797946996, 1527.5996021270869, 1531.8955781153277, 1520.4818634779328, 1504.686585274946, 1523.512028887463, 1524.6559485256766, 1519.83299967684, 1501.509755553518, 1516.513121846733, 1525.0450205745026, 1537.7402935339728, 1543.2388494567583, 1547.2630943818892, 1555.1187619625482, 1561.396887882003, 1554.704557106032, 1570.7705370245833, 1586.641272959016, 1567.5341611005676, 1561.8318593601034, 1572.7159170066543, 1587.8427257492324, 1593.0760761539427, 1587.879383693342, 1589.5332564824823, 1594.811157482881, 1607.4096951013046, 1614.0137551709636, 1618.3430862575597, 1592.7775503689488, 1599.4012877489808, 1614.2316275652552]",5,2,2,70.25,-22.189999999999998,3,7,20,2,17,30,11,14,1,22
2021-2022,Calgary Flames,CGY,82,50,21,11,44,48,111,0.677,293,208,85,291,206,273.17,213.12,2909,2375,91.33,1.96,1.39,1.8500999999999999,1.5113999999999999,0.5851,0.5504,0.5525,0.5559000000000001,0.5527000000000001,0.0852,0.9254000000000001,50,37,"[22.0, 2.0, 22.0, 18.0, 2.0]","[1500.0, 1486.0917630413014, 1479.456180670635, 1498.274702641027, 1506.4638588722853, 1526.1042535855222, 1539.0036767211454, 1556.2756351885328, 1571.0013065680791, 1562.0719877290803, 1552.1970320887672, 1568.306508713676, 1547.9935882871473, 1530.716084372454, 1524.546275339114, 1538.4117006334718, 1531.816206621473, 1549.1015960300629, 1562.156438649324, 1579.8307665925909, 1587.8850515456718, 1569.592190885582, 1570.641363902413, 1577.109462738459, 1580.601278835316, 1571.659881327436, 1556.9753012197682, 1550.1613453251175, 1535.3822804640938, 1544.8292769833542, 1557.1357157000102, 1540.9560606916302, 1527.2630013534797, 1517.191161525791, 1495.7361160862954, 1518.3160841651668, 1503.3697946134837, 1528.644496760419, 1544.67740626254, 1530.7406111720315, 1535.9581742920689, 1544.1376016718204, 1551.2503248243104, 1571.102522868714, 1587.9287547071572, 1596.4740929952866, 1605.6708484074036, 1615.4564566193894, 1618.302714427826, 1625.4677378402257, 1598.4916048729042, 1611.9634188536238, 1626.8156965212363, 1612.8067600498732, 1620.6349922264724, 1627.394838311681, 1615.6113984091278, 1627.9908337940878, 1632.857238252006, 1617.2688271472812, 1624.0568823836031, 1611.3672704478138, 1624.051800302302, 1610.132163855611, 1615.4726298917103, 1626.83781912297, 1617.852895643646, 1609.6570286622766, 1592.7052821648704, 1599.2643001240908, 1605.007128377761, 1611.6219071260696, 1619.2643920210655, 1623.7488218300025, 1596.2458318464685, 1602.9736045748002, 1609.4878372455776, 1603.5222722011229, 1610.8265666196205, 1622.075989812153, 1626.126923919947, 1619.5031865399153, 1602.060774565724]",6,3,1,17.829999999999984,7.1200000000000045,6,1,5,4,9,6,3,5,11,7
2021-2022,New York Rangers,NYR,82,52,24,6,44,48,110,0.671,254,207,47,250,204,233.76,232.68,2392,2528,91.93,1.58,1.48,1.516,1.7027,0.5163,0.47100000000000003,0.47909999999999997,0.4703,0.47340000000000004,0.0858,0.9261,50,38,"[25.0, 26.0, 12.0, 13.0, 9.0]","[1500.0, 1484.174780467345, 1477.4600529624754, 1491.225286419345, 1498.9019206312869, 1512.3360211843476, 1520.6023183002026, 1500.9619235869657, 1517.3327449323567, 1529.856749640468, 1522.823583857766, 1518.150239368272, 1502.040762743363, 1512.072687431949, 1525.7028531487858, 1528.2489909044964, 1533.043190652014, 1525.9342460308344, 1531.7309622659711, 1544.3574164012366, 1560.810579432046, 1569.8327430049053, 1575.9015073405164, 1580.118184833842, 1591.4183797969736, 1570.0469258869991, 1574.5486277203931, 1564.4725816730495, 1553.7878102464235, 1557.765901900909, 1553.156906434209, 1544.7424028178125, 1549.8311386690796, 1565.5307106374069, 1575.8644402122832, 1559.6215287569298, 1574.142070920877, 1560.2745270561113, 1572.500899834841, 1577.177552503094, 1592.466014739421, 1579.2931640291993, 1586.2412907878584, 1587.5859362275123, 1568.7825476083426, 1560.2266309923432, 1564.2242812859374, 1581.0313762697372, 1582.4520607616278, 1573.527456558705, 1579.3507131954646, 1590.4465540497365, 1581.8874825516723, 1562.3364769278353, 1575.2959462921388, 1581.878844720566, 1594.1774592572542, 1575.352015644737, 1557.268309552046, 1573.4022027369367, 1575.7741020678247, 1564.9741682980552, 1573.7711287389388, 1588.208914784919, 1565.5974840987533, 1583.1737229981377, 1585.6469470256695, 1594.4209822661858, 1596.5609930622545, 1575.8860586330998, 1563.0762297975375, 1571.322077590373, 1585.1873060216883, 1593.6390589912169, 1579.15314409707, 1586.8462893634853, 1593.6701657407154, 1602.1476655695988, 1614.714642350517, 1600.1686648312775, 1590.9970040414316, 1575.1533641284454, 1581.0551510900043]",7,4,2,16.24000000000001,28.680000000000007,20,5,27,20,9,9,28,10,12,1
2021-2022,St. Louis Blues,STL,82,49,22,11,43,47,109,0.665,311,242,69,309,239,241.05,250.95,2492,2590,90.77,1.99,1.7,1.6244999999999998,1.8148,0.5393,0.47229999999999994,0.47490000000000004,0.4708,0.4653,0.1042,0.9195,63,32,"[16.0, 12.0, 5.0, 17.0, 5.0]","[1500.0, 1514.2740255619822, 1529.203158280152, 1541.364061576536, 1554.550497211526, 1565.073748602008, 1553.521856330342, 1557.5753420571225, 1552.3522220020425, 1564.6671817201884, 1547.2469534570955, 1551.0712465579963, 1542.9096557937396, 1536.2776781839978, 1528.095401829456, 1515.1193619183723, 1528.8040876998464, 1511.1790051260366, 1525.7932495196665, 1510.6060712160456, 1502.8778307454402, 1518.709139337766, 1522.271226484673, 1510.9999424286268, 1509.5294145614555, 1516.9520298968916, 1529.9861552530317, 1537.495591861607, 1530.0851740392018, 1545.9175405822557, 1557.601635037631, 1542.852465631533, 1553.1876784584665, 1566.5037363118329, 1554.8700827331638, 1571.648376001293, 1577.7402080337588, 1581.0938785359474, 1572.659643526529, 1583.475744117378, 1593.515454142208, 1603.8530507591836, 1578.578348612248, 1592.5151437027564, 1569.0666473180192, 1543.2598581930986, 1553.314442397092, 1565.683945181269, 1552.2695527300243, 1572.5329539705274, 1579.3180009024722, 1583.8507883987425, 1594.3782370546935, 1581.4187676903905, 1570.5574879994565, 1561.0376615352368, 1536.788030769461, 1554.871736862152, 1571.041236560168, 1561.8509720414766, 1557.4382104157798, 1547.8854077819208, 1564.4955052735577, 1536.8087372654088, 1518.6601839312475, 1533.8312455610132, 1542.3295321674225, 1536.3615388299777, 1553.3132853273837, 1561.9553441340377, 1569.199268753444, 1574.901570493908, 1590.5374158667528, 1603.5257531215038, 1614.6919776222255, 1619.8886700828266, 1634.543643409792, 1625.274582089776, 1630.8040004452168, 1631.810292668331, 1637.7558281960146, 1624.9721139994754, 1601.8465247659424]",8,4,3,67.94999999999999,11.949999999999989,4,18,15,29,1,4,18,16,2,5
2021-2022,Tampa Bay Lightning,TBL,81,50,23,8,38,48,108,0.667,287,232,55,285,227,252.58,229.04,2535,2433,90.67,1.83,1.48,1.6855000000000002,1.5306,0.5529,0.5241,0.5046,0.5089,0.5112,0.0949,0.9218999999999999,55,45,"[3.0, 1.0, 2.0, 7.0, 8.0]","[1500.0, 1481.1916913357595, 1488.823326682192, 1496.673801713791, 1481.2083880919813, 1476.092610626083, 1461.9275386511904, 1485.1049174053328, 1497.7786254481823, 1506.2968358511246, 1500.2488800408005, 1511.7562688593237, 1506.275214517453, 1513.4619769518135, 1527.030160850058, 1531.481186875962, 1515.9679931613375, 1521.709612763362, 1535.9018096072375, 1545.6413189834248, 1533.48475168621, 1529.922664539303, 1541.1939485953492, 1548.0400915310454, 1562.9685163875354, 1567.6344055501418, 1582.2820291529629, 1554.704381736974, 1559.334191142817, 1564.0032520979173, 1572.9763405971885, 1574.562088509765, 1552.7194911567385, 1547.6307553054712, 1531.931183337144, 1548.3595748335497, 1562.0526341717002, 1543.4573969916592, 1554.8356059543526, 1564.2215739456046, 1573.6518543347972, 1585.9798607163668, 1562.1475813268487, 1577.7001582401529, 1581.2595658819205, 1575.4037818443164, 1578.5703841317645, 1572.8419013787518, 1576.8881490795122, 1585.848028889959, 1594.6889891134667, 1601.6592531569725, 1609.2174225827828, 1587.6319567125304, 1593.5435157221546, 1602.058849699761, 1581.5161090421188, 1569.1366736571588, 1550.8644400003525, 1559.3769436752514, 1567.0188782014773, 1558.2219177605937, 1551.3001118316404, 1544.6713320285196, 1547.9450278500517, 1563.067931590968, 1570.0108690628124, 1577.473113137689, 1567.8019707649362, 1549.6352744820567, 1541.0282474595615, 1534.9129351317472, 1547.1554178695565, 1538.6581396266654, 1540.934714105955, 1552.102564197935, 1538.6822036508777, 1553.2466320702354, 1578.646305267558, 1586.4705020684462, 1563.9663016512563, 1575.8729240970931]",9,5,3,32.41999999999999,2.039999999999992,8,6,12,7,8,16,15,8,7,10
2021-2022,Boston Bruins,BOS,82,51,26,5,40,49,107,0.652,255,220,35,253,218,250.65,206.76,2963,2356,90.75,1.72,1.44,1.7315,1.3055,0.5443,0.5700999999999999,0.5743,0.5449,0.5573,0.0726,0.9179999999999999,44,43,"[4.0, 3.0, 1.0, 8.0, 12.0]","[1500.0, 1511.872562356355, 1497.8275232654132, 1516.2499833048637, 1524.3938259531865, 1512.4506908462015, 1500.8497664071283, 1506.3884917604723, 1520.304699592838, 1505.2276515201447, 1510.8201124717075, 1498.9135288691373, 1516.88482798566, 1526.9486493189313, 1542.6993607745626, 1525.0250328312957, 1539.2468698190903, 1522.7937067882808, 1527.5721196403454, 1517.0825843368714, 1530.3755508291904, 1523.5294078934942, 1518.0829517992322, 1526.902731204908, 1541.6817960659318, 1524.942736126915, 1509.155595108136, 1512.3070106621, 1527.4011663794925, 1535.2322883949248, 1526.3252500031283, 1544.9204871831694, 1564.083723609871, 1570.4864284478656, 1574.2333758942923, 1579.5973121495297, 1558.4935689585775, 1565.1574653905834, 1570.8229016506154, 1552.9926355352563, 1549.3225295101902, 1553.855417642642, 1532.8324726499254, 1537.2849201350843, 1524.9053873136345, 1507.666483815107, 1519.3461590289514, 1517.9254745370608, 1499.7311500086378, 1505.982761282052, 1530.6090655848452, 1533.9717024652568, 1543.5097166522924, 1567.7235987483448, 1557.0807157843835, 1572.4613978538002, 1575.1287023418645, 1567.2422223792369, 1571.3838906838628, 1575.8647608937551, 1579.7196236517866, 1564.7162573585715, 1576.4929863103052, 1579.2035161299748, 1585.8322959330956, 1597.109671155788, 1580.933871456343, 1591.8204887550191, 1599.5817212398513, 1602.9129301907474, 1579.9638867478752, 1586.0791990756895, 1572.120076111485, 1559.131738856734, 1546.9657710941983, 1554.435509004693, 1563.704570324709, 1546.7264126765144, 1561.2723901957538, 1566.4997935454526, 1581.274801407627, 1593.3813295848645, 1580.211899582212]",10,6,4,2.3499999999999943,-11.240000000000009,15,4,11,1,18,14,2,3,23,19
