Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL
2011-2012,Aaron Johnson,CBJ,D,104.0,98.0,52.0,20.0,175.0,175.0,114.0,99.0,36.0,153.0,6.0,55.0,,146.0,Third Pair,56,924.4,3,6,28,1983-04-30,CAN,CAN,73,204,2001,3,22,85,8469534,https://assets.nhle.com/mugs/nhl/20112012/CBJ/8469534.png
2011-2012,Aaron Rome,VAN,D,138.0,79.0,,,106.0,100.0,124.0,69.0,185.0,193.0,213.0,50.0,,173.0,Third Pair,43,654.73333333333,4,3,27,1983-09-27,CAN,CAN,73,220,2002,4,8,104,8470310,https://assets.nhle.com/mugs/nhl/20112012/VAN/8470310.png
2011-2012,Adam Larsson,NJD,D,208.0,125.0,109.0,,223.0,35.0,192.0,170.0,153.0,123.0,97.0,119.0,,170.0,Second Pair,65,1340.3333333333,2,8,18,1992-11-12,SWE,SWE,75,209,2011,1,4,4,8476457,https://assets.nhle.com/mugs/nhl/20112012/NJD/8476457.png
2011-2012,Adam McQuaid,BOS,D,159.0,18.0,,6.0,186.0,86.0,123.0,114.0,120.0,130.0,94.0,46.0,,174.0,Third Pair,72,1076.5666666667,2,2,24,1986-10-12,CAN,CAN,76,210,2005,2,25,55,8471717,https://assets.nhle.com/mugs/nhl/20112012/BOS/8471717.png
2011-2012,Adam Pardy,DAL,D,165.0,24.0,,145.0,130.0,32.0,117.0,197.0,179.0,79.0,99.0,91.0,,188.0,Third Pair,36,592.9,0,0,27,1984-03-29,CAN,CAN,76,227,2004,6,10,173,8471385,https://assets.nhle.com/mugs/nhl/20112012/DAL/8471385.png
2011-2012,Adrian Aucoin,PHX,D,102.0,155.0,,161.0,85.0,92.0,46.0,148.0,133.0,154.0,193.0,90.0,,155.0,Second Pair,64,1295.8666666667,2,0,38,1973-07-03,CAN,CAN,74,215,1992,5,21,117,8459053,https://assets.nhle.com/mugs/nhl/20112012/PHX/8459053.png
2011-2012,Alec Martinez,LAK,D,55.0,5.0,20.0,,65.0,1.0,40.0,13.0,127.0,12.0,88.0,109.0,,129.0,Third Pair,51,750.71666666667,6,5,24,1987-07-26,USA,USA,73,210,2007,4,4,95,8474166,https://assets.nhle.com/mugs/nhl/20112012/LAK/8474166.png
2011-2012,Alex Goligoski,DAL,D,27.0,91.0,72.0,50.0,55.0,37.0,26.0,10.0,91.0,76.0,33.0,187.0,,37.0,First Pair,71,1616.7666666667,9,13,26,1985-07-30,USA,USA,71,173,2004,2,31,61,8471274,https://assets.nhle.com/mugs/nhl/20112012/DAL/8471274.png
2011-2012,Alex Pietrangelo,STL,D,9.0,42.0,13.0,16.0,59.0,47.0,12.0,30.0,26.0,98.0,20.0,183.0,,9.0,First Pair,81,2003.2333333333,12,21,21,1990-01-18,CAN,CAN,75,215,2008,1,4,4,8474565,https://assets.nhle.com/mugs/nhl/20112012/STL/8474565.png
2011-2012,Alexander Edler,VAN,D,14.0,87.0,4.0,83.0,62.0,120.0,14.0,46.0,28.0,5.0,108.0,89.0,,6.0,First Pair,82,1956.9,11,16,25,1986-04-21,SWE,SWE,76,210,2004,3,26,91,8471303,https://assets.nhle.com/mugs/nhl/20112012/VAN/8471303.png
2011-2012,Alexander Sulzer,BUF,D,72.0,121.0,,,68.0,155.0,109.0,22.0,135.0,102.0,32.0,179.0,,134.0,Third Pair,27,481.23333333333,3,3,27,1984-05-30,DEU,DEU,73,198,2003,3,24,92,8470685,https://assets.nhle.com/mugs/nhl/20112012/BUF/8470685.png
2011-2012,Alexander Sulzer,VAN,D,72.0,121.0,,,68.0,155.0,109.0,22.0,135.0,102.0,32.0,179.0,,134.0,Third Pair,27,481.23333333333,3,3,27,1984-05-30,DEU,DEU,73,198,2003,3,24,92,8470685,https://assets.nhle.com/mugs/nhl/20112012/VAN/8470685.png
2011-2012,Alexei Emelin,MTL,D,201.0,227.0,,79.0,189.0,220.0,185.0,151.0,193.0,189.0,2.0,2.0,,203.0,Third Pair,67,1158.7666666667,3,3,25,1986-04-25,RUS,RUS,74,218,2004,3,19,84,8471296,https://assets.nhle.com/mugs/nhl/20112012/MTL/8471296.png
2011-2012,Andreas Lilja,PHI,D,195.0,143.0,,1.0,192.0,214.0,170.0,216.0,152.0,58.0,225.0,58.0,,184.0,Third Pair,46,629.61666666667,0,3,36,1975-07-13,SWE,SWE,75,220,2000,2,24,54,8468534,https://assets.nhle.com/mugs/nhl/20112012/PHI/8468534.png
2011-2012,Andrej Meszaros,PHI,D,6.0,147.0,60.0,45.0,10.0,180.0,28.0,35.0,2.0,140.0,167.0,36.0,,49.0,Second Pair,62,1281.2,7,11,25,1985-10-13,SVK,SVK,74,223,2004,1,23,23,8471236,https://assets.nhle.com/mugs/nhl/20112012/PHI/8471236.png
2011-2012,Andrej Sekera,BUF,D,131.0,86.0,91.0,47.0,139.0,51.0,132.0,103.0,123.0,171.0,13.0,166.0,,133.0,Second Pair,69,1352.5833333333,3,4,25,1986-06-08,SVK,SVK,72,200,2004,3,6,71,8471284,https://assets.nhle.com/mugs/nhl/20112012/BUF/8471284.png
2011-2012,Andrew Alberts,VAN,D,205.0,142.0,,56.0,196.0,113.0,217.0,104.0,194.0,215.0,208.0,6.0,,230.0,Third Pair,44,629.05,2,0,30,1981-06-30,USA,USA,77,218,2001,6,14,179,8469626,https://assets.nhle.com/mugs/nhl/20112012/VAN/8469626.png
2011-2012,Andrew Ference,BOS,D,109.0,185.0,,33.0,180.0,97.0,57.0,77.0,92.0,106.0,61.0,152.0,,118.0,Second Pair,72,1359.95,6,7,32,1979-03-17,CAN,CAN,71,182,1997,8,18,208,8466333,https://assets.nhle.com/mugs/nhl/20112012/BOS/8466333.png
2011-2012,Andrew MacDonald,NYI,D,167.0,36.0,104.0,98.0,94.0,189.0,200.0,115.0,202.0,146.0,14.0,209.0,,56.0,First Pair,75,1753.1166666667,5,2,24,1986-09-07,CAN,CAN,73,204,2006,6,7,160,8473584,https://assets.nhle.com/mugs/nhl/20112012/NYI/8473584.png
2011-2012,Andy Greene,NJD,D,177.0,7.0,,8.0,210.0,7.0,173.0,188.0,51.0,64.0,49.0,207.0,,94.0,Second Pair,56,1092.3,1,7,28,1982-10-30,USA,USA,71,190,-,-,-,-,8472382,https://assets.nhle.com/mugs/nhl/20112012/NJD/8472382.png
2011-2012,Andy Sutton,EDM,D,111.0,105.0,,41.0,78.0,193.0,138.0,87.0,173.0,95.0,231.0,24.0,,130.0,Third Pair,52,867.56666666667,3,3,36,1975-03-10,CAN,CAN,78,245,-,-,-,-,8467304,https://assets.nhle.com/mugs/nhl/20112012/EDM/8467304.png
2011-2012,Anton Babchuk,CGY,D,95.0,4.0,43.0,,206.0,84.0,30.0,95.0,42.0,31.0,152.0,202.0,,62.0,Third Pair,32,463.65,2,5,27,1984-05-06,UKR,UKR,77,200,2002,1,21,21,8470265,https://assets.nhle.com/mugs/nhl/20112012/CGY/8470265.png
2011-2012,Anton Stralman,NYR,D,97.0,57.0,53.0,,64.0,59.0,122.0,145.0,77.0,55.0,91.0,108.0,,98.0,Third Pair,53,906.26666666667,2,8,25,1986-08-01,SWE,SWE,71,193,2005,7,22,216,8471873,https://assets.nhle.com/mugs/nhl/20112012/NYR/8471873.png
2011-2012,Anton Volchenkov,NJD,D,143.0,1.0,,31.0,181.0,3.0,99.0,156.0,82.0,118.0,151.0,23.0,,140.0,Third Pair,72,1294.0,2,4,29,1982-02-25,RUS,RUS,73,220,2000,1,21,21,8468501,https://assets.nhle.com/mugs/nhl/20112012/NJD/8468501.png
2011-2012,Barret Jackman,STL,D,142.0,58.0,,30.0,90.0,61.0,127.0,217.0,150.0,209.0,59.0,124.0,,126.0,Second Pair,81,1674.9666666667,1,5,30,1981-03-05,CAN,CAN,72,203,1999,1,17,17,8467890,https://assets.nhle.com/mugs/nhl/20112012/STL/8467890.png
2011-2012,Ben Lovejoy,PIT,D,22.0,16.0,,,93.0,23.0,9.0,55.0,44.0,18.0,190.0,121.0,,150.0,Third Pair,34,450.5,1,2,27,1984-02-20,USA,USA,73,205,-,-,-,-,8473933,https://assets.nhle.com/mugs/nhl/20112012/PIT/8473933.png
