Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2014-2015,Aaron Ekblad,FLA,D,40.0,66.0,58.0,,97.0,13.0,47.0,39.0,19.0,10.0,53.0,120.0,,45.0,Second Pair,81,1766.6166666667,12,27,39,9.79,57.69,54.75,18,1996-02-07,CAN,CAN,76,215,2014,1,1,8477932.0
2014-2015,Adam Larsson,NJD,D,127.0,16.0,,39.0,198.0,17.0,112.0,126.0,24.0,182.0,164.0,102.0,,107.0,Second Pair,64,1341.6333333333,3,21,24,3.03,50.79,48.73,21,1992-11-12,SWE,SWE,75,209,2011,1,4,8476457.0
2014-2015,Adam McQuaid,BOS,D,182.0,23.0,,52.0,172.0,25.0,157.0,182.0,168.0,106.0,210.0,32.0,,193.0,Second Pair,63,1161.4666666667,1,6,7,1.64,44.83,50.23,27,1986-10-12,CAN,CAN,76,210,2005,2,55,8471717.0
2014-2015,Adam Pardy,WPG,D,166.0,146.0,,72.0,114.0,62.0,199.0,219.0,92.0,32.0,88.0,71.0,,222.0,Third Pair,55,826.03333333333,0,9,9,1.29,55.32,47.69,30,1984-03-29,CAN,CAN,76,227,2004,6,173,8471385.0
2014-2015,Alec Martinez,LAK,D,25.0,19.0,53.0,1.0,73.0,37.0,42.0,9.0,50.0,64.0,22.0,87.0,,51.0,Second Pair,56,1115.4,6,16,22,5.39,58.21,52.51,27,1987-07-26,USA,USA,73,210,2007,4,95,8474166.0
2014-2015,Alex Goligoski,DAL,D,29.0,176.0,74.0,108.0,13.0,131.0,88.0,91.0,34.0,150.0,27.0,142.0,,38.0,First Pair,81,1928.7166666667,4,32,36,7.21,53.03,54.63,29,1985-07-30,USA,USA,71,173,2004,2,61,8471274.0
2014-2015,Alex Petrovic,FLA,D,217.0,167.0,,41.0,180.0,141.0,163.0,223.0,221.0,13.0,102.0,23.0,,220.0,Third Pair,33,536.56666666667,0,3,3,0.86,45.45,46.73,22,1992-03-03,CAN,CAN,76,220,2010,2,36,
2014-2015,Alex Pietrangelo,STL,D,27.0,51.0,47.0,21.0,75.0,103.0,30.0,62.0,13.0,69.0,14.0,206.0,,13.0,First Pair,81,2058.1166666667,7,39,46,11.82,50.43,49.72,24,1990-01-18,CAN,CAN,75,215,2008,1,4,8474565.0
2014-2015,Alexander Edler,VAN,D,71.0,72.0,27.0,44.0,88.0,93.0,10.0,141.0,141.0,119.0,160.0,114.0,,23.0,First Pair,74,1774.45,8,23,31,8.24,53.09,52.25,28,1986-04-21,SWE,SWE,76,210,2004,3,91,8471303.0
2014-2015,Alexei Emelin,MTL,D,194.0,173.0,,155.0,188.0,165.0,207.0,128.0,163.0,180.0,118.0,15.0,,142.0,Second Pair,68,1347.5666666667,3,11,14,1.57,51.95,44.68,28,1986-04-25,RUS,RUS,74,218,2004,3,84,8471296.0
2014-2015,Andre Benoit,BUF,D,210.0,159.0,95.0,159.0,213.0,210.0,182.0,173.0,154.0,206.0,117.0,191.0,,135.0,Second Pair,59,1069.3833333333,1,8,9,1.84,39.39,36.6,30,1984-01-06,CAN,CAN,71,190,-,-,-,8470378.0
2014-2015,Andrei Markov,MTL,D,68.0,142.0,43.0,120.0,46.0,152.0,116.0,107.0,38.0,167.0,57.0,208.0,,18.0,First Pair,81,2017.7333333333,10,40,50,8.19,59.62,49.74,35,1978-12-20,RUS,RUS,72,200,1998,6,162,8467496.0
2014-2015,Andrej Meszaros,BUF,D,107.0,183.0,99.0,143.0,207.0,218.0,140.0,11.0,64.0,122.0,206.0,117.0,,97.0,Third Pair,60,1074.3833333333,7,7,14,3.5,42.67,42.78,28,1985-10-13,SVK,SVK,74,223,2004,1,23,8471236.0
2014-2015,Andrej Sekera,LAK,D,67.0,139.0,68.0,35.0,26.0,183.0,113.0,113.0,78.0,101.0,34.0,195.0,,54.0,Second Pair,73,1605.1166666667,3,20,23,5.35,48.96,52.57,28,1986-06-08,SVK,SVK,72,200,2004,3,71,8471284.0
2014-2015,Andrej Sekera,CAR,D,67.0,139.0,68.0,35.0,26.0,183.0,113.0,113.0,78.0,101.0,34.0,195.0,,54.0,Second Pair,73,1605.1166666667,3,20,23,5.35,48.96,52.57,28,1986-06-08,SVK,SVK,72,200,2004,3,71,8471284.0
2014-2015,Andrej Sustr,TBL,D,193.0,95.0,,54.0,169.0,38.0,177.0,203.0,177.0,117.0,200.0,198.0,,209.0,Third Pair,72,1274.5666666667,0,13,13,2.27,53.85,51.33,23,1990-11-29,CZE,CZE,79,217,-,-,-,8477205.0
2014-2015,Andrew Campbell,ARI,D,196.0,144.0,,151.0,109.0,208.0,147.0,212.0,218.0,213.0,103.0,39.0,,204.0,Third Pair,33,578.71666666667,0,1,1,1.35,25.00,48.34,26,1988-02-04,CAN,CAN,76,205,2008,3,74,8474638.0
2014-2015,Andrew Ference,EDM,D,200.0,219.0,,153.0,200.0,204.0,167.0,124.0,203.0,159.0,155.0,60.0,,164.0,Second Pair,70,1321.3833333333,3,11,14,2.58,39.56,41.82,35,1979-03-17,CAN,CAN,71,182,1997,8,208,8466333.0
2014-2015,Andrew MacDonald,PHI,D,206.0,85.0,88.0,62.0,151.0,155.0,215.0,192.0,187.0,61.0,158.0,199.0,,89.0,Second Pair,58,1160.7833333333,2,10,12,3.01,49.12,48.04,27,1986-09-07,CAN,CAN,73,204,2006,6,160,8473584.0
2014-2015,Andy Greene,NJD,D,171.0,9.0,,106.0,170.0,8.0,165.0,142.0,146.0,212.0,23.0,171.0,,75.0,First Pair,82,1930.6333333333,3,19,22,4.19,50.57,49.77,31,1982-10-30,USA,USA,71,190,-,-,-,8472382.0
2014-2015,Anton Stralman,TBL,D,22.0,119.0,110.0,68.0,5.0,31.0,54.0,47.0,60.0,75.0,69.0,138.0,,104.0,Second Pair,82,1799.5833333333,9,30,39,7.87,58.87,56.74,28,1986-08-01,SWE,SWE,71,193,2005,7,216,8471873.0
2014-2015,Anton Volchenkov,NSH,D,147.0,20.0,,23.0,103.0,16.0,119.0,207.0,135.0,38.0,149.0,28.0,,210.0,Third Pair,46,606.2,0,7,7,1.27,55.81,52.52,32,1982-02-25,RUS,RUS,73,220,2000,1,21,8468501.0
2014-2015,Barret Jackman,STL,D,125.0,11.0,,5.0,113.0,26.0,122.0,155.0,96.0,175.0,77.0,100.0,,147.0,Third Pair,80,1345.2833333333,2,13,15,2.9,48.68,54.39,33,1981-03-05,CAN,CAN,72,203,1999,1,17,8467890.0
