Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID
2024-2025,Aaron Ekblad,FLA,D,25.0,97.0,6.0,142.0,5.0,48.0,43.0,84.0,35.0,112.0,214.0,93.0,,44.0,First Pair,56,1316.7,3,14,28,1996-02-07,CAN,CAN,76,215,2014,1,1,1,8477932.0
2024-2025,Adam Boqvist,NYI,D,67.0,235.0,22.0,,51.0,222.0,108.0,23.0,193.0,8.0,58.0,206.0,,124.0,Third Pair,35,492.51666666667,4,5,24,2000-08-15,SWE,SWE,72,182,2018,1,8,8,8480871.0
2024-2025,Adam Fox,NYR,D,12.0,20.0,5.0,56.0,13.0,43.0,89.0,16.0,5.0,7.0,49.0,208.0,,9.0,First Pair,74,1720.4166666667,10,30,26,1998-02-17,USA,USA,71,182,2016,3,5,66,8479323.0
2024-2025,Adam Larsson,SEA,D,92.0,52.0,,145.0,112.0,150.0,83.0,121.0,99.0,91.0,158.0,80.0,,70.0,Second Pair,82,1737.2333333333,7,9,31,1992-11-12,SWE,SWE,75,209,2011,1,4,4,8476457.0
2024-2025,Adam Pelech,NYI,D,62.0,37.0,,156.0,54.0,52.0,36.0,221.0,65.0,212.0,124.0,118.0,,80.0,Second Pair,60,1266.8333333333,0,4,30,1994-08-16,CAN,CAN,75,210,2012,3,4,65,8476917.0
2024-2025,Albert Johansson,DET,D,221.0,183.0,,,191.0,158.0,204.0,120.0,234.0,99.0,51.0,100.0,,197.0,Third Pair,61,998.01666666667,3,2,23,2001-01-04,SWE,SWE,72,168,2019,2,29,60,8481607.0
2024-2025,Alec Martinez,CHI,D,191.0,170.0,,46.0,189.0,238.0,177.0,38.0,226.0,132.0,74.0,194.0,,73.0,Second Pair,44,824.05,5,0,37,1987-07-26,USA,USA,73,210,2007,4,4,95,8474166.0
2024-2025,Alex Pietrangelo,VGK,D,33.0,110.0,67.0,111.0,25.0,190.0,45.0,148.0,27.0,71.0,36.0,196.0,,30.0,First Pair,71,1590.55,4,14,34,1990-01-18,CAN,CAN,75,215,2008,1,4,4,8474565.0
2024-2025,Alex Vlasic,CHI,D,229.0,136.0,53.0,101.0,228.0,220.0,205.0,190.0,208.0,195.0,27.0,185.0,,83.0,First Pair,82,1907.55,4,12,23,2001-06-05,USA,USA,78,199,2019,2,12,43,8481568.0
2024-2025,Alexander Romanov,NYI,D,70.0,92.0,,119.0,64.0,210.0,65.0,90.0,117.0,165.0,42.0,41.0,,59.0,First Pair,64,1427.65,4,8,24,2000-01-06,RUS,RUS,73,215,2018,2,7,38,8481014.0
