Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID
2014-2015,Adam Henrique,NJD,F,273.0,101.0,107.0,105.0,236.0,157.0,307.0,170.0,329.0,248.0,162.0,302.0,97.0,132.0,Second Line,75,1330.7833333333,16,16,24,1990-02-06,CAN,CAN,72,195,2008,3,21,82,8474641.0
2014-2015,Adam Lowry,WPG,F,278.0,77.0,,,223.0,64.0,325.0,217.0,266.0,134.0,249.0,29.0,139.0,315.0,Third Line,80,1100.25,11,9,21,1993-03-29,USA,USA,78,208,2011,3,6,67,8476392.0
2014-2015,Aleksander Barkov,FLA,F,242.0,46.0,221.0,,171.0,81.0,335.0,219.0,178.0,286.0,215.0,402.0,140.0,186.0,Second Line,71,1242.4166666667,16,9,18,1995-09-02,FIN,FIN,75,215,2013,1,2,2,8477493.0
2014-2015,Ales Hemsky,DAL,F,160.0,375.0,224.0,,64.0,372.0,103.0,231.0,275.0,124.0,93.0,396.0,,181.0,Third Line,76,1036.6833333333,11,8,31,1983-08-13,CZE,CZE,72,177,2001,1,13,13,8469466.0
2014-2015,Alex Chiasson,OTT,F,289.0,217.0,111.0,52.0,227.0,228.0,317.0,285.0,303.0,112.0,404.0,189.0,,260.0,Fourth Line,76,1016.6,11,9,23,1990-10-01,CAN,CAN,76,208,2009,2,8,38,8475163.0
2014-2015,Alex Galchenyuk,MTL,F,103.0,292.0,122.0,,100.0,317.0,224.0,104.0,112.0,32.0,174.0,265.0,,141.0,Second Line,80,1314.3,20,15,20,1994-02-12,USA,USA,73,194,2012,1,3,3,8476851.0
2014-2015,Alex Killorn,TBL,F,133.0,239.0,249.0,147.0,116.0,131.0,199.0,190.0,118.0,57.0,221.0,289.0,,163.0,Second Line,71,1201.75,15,13,24,1989-09-14,CAN,CAN,73,194,2007,3,16,77,8473986.0
2014-2015,Alex Ovechkin,WSH,F,25.0,392.0,2.0,,142.0,329.0,3.0,16.0,137.0,75.0,151.0,66.0,,1.0,First Line,81,1646.4,53,21,28,1985-09-17,RUS,RUS,75,238,2004,1,1,1,8471214.0
2014-2015,Alex Tanguay,COL,F,286.0,411.0,176.0,30.0,276.0,413.0,419.0,91.0,213.0,326.0,371.0,368.0,,130.0,First Line,80,1452.8666666667,22,19,34,1979-11-21,CAN,CAN,73,194,1998,1,12,12,8467338.0
2014-2015,Alexander Semin,CAR,F,119.0,235.0,163.0,,25.0,237.0,139.0,250.0,152.0,35.0,275.0,382.0,,143.0,Second Line,57,907.65,6,7,30,1984-03-03,RUS,RUS,74,211,2002,1,13,13,8470120.0
2014-2015,Alexander Steen,STL,F,34.0,175.0,19.0,9.0,61.0,141.0,62.0,35.0,54.0,310.0,41.0,370.0,95.0,20.0,First Line,74,1478.5666666667,24,29,30,1984-03-01,CAN,SWE,72,211,2002,1,24,24,8470257.0
2014-2015,Alexander Wennberg,CBJ,F,386.0,140.0,201.0,183.0,290.0,249.0,388.0,418.0,320.0,273.0,40.0,278.0,165.0,306.0,Second Line,68,1062.4666666667,4,9,19,1994-09-22,SWE,SWE,74,190,2013,1,14,14,8477505.0
2014-2015,Alexandre Burrows,VAN,F,152.0,144.0,125.0,53.0,73.0,150.0,104.0,148.0,278.0,104.0,238.0,206.0,,156.0,Third Line,70,1083.4166666667,18,9,33,1981-04-11,CAN,CAN,73,197,-,-,-,-,8470358.0
2014-2015,Anders Lee,NYI,F,4.0,370.0,100.0,,1.0,378.0,15.0,6.0,216.0,40.0,287.0,80.0,,98.0,Third Line,76,1093.8833333333,25,9,24,1990-07-03,USA,USA,75,235,2009,6,1,152,8475314.0
2014-2015,Andre Burakovsky,WSH,F,192.0,181.0,202.0,,58.0,120.0,291.0,162.0,293.0,26.0,94.0,364.0,132.0,264.0,Fourth Line,53,684.8,9,6,19,1995-02-09,AUT,SWE,75,209,2013,1,23,23,8477444.0
2014-2015,Andrej Nestrasil,CAR,F,140.0,27.0,188.0,,83.0,50.0,211.0,268.0,67.0,30.0,236.0,246.0,,263.0,Fourth Line,54,720.98333333333,7,9,23,1991-02-22,CZE,CZE,75,200,2009,3,14,75,8475250.0
2014-2015,Andrej Nestrasil,DET,F,140.0,27.0,188.0,,83.0,50.0,211.0,268.0,67.0,30.0,236.0,246.0,,263.0,Fourth Line,54,720.98333333333,7,9,23,1991-02-22,CZE,CZE,75,200,2009,3,14,75,8475250.0
2014-2015,Andrew Cogliano,ANA,F,194.0,324.0,,54.0,237.0,201.0,217.0,138.0,169.0,210.0,71.0,186.0,,218.0,Third Line,82,1195.7666666667,15,12,27,1987-06-14,CAN,CAN,70,179,2005,1,25,25,8471699.0
2014-2015,Andrew Desjardins,CHI,F,394.0,133.0,,63.0,350.0,115.0,345.0,360.0,409.0,332.0,347.0,78.0,56.0,386.0,Fourth Line,69,741.0,5,0,28,1986-07-27,CAN,CAN,73,195,-,-,-,-,8471956.0
2014-2015,Andrew Desjardins,SJS,F,394.0,133.0,,63.0,350.0,115.0,345.0,360.0,409.0,332.0,347.0,78.0,56.0,386.0,Fourth Line,69,741.0,5,0,28,1986-07-27,CAN,CAN,73,195,-,-,-,-,8471956.0
2014-2015,Andrew Ladd,WPG,F,69.0,340.0,62.0,165.0,70.0,192.0,117.0,109.0,35.0,166.0,401.0,118.0,,44.0,First Line,81,1625.8666666667,24,24,28,1985-12-12,CAN,CAN,75,205,2004,1,4,4,8471217.0
2014-2015,Andrew Shaw,CHI,F,216.0,190.0,208.0,,94.0,147.0,180.0,160.0,366.0,24.0,130.0,133.0,129.0,223.0,Third Line,79,1180.8666666667,15,4,23,1991-07-20,CAN,CAN,71,182,2011,5,18,139,8476381.0
2014-2015,Anthony Peluso,WPG,F,407.0,264.0,,,394.0,59.0,390.0,394.0,382.0,97.0,422.0,6.0,,423.0,Fringe,49,287.96666666667,1,1,25,1989-04-18,CAN,CAN,75,225,2007,6,9,160,8474061.0
2014-2015,Antoine Roussel,DAL,F,144.0,269.0,,175.0,45.0,347.0,209.0,83.0,330.0,379.0,366.0,120.0,,246.0,Third Line,80,1161.75,13,6,24,1989-11-21,FRA,FRA,71,200,-,-,-,-,8474849.0
2014-2015,Antoine Vermette,ARI,F,324.0,321.0,129.0,195.0,278.0,374.0,385.0,313.0,276.0,219.0,378.0,263.0,11.0,170.0,Second Line,82,1463.0333333333,13,15,32,1982-07-20,CAN,CAN,73,197,2000,2,25,55,8468535.0
2014-2015,Antoine Vermette,CHI,F,324.0,321.0,129.0,195.0,278.0,374.0,385.0,313.0,276.0,219.0,378.0,263.0,11.0,170.0,Second Line,82,1463.0333333333,13,15,32,1982-07-20,CAN,CAN,73,197,2000,2,25,55,8468535.0
2014-2015,Anton Lander,EDM,F,353.0,422.0,140.0,149.0,266.0,415.0,367.0,415.0,218.0,290.0,137.0,175.0,70.0,277.0,Third Line,38,570.45,6,6,23,1991-04-24,SWE,SWE,72,184,2009,2,10,40,8475165.0
2014-2015,Anze Kopitar,LAK,F,102.0,37.0,68.0,179.0,18.0,10.0,293.0,198.0,80.0,274.0,60.0,257.0,37.0,62.0,First Line,79,1530.3166666667,16,30,27,1987-08-24,SVN,SVN,75,225,2005,1,11,11,8471685.0
2014-2015,Artem Anisimov,CBJ,F,148.0,92.0,127.0,129.0,218.0,172.0,212.0,106.0,98.0,345.0,165.0,360.0,121.0,161.0,Second Line,52,851.8,7,15,26,1988-05-24,RUS,RUS,76,199,2006,2,24,54,8473573.0
2014-2015,B.J. Crombeen,ARI,F,378.0,331.0,,,359.0,311.0,276.0,367.0,403.0,319.0,413.0,119.0,,409.0,Fringe,58,469.48333333333,3,1,29,1985-07-10,USA,USA,74,209,2003,2,24,54,8470647.0
