Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL
2015-2016,Adam Cracknell,EDM,F,328.0,168.0,,,383.0,336.0,246.0,289.0,290.0,366.0,260.0,49.0,166.0,350.0,Fourth Line,52,636.01666666667,5,4,30,1985-07-15,CAN,CAN,74,209,2004,9,21,279,8471490.0,https://assets.nhle.com/mugs/nhl/20152016/EDM/8471490.png
2015-2016,Adam Cracknell,VAN,F,328.0,168.0,,,383.0,336.0,246.0,289.0,290.0,366.0,260.0,49.0,166.0,350.0,Fourth Line,52,636.01666666667,5,4,30,1985-07-15,CAN,CAN,74,209,2004,9,21,279,8471490.0,https://assets.nhle.com/mugs/nhl/20152016/VAN/8471490.png
2015-2016,Adam Henrique,NJD,F,299.0,74.0,173.0,102.0,310.0,106.0,302.0,65.0,379.0,202.0,178.0,306.0,148.0,105.0,First Line,80,1586.1166666667,30,7,25,1990-02-06,CAN,CAN,72,195,2008,3,21,82,8474641.0,https://assets.nhle.com/mugs/nhl/20152016/NJD/8474641.png
2015-2016,Adam Lowry,WPG,F,322.0,128.0,,182.0,286.0,189.0,368.0,263.0,286.0,253.0,310.0,37.0,139.0,328.0,Third Line,74,1037.3666666667,7,6,22,1993-03-29,USA,USA,78,208,2011,3,6,67,8476392.0,https://assets.nhle.com/mugs/nhl/20152016/WPG/8476392.png
2015-2016,Aleksander Barkov,FLA,F,96.0,84.0,143.0,153.0,177.0,128.0,173.0,44.0,116.0,321.0,43.0,366.0,132.0,60.0,First Line,66,1282.3833333333,28,19,19,1995-09-02,FIN,FIN,75,215,2013,1,2,2,8477493.0,https://assets.nhle.com/mugs/nhl/20152016/FLA/8477493.png
2015-2016,Ales Hemsky,DAL,F,36.0,334.0,241.0,,6.0,318.0,50.0,118.0,84.0,189.0,163.0,384.0,,163.0,Fourth Line,75,982.58333333333,13,16,32,1983-08-13,CZE,CZE,72,177,2001,1,13,13,8469466.0,https://assets.nhle.com/mugs/nhl/20152016/DAL/8469466.png
2015-2016,Alex Chiasson,OTT,F,325.0,209.0,206.0,121.0,292.0,251.0,332.0,319.0,315.0,339.0,398.0,166.0,,315.0,Third Line,77,1050.0833333333,8,5,24,1990-10-01,CAN,CAN,76,208,2009,2,8,38,8475163.0,https://assets.nhle.com/mugs/nhl/20152016/OTT/8475163.png
2015-2016,Alex Galchenyuk,MTL,F,49.0,278.0,64.0,,62.0,285.0,106.0,33.0,149.0,10.0,90.0,264.0,109.0,90.0,Second Line,82,1333.2666666667,30,16,21,1994-02-12,USA,USA,73,194,2012,1,3,3,8476851.0,https://assets.nhle.com/mugs/nhl/20152016/MTL/8476851.png
2015-2016,Alex Killorn,TBL,F,130.0,237.0,214.0,,100.0,107.0,223.0,272.0,58.0,91.0,182.0,265.0,,167.0,Second Line,81,1360.4166666667,14,18,25,1989-09-14,CAN,CAN,73,194,2007,3,16,77,8473986.0,https://assets.nhle.com/mugs/nhl/20152016/TBL/8473986.png
2015-2016,Alex Ovechkin,WSH,F,17.0,319.0,1.0,,82.0,171.0,2.0,3.0,239.0,120.0,204.0,60.0,,1.0,First Line,79,1604.3666666667,50,6,29,1985-09-17,RUS,RUS,75,238,2004,1,1,1,8471214.0,https://assets.nhle.com/mugs/nhl/20152016/WSH/8471214.png
