Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2020-2021,Adam Erne,DET,F,397.0,248.0,247.0,,411.0,252.0,289.0,283.0,374.0,372.0,414.0,49.0,,309.0,Third Line,45,626.45,11,3,25,1995-04-20,USA,USA,73,212,2013,2,3,33
2020-2021,Adam Gaudette,"CHI, VAN",F,270.0,384.0,252.0,,322.0,433.0,155.0,178.0,20.0,316.0,232.0,318.0,123.0,272.0,Fourth Line,40,444.85,5,3,23,1996-10-03,USA,USA,73,194,2015,5,28,149
2020-2021,Adam Henrique,ANA,F,198.0,290.0,140.0,199.0,189.0,354.0,199.0,85.0,137.0,247.0,185.0,270.0,20.0,134.0,Second Line,45,721.8,12,6,30,1990-02-06,CAN,CAN,72,195,2008,3,21,82
2020-2021,Adam Lowry,WPG,F,373.0,203.0,236.0,64.0,397.0,283.0,332.0,306.0,400.0,385.0,123.0,41.0,31.0,268.0,Second Line,52,808.46666666667,10,7,27,1993-03-29,USA,USA,78,208,2011,3,6,67
2020-2021,Adrian Kempe,LAK,F,276.0,312.0,18.0,122.0,240.0,237.0,130.0,231.0,206.0,112.0,351.0,262.0,193.0,166.0,Second Line,56,948.21666666667,14,13,23,1996-09-13,SWE,SWE,74,200,2014,1,29,29
2020-2021,Aleksander Barkov,FLA,F,24.0,72.0,32.0,98.0,45.0,136.0,72.0,43.0,150.0,18.0,27.0,418.0,16.0,12.0,First Line,50,1046.8666666667,26,25,24,1995-09-02,FIN,FIN,75,215,2013,1,2,2
2020-2021,Alex Barre-Boulet,TBL,F,442.0,5.0,,,260.0,2.0,250.0,208.0,95.0,449.0,371.0,380.0,,319.0,Third Line,15,228.78333333333,3,0,23,1997-05-21,CAN,CAN,70,180,-,-,-,-
2020-2021,Alex Chiasson,EDM,F,410.0,320.0,25.0,,405.0,255.0,237.0,102.0,218.0,309.0,424.0,219.0,,253.0,Fourth Line,45,561.78333333333,9,3,29,1990-10-01,CAN,CAN,76,208,2009,2,8,38
2020-2021,Alex DeBrincat,CHI,F,92.0,437.0,101.0,,235.0,432.0,49.0,22.0,113.0,98.0,45.0,294.0,,26.0,First Line,51,1045.8333333333,32,14,22,1997-12-18,USA,USA,68,178,2016,2,9,39
2020-2021,Alex Formenton,OTT,F,419.0,289.0,,,433.0,316.0,286.0,207.0,387.0,415.0,148.0,164.0,,319.0,Fourth Line,20,239.88333333333,4,1,20,1999-09-13,CAN,CAN,75,195,2017,2,16,47
2020-2021,Alex Galchenyuk,"OTT, TOR",F,91.0,378.0,233.0,,87.0,323.0,113.0,185.0,94.0,102.0,411.0,177.0,211.0,219.0,Fourth Line,34,432.01666666667,5,5,26,1994-02-12,USA,USA,73,194,2012,1,3,3
2020-2021,Alex Iafallo,LAK,F,265.0,131.0,74.0,127.0,300.0,167.0,264.0,228.0,325.0,218.0,197.0,368.0,,124.0,First Line,55,1093.8,13,10,26,1993-12-21,USA,USA,72,200,-,-,-,-
2020-2021,Alex Killorn,TBL,F,195.0,223.0,124.0,31.0,174.0,121.0,202.0,115.0,195.0,208.0,334.0,268.0,,127.0,Second Line,56,1001.6,15,11,30,1989-09-14,CAN,CAN,73,194,2007,3,16,77
2020-2021,Alex Ovechkin,WSH,F,28.0,399.0,59.0,,212.0,368.0,1.0,2.0,10.0,101.0,160.0,106.0,,5.0,First Line,45,877.58333333333,24,11,34,1985-09-17,RUS,RUS,75,238,2004,1,1,1
