Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL,Team URL
2022-2023,A.J. Greer,BOS,F,286.0,52.0,,,346.0,69.0,247.0,322.0,444.0,305.0,455.0,51.0,,425.0,Fourth Line,61,555.65,5,4,25,1996-12-14,CAN,CAN,75,208,2015,2,9,39,8478421.0,https://assets.nhle.com/mugs/nhl/20222023/BOS/8478421.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2022-2023,Adam Erne,DET,F,431.0,216.0,271.0,175.0,436.0,303.0,398.0,378.0,272.0,374.0,300.0,60.0,,339.0,Fourth Line,61,816.23333333333,8,6,27,1995-04-20,USA,USA,73,212,2013,2,3,33,8477454.0,https://assets.nhle.com/mugs/nhl/20222023/DET/8477454.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
2022-2023,Adam Henrique,ANA,F,179.0,369.0,59.0,184.0,162.0,396.0,189.0,86.0,211.0,199.0,287.0,399.0,41.0,112.0,First Line,62,1127.1666666667,22,9,32,1990-02-06,CAN,CAN,72,195,2008,3,21,82,8474641.0,https://assets.nhle.com/mugs/nhl/20222023/ANA/8474641.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
2022-2023,Adam Lowry,WPG,F,288.0,141.0,163.0,76.0,195.0,184.0,342.0,245.0,416.0,300.0,150.0,72.0,51.0,261.0,Second Line,82,1283.0833333333,13,13,29,1993-03-29,USA,USA,78,208,2011,3,6,67,8476392.0,https://assets.nhle.com/mugs/nhl/20222023/WPG/8476392.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
2022-2023,Adam Ruzicka,CGY,F,133.0,77.0,256.0,,191.0,27.0,212.0,218.0,147.0,116.0,320.0,226.0,141.0,314.0,Fourth Line,44,509.33333333333,6,7,23,1999-05-11,SVK,SVK,76,215,2017,4,16,109,8480008.0,https://assets.nhle.com/mugs/nhl/20222023/CGY/8480008.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg
2022-2023,Adrian Kempe,LAK,F,155.0,353.0,51.0,72.0,143.0,235.0,48.0,41.0,279.0,210.0,326.0,202.0,,77.0,First Line,82,1538.15,41,16,25,1996-09-13,SWE,SWE,74,200,2014,1,29,29,8477960.0,https://assets.nhle.com/mugs/nhl/20222023/LAK/8477960.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2022-2023,Aleksander Barkov,FLA,F,27.0,83.0,23.0,18.0,14.0,115.0,82.0,57.0,235.0,20.0,127.0,371.0,13.0,11.0,First Line,68,1443.25,23,31,26,1995-09-02,FIN,FIN,75,215,2013,1,2,2,8477493.0,https://assets.nhle.com/mugs/nhl/20222023/FLA/8477493.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2022-2023,Alex Belzile,MTL,F,376.0,404.0,,,439.0,407.0,324.0,320.0,368.0,370.0,93.0,222.0,161.0,274.0,Fourth Line,31,376.15,6,3,31,1991-08-31,CAN,CAN,72,196,-,-,-,-,8475968.0,https://assets.nhle.com/mugs/nhl/20222023/MTL/8475968.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
2022-2023,Alex DeBrincat,OTT,F,120.0,304.0,49.0,,198.0,337.0,52.0,45.0,63.0,65.0,39.0,232.0,,31.0,First Line,82,1558.5166666667,27,29,24,1997-12-18,USA,USA,68,178,2016,2,9,39,8479337.0,https://assets.nhle.com/mugs/nhl/20222023/OTT/8479337.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2022-2023,Alex Iafallo,LAK,F,126.0,192.0,103.0,74.0,119.0,151.0,132.0,194.0,284.0,196.0,157.0,396.0,,148.0,Second Line,59,961.7,14,13,28,1993-12-21,USA,USA,72,200,-,-,-,-,8480113.0,https://assets.nhle.com/mugs/nhl/20222023/LAK/8480113.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2022-2023,Alex Killorn,TBL,F,212.0,402.0,143.0,55.0,138.0,301.0,284.0,139.0,287.0,189.0,385.0,285.0,,132.0,Second Line,82,1411.1333333333,27,18,32,1989-09-14,CAN,CAN,73,194,2007,3,16,77,8473986.0,https://assets.nhle.com/mugs/nhl/20222023/TBL/8473986.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
2022-2023,Alex Newhook,COL,F,308.0,124.0,192.0,,278.0,150.0,289.0,278.0,340.0,302.0,258.0,317.0,150.0,271.0,Third Line,82,1144.15,14,9,21,2001-01-28,CAN,CAN,70,190,2019,1,16,16,8481618.0,https://assets.nhle.com/mugs/nhl/20222023/COL/8481618.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
2022-2023,Alex Ovechkin,WSH,F,44.0,441.0,68.0,,146.0,412.0,6.0,4.0,1.0,90.0,310.0,120.0,,7.0,First Line,73,1474.9,42,18,36,1985-09-17,RUS,RUS,75,238,2004,1,1,1,8471214.0,https://assets.nhle.com/mugs/nhl/20222023/WSH/8471214.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
2022-2023,Alex Tuch,BUF,F,24.0,162.0,127.0,113.0,54.0,306.0,77.0,60.0,34.0,48.0,199.0,351.0,,41.0,First Line,74,1417.4,36,29,26,1996-05-10,USA,USA,76,219,2014,1,18,18,8477949.0,https://assets.nhle.com/mugs/nhl/20222023/BUF/8477949.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg
2022-2023,Alexander Barabanov,SJS,F,207.0,421.0,217.0,,123.0,391.0,373.0,299.0,280.0,119.0,210.0,367.0,,205.0,First Line,68,1227.6166666667,15,21,28,1994-06-17,RUS,RUS,70,195,-,-,-,-,8482222.0,https://assets.nhle.com/mugs/nhl/20222023/SJS/8482222.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg
2022-2023,Alexander Kerfoot,TOR,F,206.0,63.0,,10.0,180.0,85.0,325.0,342.0,278.0,191.0,80.0,293.0,215.0,222.0,Third Line,82,1198.75,10,12,28,1994-08-11,CAN,CAN,71,186,2012,5,29,150,8477021.0,https://assets.nhle.com/mugs/nhl/20222023/TOR/8477021.png,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg
2022-2023,Alexander Wennberg,SEA,F,393.0,25.0,154.0,137.0,288.0,48.0,449.0,395.0,188.0,270.0,230.0,393.0,112.0,233.0,First Line,82,1532.8666666667,13,17,27,1994-09-22,SWE,SWE,74,190,2013,1,14,14,8477505.0,https://assets.nhle.com/mugs/nhl/20222023/SEA/8477505.png,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg
2022-2023,Alexey Toropchenko,STL,F,385.0,128.0,,148.0,401.0,220.0,218.0,331.0,381.0,439.0,172.0,55.0,,365.0,Fourth Line,69,833.26666666667,10,5,23,1999-06-25,RUS,RUS,78,222,2017,4,20,113,8480281.0,https://assets.nhle.com/mugs/nhl/20222023/STL/8480281.png,https://assets.nhle.com/logos/nhl/svg/STL_light.svg
2022-2023,Alexis Lafrenière,NYR,F,332.0,256.0,173.0,,228.0,234.0,304.0,222.0,122.0,383.0,283.0,143.0,,257.0,Third Line,81,1232.7833333333,16,10,20,2001-10-11,CAN,CAN,73,195,2020,1,1,1,8482109.0,https://assets.nhle.com/mugs/nhl/20222023/NYR/8482109.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
