Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2023-2024,A.J. Greer,CGY,F,329.0,91.0,,,355.0,119.0,197.0,351.0,296.0,366.0,413.0,58.0,,405.0,Fringe,59,521.06666666667,6,6,12,6.46,38.89,46.49,26,1996-12-14,CAN,CAN,75,208,2015,2,39,
2023-2024,Adam Fantilli,CBJ,F,75.0,388.0,230.0,,322.0,420.0,80.0,74.0,28.0,19.0,84.0,174.0,171.0,142.0,Second Line,49,769.8,12,15,27,12.42,37.14,44.78,18,2004-10-12,CAN,,74,194,2023,1,3,8484166.0
2023-2024,Adam Henrique,ANA,F,192.0,308.0,134.0,155.0,268.0,343.0,242.0,80.0,241.0,293.0,290.0,270.0,48.0,118.0,Second Line,82,1381.6333333333,24,27,51,20.72,55.42,46.9,33,1990-02-06,CAN,CAN,72,195,2008,3,82,
2023-2024,Adam Lowry,WPG,F,210.0,43.0,,140.0,133.0,60.0,294.0,255.0,218.0,417.0,238.0,78.0,79.0,237.0,Second Line,81,1304.4333333333,12,23,35,19.66,64.41,57.41,30,1993-03-29,USA,USA,78,208,2011,3,67,8476392.0
2023-2024,Adam Ruzicka,ARI,F,342.0,253.0,180.0,,321.0,189.0,341.0,291.0,336.0,153.0,261.0,344.0,127.0,372.0,Fourth Line,42,421.13333333333,3,6,9,3.84,35.71,41.59,24,1999-05-11,SVK,SVK,76,215,2017,4,109,
2023-2024,Adrian Kempe,LAK,F,85.0,245.0,63.0,92.0,164.0,107.0,43.0,53.0,214.0,240.0,211.0,177.0,,39.0,First Line,77,1457.9166666667,28,47,75,22.95,58.02,51.08,26,1996-09-13,SWE,SWE,74,200,2014,1,29,8477960.0
2023-2024,Aleksander Barkov,FLA,F,27.0,23.0,24.0,21.0,18.0,27.0,110.0,112.0,12.0,244.0,114.0,232.0,22.0,24.0,First Line,73,1433.4833333333,23,57,80,24.32,69.74,60.6,27,1995-09-02,FIN,FIN,75,215,2013,1,2,8477493.0
2023-2024,Alex Barré-Boulet,TBL,F,319.0,344.0,39.0,,183.0,371.0,318.0,223.0,436.0,22.0,137.0,248.0,,369.0,Fourth Line,36,402.8,6,3,9,5.87,35.48,45.9,26,1997-05-21,CAN,CAN,70,180,-,-,-,
2023-2024,Alex DeBrincat,DET,F,78.0,304.0,71.0,,208.0,337.0,65.0,154.0,32.0,174.0,82.0,273.0,,58.0,Second Line,82,1467.15,27,40,67,25.72,55.65,48.09,25,1997-12-18,USA,USA,68,178,2016,2,39,8479337.0
2023-2024,Alex Iafallo,WPG,F,265.0,59.0,171.0,157.0,217.0,66.0,219.0,299.0,297.0,163.0,162.0,369.0,,220.0,Third Line,82,1255.7,11,16,27,15.78,59.68,50.87,29,1993-12-21,USA,USA,72,200,-,-,-,8480113.0
