Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL,Team URL
2024-2025,A.J. Greer,FLA,F,230.0,83.0,,,228.0,40.0,167.0,355.0,73.0,226.0,431.0,31.0,,393.0,Fourth Line,81,777.05,6,10,27,1996-12-14,CAN,CAN,75,208,2015,2,9,39,8478421.0,https://assets.nhle.com/mugs/nhl/20242025/FLA/8478421.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2024-2025,Aatu Raty,VAN,F,297.0,186.0,,,345.0,76.0,354.0,27.0,418.0,187.0,347.0,45.0,15.0,358.0,Fourth Line,33,351.68333333333,7,2,21,2002-11-14,FIN,FIN,74,190,2021,2,20,52,,,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2024-2025,Adam Edstrom,NYR,F,384.0,154.0,,,413.0,351.0,392.0,228.0,406.0,434.0,147.0,68.0,,400.0,Fourth Line,51,472.95,5,3,23,2000-10-12,SWE,SWE,79,220,2019,6,6,161,8481726.0,https://assets.nhle.com/mugs/nhl/20242025/NYR/8481726.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
2024-2025,Adam Fantilli,CBJ,F,136.0,394.0,250.0,,333.0,402.0,114.0,35.0,93.0,39.0,47.0,194.0,182.0,114.0,Second Line,82,1433.1833333333,31,14,19,2004-10-12,CAN,,74,194,2023,1,3,3,8484166.0,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8484166.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
2024-2025,Adam Gaudette,OTT,F,232.0,195.0,239.0,,312.0,126.0,269.0,15.0,399.0,6.0,343.0,200.0,96.0,334.0,Fourth Line,81,844.21666666667,19,4,27,1996-10-03,USA,USA,73,194,2015,5,28,149,8478874.0,https://assets.nhle.com/mugs/nhl/20242025/OTT/8478874.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2024-2025,Adam Henrique,EDM,F,296.0,130.0,190.0,137.0,284.0,241.0,308.0,163.0,332.0,355.0,304.0,269.0,23.0,184.0,Third Line,81,1186.1666666667,12,5,34,1990-02-06,CAN,CAN,72,195,2008,3,21,82,8474641.0,https://assets.nhle.com/mugs/nhl/20242025/EDM/8474641.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2024-2025,Adam Klapka,CGY,F,58.0,32.0,,,300.0,331.0,50.0,14.0,23.0,109.0,434.0,8.0,,284.0,Fourth Line,31,299.21666666667,6,4,23,2000-09-14,CZE,CZE,80,235,-,-,-,-,,,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg
2024-2025,Adam Lowry,WPG,F,244.0,52.0,,121.0,183.0,68.0,258.0,137.0,342.0,424.0,173.0,97.0,50.0,213.0,Third Line,73,1126.2666666667,16,8,31,1993-03-29,USA,USA,78,208,2011,3,6,67,8476392.0,https://assets.nhle.com/mugs/nhl/20242025/WPG/8476392.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
2024-2025,Adrian Kempe,LAK,F,39.0,247.0,71.0,74.0,173.0,101.0,32.0,25.0,52.0,227.0,215.0,201.0,,32.0,First Line,81,1551.5833333333,35,27,27,1996-09-13,SWE,SWE,74,200,2014,1,29,29,8477960.0,https://assets.nhle.com/mugs/nhl/20242025/LAK/8477960.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2024-2025,Akil Thomas,LAK,F,421.0,34.0,,,409.0,60.0,399.0,415.0,417.0,290.0,65.0,90.0,,426.0,Fourth Line,25,247.85,1,1,24,2000-01-02,CAN,CAN,72,171,2018,2,20,51,8480851.0,https://assets.nhle.com/mugs/nhl/20242025/LAK/8480851.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2024-2025,Aleksander Barkov,FLA,F,40.0,5.0,15.0,70.0,19.0,6.0,185.0,243.0,10.0,164.0,194.0,202.0,27.0,25.0,First Line,67,1357.2833333333,20,27,28,1995-09-02,FIN,FIN,75,215,2013,1,2,2,8477493.0,https://assets.nhle.com/mugs/nhl/20242025/FLA/8477493.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2024-2025,Alex DeBrincat,DET,F,62.0,266.0,21.0,,171.0,288.0,34.0,48.0,133.0,150.0,35.0,343.0,,46.0,Second Line,82,1465.4333333333,39,23,26,1997-12-18,USA,USA,68,178,2016,2,9,39,8479337.0,https://assets.nhle.com/mugs/nhl/20242025/DET/8479337.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
2024-2025,Alex Iafallo,WPG,F,269.0,2.0,84.0,107.0,234.0,14.0,271.0,276.0,265.0,288.0,227.0,295.0,,238.0,Fourth Line,82,1089.05,15,12,30,1993-12-21,USA,USA,72,200,-,-,-,-,8480113.0,https://assets.nhle.com/mugs/nhl/20242025/WPG/8480113.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
2024-2025,Alex Killorn,ANA,F,201.0,378.0,262.0,109.0,195.0,258.0,238.0,173.0,216.0,149.0,395.0,237.0,,181.0,Second Line,82,1416.6333333333,19,11,34,1989-09-14,CAN,CAN,73,194,2007,3,16,77,8473986.0,https://assets.nhle.com/mugs/nhl/20242025/ANA/8473986.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
