Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL
2012-2013,Anders Lindback,TBL,G,36.0,43.0,7.0,32.0,42.0,27.0,19.0,28.0,36.0,39.0,40.0,24.0,44.0,Backup,24,0.902,2.9,52.69,63,24,1988-05-03,SWE,SWE,78,215,2008,7,26,207,8474765,https://assets.nhle.com/mugs/nhl/20122013/TBL/8474765.png
2012-2013,Anton Khudobin,BOS,G,24.0,36.0,2.0,2.0,22.0,42.0,18.0,22.0,33.0,11.0,6.0,23.0,7.0,Backup,14,0.92,2.32,29.82,31,26,1986-05-07,KAZ,RUS,71,210,2004,7,13,206,8471418,https://assets.nhle.com/mugs/nhl/20122013/BOS/8471418.png
2012-2013,Antti Niemi,SJS,G,17.0,18.0,25.0,22.0,31.0,15.0,31.0,9.0,9.0,12.0,14.0,2.0,9.0,1A,43,0.924,2.16,99.47,93,29,1983-08-29,FIN,FIN,74,209,-,-,-,-,8474550,https://assets.nhle.com/mugs/nhl/20122013/SJS/8474550.png
2012-2013,Ben Bishop,OTT,G,12.0,10.0,41.0,16.0,9.0,26.0,51.0,51.0,12.0,29.0,28.0,19.0,18.0,Backup,22,0.92,2.67,58.64,56,25,1986-11-21,USA,USA,79,210,2005,3,24,85,8471750,https://assets.nhle.com/mugs/nhl/20122013/OTT/8471750.png
2012-2013,Ben Bishop,TBL,G,12.0,10.0,41.0,16.0,9.0,26.0,51.0,51.0,12.0,29.0,28.0,19.0,18.0,Backup,22,0.92,2.67,58.64,56,25,1986-11-21,USA,USA,79,210,2005,3,24,85,8471750,https://assets.nhle.com/mugs/nhl/20122013/TBL/8471750.png
2012-2013,Ben Scrivens,TOR,G,37.0,39.0,46.0,20.0,7.0,51.0,43.0,42.0,33.0,26.0,22.0,42.0,36.0,Backup,20,0.915,2.69,43.95,46,25,1986-09-11,CAN,CAN,74,181,-,-,-,-,8475681,https://assets.nhle.com/mugs/nhl/20122013/TOR/8475681.png
2012-2013,Braden Holtby,WSH,G,13.0,13.0,31.0,40.0,36.0,4.0,45.0,47.0,33.0,13.0,11.0,12.0,6.0,1B,36,0.92,2.58,91.41,90,22,1989-09-16,CAN,CAN,73,215,2008,4,2,93,8474651,https://assets.nhle.com/mugs/nhl/20122013/WSH/8474651.png
2012-2013,Brian Elliott,STL,G,26.0,24.0,20.0,39.0,35.0,18.0,5.0,4.0,5.0,21.0,23.0,21.0,14.0,Backup,24,0.907,2.31,43.14,49,27,1985-04-09,CAN,CAN,74,221,2003,9,30,291,8470880,https://assets.nhle.com/mugs/nhl/20122013/STL/8470880.png
2012-2013,Cam Ward,CAR,G,28.0,26.0,37.0,50.0,3.0,23.0,50.0,45.0,17.0,25.0,29.0,33.0,31.0,Backup,17,0.908,2.84,42.67,44,28,1984-02-29,CAN,CAN,73,194,2002,1,25,25,8470320,https://assets.nhle.com/mugs/nhl/20122013/CAR/8470320.png
2012-2013,Carey Price,MTL,G,31.0,27.0,40.0,27.0,39.0,22.0,9.0,13.0,28.0,30.0,31.0,37.0,29.0,1B,39,0.905,2.61,85.17,97,25,1987-08-16,CAN,CAN,75,217,2005,1,5,5,8471679,https://assets.nhle.com/mugs/nhl/20122013/MTL/8471679.png
