Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,W,L,OT/SO,Shutouts
2025-2026,Adin Hill,VGK,G,62.0,57.0,71.0,9.0,17.0,71.0,1.0,2.0,59.0,55.0,56.0,64.0,52.0,Backup,8,398.96666666667,0.871,3.01,14.46,20,29,1996-05-11,CAN,CAN,76,215,2015,3,76,8478499.0,3,1,2,0
2025-2026,Akira Schmid,VGK,G,45.0,34.0,47.0,62.0,14.0,30.0,60.0,8.0,39.0,62.0,62.0,54.0,28.0,Starter,26,1503.2,0.896,2.51,65.86,63,25,2000-05-12,CHE,CHE,77,205,2018,5,136,8481033.0,15,5,5,2
2025-2026,Alex Lyon,BUF,G,18.0,23.0,16.0,16.0,19.0,49.0,34.0,60.0,17.0,20.0,20.0,7.0,18.0,Tandem (1A),23,1269.2333333333,0.911,2.69,66.9,57,32,1992-12-09,USA,USA,73,201,-,-,-,8479312.0,12,6,3,2
2025-2026,Alex Nedeljkovic,SJS,G,30.0,31.0,48.0,52.0,18.0,44.0,36.0,61.0,37.0,44.0,44.0,49.0,49.0,Tandem (1A),23,1316.1,0.899,2.87,63.18,63,29,1996-01-07,USA,USA,72,208,2014,2,37,8477968.0,10,8,2,0
2025-2026,Andrei Vasilevskiy,TBL,G,2.0,7.0,11.0,56.0,3.0,13.0,7.0,15.0,3.0,3.0,3.0,4.0,3.0,Starter,32,1911.25,0.916,2.13,89.54,68,31,1994-07-25,RUS,RUS,76,220,2012,1,19,8476883.0,22,7,3,1
2025-2026,Anthony Stolarz,TOR,G,46.0,40.0,28.0,2.0,66.0,35.0,29.0,41.0,41.0,54.0,55.0,52.0,36.0,Backup,14,759.55,0.880,3.63,40.0,46,31,1994-01-20,USA,USA,78,243,2012,2,45,8476932.0,6,6,1,0
2025-2026,Anton Forsberg,LAK,G,22.0,19.0,36.0,4.0,40.0,28.0,41.0,26.0,38.0,34.0,34.0,40.0,31.0,Tandem (1B),19,1078.0666666667,0.906,2.56,54.75,46,32,1992-11-27,SWE,SWE,75,193,2011,7,188,8476341.0,8,6,4,1
2025-2026,Arturs Silovs,PIT,G,41.0,44.0,13.0,67.0,21.0,34.0,55.0,67.0,28.0,38.0,38.0,48.0,53.0,Tandem (1A),23,1339.6833333333,0.893,3.0,63.6,67,24,2001-03-22,LVA,LVA,76,203,2019,6,156,8481668.0,9,6,8,1
2025-2026,Arvid Soderblom,CHI,G,65.0,68.0,9.0,63.0,61.0,68.0,47.0,71.0,70.0,67.0,68.0,69.0,69.0,Backup,16,927.36666666667,0.874,3.75,52.43,58,26,1999-08-19,SWE,SWE,75,180,-,-,-,8482821.0,5,8,2,0
2025-2026,Brandon Bussi,CAR,G,4.0,4.0,38.0,18.0,33.0,4.0,2.0,3.0,8.0,2.0,2.0,2.0,1.0,Tandem (1A),23,1397.8666666667,0.909,2.15,61.34,50,27,1998-06-25,USA,USA,76,226,-,-,-,8483548.0,19,3,1,1
2025-2026,Calvin Pickard,EDM,G,66.0,66.0,52.0,36.0,38.0,69.0,10.0,46.0,60.0,66.0,64.0,63.0,63.0,Backup,16,864.13333333333,0.871,3.68,47.0,53,33,1992-04-15,CAN,CAN,73,210,2010,2,49,8475717.0,5,6,2,0
2025-2026,Cam Talbot,DET,G,47.0,25.0,62.0,5.0,34.0,53.0,13.0,43.0,43.0,35.0,35.0,28.0,43.0,Tandem (1A),23,1322.3333333333,0.892,2.99,63.4,66,38,1987-07-05,CAN,CAN,76,201,-,-,-,8475660.0,11,7,4,0
2025-2026,Carl Lindbom,VGK,G,71.0,70.0,19.0,48.0,39.0,72.0,20.0,1.0,72.0,71.0,71.0,72.0,70.0,Backup,8,480.66666666667,0.873,3.0,21.03,24,22,2003-05-20,SWE,,72,165,2021,7,222,,2,4,2,0
2025-2026,Carter Hart,VGK,G,67.0,72.0,5.0,72.0,65.0,70.0,33.0,14.0,66.0,53.0,54.0,62.0,64.0,Backup,12,659.3,0.870,3.28,28.37,36,27,1998-08-13,CAN,CAN,74,181,2016,2,48,8479394.0,5,3,3,0
2025-2026,Casey DeSmith,DAL,G,12.0,2.0,45.0,3.0,35.0,6.0,54.0,32.0,2.0,12.0,12.0,12.0,9.0,Tandem (1B),20,1179.8166666667,0.913,2.39,60.94,47,34,1991-08-13,USA,USA,72,181,-,-,-,8479193.0,10,4,5,1
2025-2026,Charlie Lindgren,WSH,G,55.0,41.0,63.0,39.0,27.0,50.0,5.0,22.0,68.0,68.0,66.0,56.0,55.0,Tandem (1B),18,1066.2666666667,0.885,3.21,54.45,57,31,1993-12-18,USA,USA,74,179,-,-,-,8479292.0,7,6,3,1
2025-2026,Colten Ellis,BUF,G,43.0,58.0,24.0,65.0,12.0,65.0,56.0,66.0,20.0,32.0,33.0,30.0,40.0,Backup,11,620.03333333333,0.898,3.1,32.5,32,24,2000-10-05,CAN,CAN,73,185,2019,3,93,8481551.0,6,4,0,0
2025-2026,Connor Hellebuyck,WPG,G,11.0,11.0,18.0,11.0,15.0,24.0,46.0,29.0,26.0,19.0,19.0,17.0,12.0,Starter,32,1918.35,0.902,2.69,97.78,86,32,1993-05-19,USA,USA,76,216,2012,5,130,8476945.0,12,14,6,0
2025-2026,Connor Ingram,EDM,G,44.0,42.0,46.0,43.0,63.0,11.0,39.0,16.0,23.0,10.0,10.0,14.0,26.0,Backup,10,575.73333333333,0.909,2.4,27.61,23,28,1997-03-31,CAN,CAN,74,196,2016,3,88,8478971.0,5,3,1,1
2025-2026,Dan Vladar,PHI,G,35.0,21.0,64.0,7.0,44.0,29.0,32.0,13.0,19.0,16.0,16.0,11.0,29.0,Starter,28,1633.3166666667,0.905,2.46,79.12,67,28,1997-08-20,CZE,CZE,77,209,2015,3,75,8478435.0,16,7,4,0
2025-2026,Daniil Tarasov,FLA,G,39.0,46.0,4.0,44.0,57.0,22.0,64.0,59.0,27.0,27.0,27.0,33.0,50.0,Backup,16,935.6,0.906,2.63,48.21,41,26,1999-03-27,RUS,RUS,77,196,2017,3,86,8480193.0,7,6,2,0
2025-2026,Darcy Kuemper,LAK,G,17.0,10.0,40.0,38.0,6.0,19.0,15.0,7.0,11.0,23.0,24.0,27.0,19.0,Starter,33,1898.7833333333,0.902,2.56,86.83,81,35,1990-05-05,CAN,CAN,77,215,2009,6,161,8475311.0,13,9,9,2
2025-2026,David Rittich,NYI,G,29.0,30.0,22.0,14.0,55.0,23.0,44.0,19.0,14.0,24.0,25.0,24.0,25.0,Tandem (1A),21,1262.9,0.902,2.57,65.94,54,33,1992-08-19,CZE,CZE,76,205,-,-,-,8479496.0,11,7,3,2
2025-2026,Dennis Hildeby,TOR,G,5.0,28.0,2.0,68.0,1.0,41.0,72.0,72.0,6.0,4.0,4.0,3.0,41.0,Tandem (1B),19,950.6,0.910,2.9,58.6,46,24,2001-08-19,SWE,,79,222,2022,4,122,8483710.0,5,6,4,1
2025-2026,Devin Cooley,CGY,G,1.0,16.0,1.0,59.0,30.0,5.0,71.0,55.0,1.0,1.0,1.0,1.0,10.0,Tandem (1B),17,939.05,0.924,2.17,51.83,34,28,1997-05-25,USA,USA,77,192,-,-,-,8482445.0,6,5,3,0
2025-2026,Dustin Wolf,CGY,G,23.0,35.0,29.0,29.0,56.0,31.0,27.0,49.0,32.0,42.0,42.0,25.0,42.0,Starter,38,2116.8166666667,0.897,3.0,106.24,106,24,2001-04-16,USA,USA,72,156,2019,7,214,8481692.0,15,20,2,2
2025-2026,Elvis Merzlikins,CBJ,G,59.0,51.0,67.0,55.0,64.0,15.0,62.0,70.0,63.0,51.0,52.0,59.0,62.0,Tandem (1B),18,1007.8333333333,0.882,3.81,60.0,64,31,1994-04-13,LVA,LVA,75,183,2014,3,76,8478007.0,8,8,1,0
2025-2026,Eric Comrie,WPG,G,49.0,26.0,72.0,33.0,22.0,32.0,70.0,47.0,54.0,18.0,18.0,16.0,51.0,Tandem (1B),18,996.15,0.887,3.19,54.24,53,30,1995-07-06,CAN,CAN,73,183,2013,2,59,8477480.0,8,9,1,0
2025-2026,Filip Gustavsson,MIN,G,16.0,5.0,55.0,15.0,5.0,20.0,21.0,44.0,22.0,15.0,15.0,6.0,11.0,Starter,33,1949.8,0.907,2.62,97.04,85,27,1998-06-07,SWE,SWE,74,184,2016,2,55,8479406.0,17,9,6,3
2025-2026,Frederik Andersen,CAR,G,54.0,62.0,30.0,28.0,59.0,56.0,22.0,27.0,62.0,64.0,65.0,68.0,57.0,Tandem (1A),21,1263.2833333333,0.869,3.23,64.37,68,35,1989-10-02,DNK,DNK,76,238,2012,3,87,8475883.0,7,10,4,0
2025-2026,Igor Shesterkin,NYR,G,9.0,3.0,35.0,35.0,7.0,8.0,45.0,40.0,10.0,8.0,8.0,19.0,15.0,Starter,34,2006.0,0.913,2.45,101.28,82,29,1995-12-30,RUS,RUS,73,189,2014,4,118,8478048.0,17,12,4,1
2025-2026,Ilya Sorokin,NYI,G,3.0,1.0,20.0,20.0,29.0,2.0,58.0,63.0,29.0,29.0,30.0,22.0,7.0,Starter,30,1792.2666666667,0.914,2.51,107.56,75,30,1995-08-04,RUS,RUS,75,195,2014,3,78,8478009.0,16,12,2,5
2025-2026,Jacob Fowler,MTL,G,24.0,49.0,3.0,1.0,41.0,61.0,28.0,5.0,36.0,63.0,63.0,57.0,34.0,Backup,10,595.18333333333,0.901,2.62,30.78,26,20,2004-11-24,USA,,73,223,2023,3,69,8484170.0,4,4,2,1
2025-2026,Jacob Markstrom,NJD,G,56.0,53.0,65.0,54.0,62.0,27.0,8.0,18.0,65.0,58.0,59.0,51.0,54.0,Starter,27,1528.1666666667,0.880,3.3,76.23,84,35,1990-01-31,SWE,SWE,78,207,2008,2,31,8474593.0,14,11,1,0
2025-2026,Jake Allen,NJD,G,20.0,37.0,14.0,13.0,9.0,64.0,63.0,56.0,12.0,21.0,22.0,35.0,23.0,Tandem (1A),25,1472.5333333333,0.908,2.61,77.76,64,35,1990-08-07,CAN,CAN,74,195,2008,2,34,8474596.0,12,11,1,1
2025-2026,Jake Oettinger,DAL,G,27.0,32.0,26.0,23.0,24.0,47.0,19.0,23.0,18.0,22.0,23.0,21.0,13.0,Starter,33,1948.2333333333,0.902,2.65,97.51,86,26,1998-12-18,USA,USA,77,220,2017,1,26,8479979.0,19,10,4,2
2025-2026,Jakub Dobes,MTL,G,53.0,45.0,58.0,8.0,58.0,36.0,68.0,21.0,46.0,45.0,45.0,53.0,30.0,Tandem (1A),23,1316.5166666667,0.887,3.01,67.71,66,24,2001-05-27,CZE,,76,205,2020,5,136,8482487.0,15,5,3,0
2025-2026,Jeremy Swayman,BOS,G,31.0,14.0,59.0,42.0,13.0,9.0,65.0,37.0,15.0,14.0,14.0,20.0,27.0,Starter,35,2057.3833333333,0.902,2.89,117.42,99,26,1998-11-24,USA,USA,74,194,2017,4,111,8480280.0,20,12,2,1
2025-2026,Jesper Wallstedt,MIN,G,7.0,8.0,42.0,6.0,23.0,26.0,11.0,64.0,7.0,6.0,6.0,9.0,2.0,Tandem (1A),21,1264.3833333333,0.912,2.7,62.11,57,22,2002-11-14,SWE,SWE,75,214,2021,1,20,8482661.0,12,5,4,4
2025-2026,Jet Greaves,CBJ,G,15.0,15.0,21.0,46.0,45.0,3.0,16.0,42.0,13.0,7.0,7.0,15.0,20.0,Starter,35,2078.4166666667,0.908,2.68,106.16,93,24,2001-03-30,CAN,CAN,72,184,-,-,-,8482982.0,16,12,6,1
2025-2026,Joel Hofer,STL,G,33.0,27.0,57.0,10.0,25.0,51.0,18.0,28.0,35.0,36.0,36.0,44.0,24.0,Starter,28,1534.9333333333,0.902,2.78,73.26,71,25,2000-07-30,CAN,CAN,77,179,2018,4,107,8480981.0,11,10,3,4
2025-2026,Joey Daccord,SEA,G,40.0,20.0,66.0,57.0,8.0,21.0,59.0,33.0,16.0,25.0,26.0,26.0,33.0,Starter,29,1683.8333333333,0.898,2.92,86.16,82,29,1996-08-19,USA,USA,74,201,2015,7,199,8478916.0,12,12,5,2
2025-2026,John Gibson,DET,G,19.0,12.0,54.0,12.0,20.0,16.0,52.0,58.0,31.0,31.0,31.0,18.0,17.0,Starter,32,1877.1333333333,0.906,2.62,93.8,82,32,1993-07-14,USA,USA,74,210,2011,2,39,8476434.0,21,9,1,3
2025-2026,Jonas Johansson,TBL,G,50.0,39.0,56.0,24.0,72.0,7.0,35.0,38.0,49.0,46.0,46.0,41.0,48.0,Tandem (1B),19,1091.05,0.890,2.91,50.47,53,29,1995-09-19,SWE,SWE,77,220,2014,3,61,8477992.0,10,7,1,0
2025-2026,Jonathan Quick,NYR,G,51.0,61.0,8.0,27.0,71.0,39.0,43.0,48.0,53.0,57.0,58.0,50.0,60.0,Backup,16,882.01666666667,0.885,3.2,44.79,47,39,1986-01-21,USA,USA,73,220,2005,3,72,8471734.0,3,11,2,1
2025-2026,Joonas Korpisalo,BOS,G,48.0,54.0,27.0,53.0,49.0,42.0,69.0,51.0,44.0,37.0,37.0,39.0,45.0,Tandem (1B),20,1071.05,0.897,3.08,60.5,55,31,1994-04-28,FIN,FIN,75,193,2012,3,62,8476914.0,10,8,0,1
2025-2026,Jordan Binnington,STL,G,68.0,64.0,70.0,64.0,42.0,59.0,50.0,25.0,57.0,65.0,67.0,61.0,65.0,Starter,29,1596.6166666667,0.868,3.57,73.08,95,32,1993-07-11,CAN,CAN,74,172,2011,3,88,8476412.0,8,14,6,1
2025-2026,Joseph Woll,TOR,G,14.0,18.0,17.0,25.0,51.0,14.0,31.0,54.0,21.0,5.0,5.0,13.0,8.0,Tandem (1A),21,1180.0166666667,0.911,2.85,61.08,56,27,1998-07-12,USA,USA,75,203,2016,3,62,8479361.0,11,5,4,2
2025-2026,Justus Annunen,NSH,G,61.0,63.0,41.0,58.0,54.0,58.0,3.0,30.0,25.0,40.0,40.0,45.0,66.0,Backup,15,756.1,0.878,3.33,37.02,42,25,2000-03-11,FIN,FIN,76,210,-,-,-,8481020.0,4,6,1,0
2025-2026,Juuse Saros,NSH,G,32.0,52.0,12.0,51.0,47.0,48.0,25.0,53.0,40.0,39.0,39.0,43.0,47.0,Starter,40,2308.2666666667,0.895,3.04,111.32,117,30,1995-04-19,FIN,FIN,71,180,2013,4,99,8477424.0,20,17,3,0
