Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2016-2017,Aaron Ekblad,FLA,D,39.0,128.0,37.0,,159.0,36.0,6.0,12.0,21.0,136.0,143.0,125.0,,39.0,Second Pair,68,1459.2833333333,10,4,29,1996-02-07,CAN,CAN,76,215,2014,1,1,1,,
2016-2017,Adam Clendening,NYR,D,69.0,118.0,,,44.0,86.0,64.0,92.0,1.0,142.0,177.0,160.0,,130.0,Third Pair,31,490.1,2,2,32,1992-10-26,USA,USA,72,194,2011,2,6,36,,
2016-2017,Adam Larsson,EDM,D,192.0,46.0,,37.0,169.0,70.0,194.0,149.0,228.0,179.0,186.0,33.0,,94.0,Second Pair,79,1591.85,4,3,32,1992-11-12,SWE,SWE,75,209,2011,1,4,4,,
2016-2017,Adam McQuaid,BOS,D,188.0,26.0,,1.0,55.0,47.0,217.0,206.0,65.0,209.0,163.0,30.0,,160.0,Second Pair,77,1405.0,2,4,38,1986-10-12,CAN,CAN,76,210,2005,2,25,55,,
2016-2017,Adam Pelech,NYI,D,214.0,198.0,,,227.0,217.0,193.0,78.0,176.0,224.0,16.0,75.0,,150.0,Third Pair,44,740.7,3,1,30,1994-08-16,CAN,CAN,75,210,2012,3,4,65,,
2016-2017,Alec Martinez,LAK,D,45.0,27.0,8.0,2.0,7.0,71.0,58.0,28.0,74.0,35.0,91.0,77.0,,29.0,Second Pair,82,1774.5833333333,9,13,37,1987-07-26,USA,USA,73,210,2007,4,4,95,,
2016-2017,Alex Biega,VAN,D,209.0,219.0,,,207.0,212.0,111.0,224.0,93.0,207.0,194.0,9.0,,223.0,Third Pair,36,474.06666666667,0,1,37,1988-04-04,CAN,CAN,70,195,2006,5,24,147,,
2016-2017,Alex Goligoski,ARI,D,55.0,220.0,63.0,61.0,21.0,225.0,147.0,118.0,186.0,43.0,53.0,122.0,,54.0,First Pair,82,1913.0,6,14,39,1985-07-30,USA,USA,71,173,2004,2,31,61,,
2016-2017,Alex Petrovic,FLA,D,133.0,97.0,,124.0,127.0,95.0,182.0,207.0,213.0,94.0,200.0,19.0,,163.0,Second Pair,49,889.35,1,5,33,1992-03-03,CAN,CAN,76,220,2010,2,6,36,,
2016-2017,Alex Pietrangelo,STL,D,26.0,52.0,48.0,40.0,80.0,111.0,45.0,37.0,166.0,27.0,21.0,220.0,,11.0,First Pair,80,2022.55,14,17,35,1990-01-18,CAN,CAN,75,215,2008,1,4,4,,
2016-2017,Alexander Edler,VAN,D,140.0,155.0,53.0,48.0,183.0,179.0,44.0,66.0,217.0,159.0,171.0,114.0,,35.0,First Pair,68,1653.3333333333,6,7,39,1986-04-21,SWE,SWE,76,210,2004,3,26,91,,
2016-2017,Alexei Emelin,MTL,D,196.0,95.0,,74.0,101.0,52.0,195.0,214.0,201.0,217.0,176.0,11.0,,151.0,Second Pair,76,1620.45,2,3,39,1986-04-25,RUS,RUS,74,218,2004,3,19,84,,
2016-2017,Alexey Marchenko,"DET, TOR",D,210.0,137.0,,105.0,171.0,123.0,216.0,193.0,128.0,197.0,64.0,188.0,,182.0,Third Pair,41,695.0,1,1,33,1992-01-02,RUS,RUS,75,210,2011,7,24,205,,
2016-2017,Andrei Markov,MTL,D,19.0,106.0,32.0,83.0,20.0,80.0,119.0,75.0,98.0,4.0,45.0,198.0,,37.0,Second Pair,62,1353.8333333333,6,21,46,1978-12-20,RUS,RUS,72,200,1998,6,17,162,,
2016-2017,Andrej Sekera,EDM,D,72.0,94.0,22.0,35.0,62.0,148.0,65.0,76.0,152.0,51.0,39.0,192.0,,46.0,Second Pair,80,1718.6333333333,8,13,39,1986-06-08,SVK,SVK,72,200,2004,3,6,71,,
2016-2017,Andrej Sustr,TBL,D,151.0,129.0,,44.0,151.0,75.0,179.0,152.0,219.0,157.0,201.0,193.0,,175.0,Third Pair,80,1407.1166666667,3,5,34,1990-11-29,CZE,CZE,79,217,-,-,-,-,,
