Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2019-2020,Adam Erne,DET,F,398.0,103.0,,,410.0,53.0,286.0,386.0,303.0,397.0,328.0,29.0,,396.0,Bottom 6,56,661.68333333333,2,3,30,1995-04-20,USA,USA,73,212,2013,2,3,33,,
2019-2020,Adam Gaudette,VAN,F,327.0,377.0,189.0,,351.0,397.0,322.0,231.0,34.0,277.0,269.0,250.0,142.0,309.0,Bottom 6,59,730.63333333333,12,7,28,1996-10-03,USA,USA,73,194,2015,5,28,149,,
2019-2020,Adam Henrique,ANA,F,167.0,237.0,116.0,167.0,265.0,309.0,199.0,80.0,203.0,190.0,213.0,254.0,34.0,130.0,Second Line,71,1197.5666666667,26,11,35,1990-02-06,CAN,CAN,72,195,2008,3,21,82,,
2019-2020,Adam Lowry,WPG,F,374.0,64.0,,42.0,337.0,103.0,349.0,360.0,401.0,395.0,149.0,39.0,10.0,307.0,Bottom 6,49,733.11666666667,4,3,32,1993-03-29,USA,USA,78,208,2011,3,6,67,,
2019-2020,Adrian Kempe,LAK,F,277.0,191.0,131.0,157.0,125.0,80.0,189.0,272.0,125.0,191.0,319.0,196.0,117.0,220.0,Second Line,69,1104.8333333333,11,14,28,1996-09-13,SWE,SWE,74,200,2014,1,29,29,,
2019-2020,Aleksander Barkov,FLA,F,77.0,261.0,56.0,96.0,124.0,316.0,174.0,107.0,237.0,28.0,14.0,423.0,23.0,22.0,First Line,66,1320.9833333333,20,22,29,1995-09-02,FIN,FIN,75,215,2013,1,2,2,,
2019-2020,Alex Chiasson,EDM,F,353.0,283.0,214.0,208.0,296.0,254.0,290.0,146.0,224.0,234.0,373.0,199.0,,228.0,Bottom 6,65,853.03333333333,11,7,34,1990-10-01,CAN,CAN,76,208,2009,2,8,38,,
2019-2020,Alex DeBrincat,CHI,F,78.0,409.0,53.0,,247.0,396.0,34.0,37.0,61.0,99.0,66.0,347.0,,67.0,Second Line,70,1224.5666666667,18,19,27,1997-12-18,USA,USA,68,178,2016,2,9,39,,
2019-2020,Alex Galchenyuk,"MIN, PIT",F,251.0,334.0,62.0,,273.0,306.0,117.0,178.0,35.0,84.0,279.0,246.0,201.0,179.0,Bottom 6,59,725.75,8,12,31,1994-02-12,USA,USA,73,194,2012,1,3,3,,
2019-2020,Alex Iafallo,LAK,F,286.0,145.0,217.0,166.0,261.0,184.0,267.0,248.0,298.0,203.0,206.0,289.0,,163.0,First Line,70,1324.9333333333,17,16,31,1993-12-21,USA,USA,72,200,-,-,-,-,,
2019-2020,Alex Killorn,TBL,F,79.0,179.0,120.0,55.0,121.0,64.0,222.0,86.0,264.0,151.0,331.0,243.0,,148.0,Second Line,68,1218.9166666667,26,12,35,1989-09-14,CAN,CAN,73,194,2007,3,16,77,,
2019-2020,Alex Nylander,CHI,F,133.0,421.0,212.0,,183.0,413.0,260.0,242.0,354.0,196.0,173.0,362.0,,308.0,Bottom 6,65,788.78333333333,10,9,27,1998-03-02,CAN,CAN,73,192,2016,1,8,8,,
2019-2020,Alex Ovechkin,WSH,F,7.0,425.0,42.0,,229.0,399.0,2.0,2.0,88.0,126.0,251.0,97.0,,5.0,First Line,68,1404.1166666667,48,13,39,1985-09-17,RUS,RUS,75,238,2004,1,1,1,,
2019-2020,Alex Tuch,VGK,F,131.0,52.0,81.0,,252.0,69.0,54.0,165.0,139.0,155.0,24.0,169.0,,139.0,Bottom 6,42,614.06666666667,8,6,29,1996-05-10,USA,USA,76,219,2014,1,18,18,,
2019-2020,Alexander Kerfoot,TOR,F,231.0,141.0,165.0,,141.0,162.0,354.0,227.0,134.0,141.0,326.0,312.0,75.0,209.0,Bottom 6,65,960.0,9,11,30,1994-08-11,CAN,CAN,71,186,2012,5,29,150,,
2019-2020,Alexander Radulov,DAL,F,130.0,120.0,39.0,,48.0,198.0,94.0,93.0,14.0,73.0,407.0,271.0,,50.0,Second Line,60,1004.5166666667,15,11,39,1986-07-05,RUS,RUS,73,200,2004,1,15,15,,
2019-2020,Alexander Steen,STL,F,288.0,16.0,242.0,41.0,232.0,24.0,295.0,321.0,327.0,249.0,51.0,316.0,,206.0,Bottom 6,55,771.86666666667,7,6,41,1984-03-01,CAN,SWE,72,211,2002,1,24,24,,
2019-2020,Alexander Wennberg,CBJ,F,388.0,136.0,170.0,16.0,77.0,135.0,434.0,428.0,210.0,209.0,158.0,397.0,107.0,294.0,Second Line,57,950.91666666667,5,7,30,1994-09-22,SWE,SWE,74,190,2013,1,14,14,,
2019-2020,Alexandre Texier,CBJ,F,270.0,165.0,,,319.0,97.0,314.0,229.0,153.0,317.0,311.0,320.0,,333.0,Bottom 6,36,458.93333333333,6,4,25,1999-09-13,FRA,FRA,73,186,2017,2,14,45,,
2019-2020,Anders Bjork,BOS,F,307.0,41.0,,,243.0,26.0,369.0,267.0,46.0,274.0,266.0,275.0,,329.0,Bottom 6,58,749.98333333333,9,5,28,1996-08-05,USA,USA,72,190,2014,5,26,146,,
2019-2020,Anders Lee,NYI,F,103.0,354.0,98.0,,110.0,388.0,68.0,61.0,167.0,180.0,307.0,176.0,,75.0,First Line,68,1244.15,20,13,35,1990-07-03,USA,USA,75,235,2009,6,1,152,,
2019-2020,Andre Burakovsky,COL,F,62.0,304.0,232.0,,107.0,340.0,201.0,66.0,185.0,117.0,193.0,333.0,,166.0,Bottom 6,58,881.63333333333,20,14,30,1995-02-09,AUT,SWE,75,209,2013,1,23,23,,
2019-2020,Andreas Athanasiou,"DET, EDM",F,177.0,412.0,99.0,,402.0,389.0,47.0,105.0,141.0,162.0,33.0,344.0,190.0,123.0,Second Line,55,871.45,11,9,30,1994-08-06,CAN,CAN,74,190,2012,4,19,110,,
2019-2020,Andreas Johnsson,TOR,F,124.0,303.0,181.0,,27.0,333.0,212.0,138.0,64.0,154.0,291.0,245.0,,182.0,Second Line,43,677.45,8,7,30,1994-11-21,SWE,SWE,70,195,2013,7,21,202,,
2019-2020,Andrei Svechnikov,CAR,F,71.0,345.0,179.0,,4.0,241.0,58.0,82.0,225.0,139.0,422.0,130.0,,105.0,Second Line,68,1138.1833333333,24,17,25,2000-03-26,RUS,RUS,74,195,2018,1,2,2,,
2019-2020,Andrew Agozzino,"ANA, PIT",F,395.0,3.0,,,326.0,2.0,440.0,415.0,183.0,188.0,275.0,77.0,147.0,437.0,Fringe,22,161.81666666667,1,2,34,1991-01-03,CAN,CAN,70,187,-,-,-,-,,
2019-2020,Andrew Cogliano,DAL,F,325.0,219.0,,53.0,266.0,192.0,323.0,417.0,395.0,219.0,270.0,160.0,,362.0,Bottom 6,68,848.1,3,9,38,1987-06-14,CAN,CAN,70,179,2005,1,25,25,,
2019-2020,Andrew Copp,WPG,F,253.0,161.0,267.0,45.0,227.0,111.0,296.0,287.0,319.0,296.0,63.0,214.0,43.0,244.0,Second Line,63,1114.8666666667,10,9,31,1994-07-08,USA,USA,73,199,2013,4,13,104,,
2019-2020,Andrew Mangiapane,CGY,F,92.0,49.0,,,151.0,41.0,175.0,100.0,312.0,253.0,216.0,175.0,,259.0,Bottom 6,68,931.66666666667,17,12,29,1996-04-04,CAN,CAN,70,184,2015,6,15,166,,
2019-2020,Andrew Shaw,CHI,F,115.0,379.0,154.0,,26.0,380.0,172.0,213.0,145.0,135.0,398.0,55.0,81.0,174.0,Bottom 6,26,375.9,3,3,33,1991-07-20,CAN,CAN,71,182,2011,5,18,139,,
2019-2020,Anthony Beauvillier,NYI,F,175.0,365.0,144.0,,254.0,362.0,186.0,121.0,186.0,261.0,34.0,203.0,,171.0,Second Line,68,1173.6833333333,18,15,28,1997-06-08,CAN,CAN,71,180,2015,1,28,28,,
2019-2020,Anthony Cirelli,TBL,F,189.0,32.0,247.0,112.0,178.0,43.0,352.0,183.0,390.0,124.0,22.0,206.0,129.0,178.0,First Line,68,1255.35,16,19,27,1997-07-15,CAN,CAN,72,189,2015,3,11,72,,
2019-2020,Anthony Duclair,OTT,F,76.0,376.0,115.0,171.0,188.0,404.0,53.0,47.0,54.0,212.0,68.0,292.0,,133.0,Second Line,66,1073.2166666667,23,12,29,1995-08-26,CAN,CAN,71,197,2013,3,19,80,,
2019-2020,Anthony Mantha,DET,F,55.0,209.0,65.0,,109.0,141.0,33.0,49.0,72.0,59.0,282.0,230.0,,46.0,First Line,43,812.41666666667,16,15,30,1994-09-16,CAN,CAN,77,234,2013,1,20,20,,
2019-2020,Antoine Roussel,VAN,F,195.0,266.0,265.0,192.0,212.0,312.0,280.0,240.0,168.0,148.0,435.0,107.0,,278.0,Bottom 6,41,485.21666666667,7,3,35,1989-11-21,FRA,FRA,71,200,-,-,-,-,,
2019-2020,Antti Suomela,SJS,F,236.0,249.0,,,152.0,258.0,250.0,398.0,184.0,163.0,294.0,171.0,131.0,360.0,Bottom 6,20,193.76666666667,1,2,31,1994-03-17,FIN,FIN,72,180,-,-,-,-,,
2019-2020,Anze Kopitar,LAK,F,221.0,199.0,52.0,89.0,164.0,249.0,341.0,150.0,349.0,56.0,52.0,367.0,12.0,54.0,First Line,70,1472.8,21,23,37,1987-08-24,SVN,SVN,75,225,2005,1,11,11,,
2019-2020,Artem Anisimov,OTT,F,209.0,381.0,92.0,164.0,242.0,421.0,160.0,85.0,129.0,303.0,208.0,430.0,89.0,187.0,Bottom 6,49,678.58333333333,15,4,37,1988-05-24,RUS,RUS,76,199,2006,2,24,54,,
2019-2020,Artemi Panarin,NYR,F,9.0,382.0,48.0,,8.0,259.0,80.0,43.0,21.0,5.0,83.0,428.0,,17.0,First Line,69,1421.6666666667,32,35,33,1991-10-30,RUS,RUS,72,173,-,-,-,-,,
2019-2020,Artturi Lehkonen,MTL,F,81.0,102.0,280.0,82.0,99.0,56.0,102.0,279.0,173.0,226.0,148.0,140.0,,200.0,Bottom 6,70,1079.95,13,11,30,1995-07-04,FIN,FIN,71,179,2013,2,25,55,,
2019-2020,Austin Wagner,LAK,F,198.0,269.0,,,328.0,177.0,97.0,175.0,226.0,361.0,267.0,30.0,,356.0,Bottom 6,65,763.28333333333,6,2,28,1997-06-23,CAN,CAN,73,195,2015,4,8,99,,
2019-2020,Austin Watson,NSH,F,373.0,105.0,,13.0,422.0,248.0,320.0,235.0,439.0,339.0,401.0,27.0,,258.0,Bottom 6,53,615.86666666667,6,4,33,1992-01-13,USA,USA,76,204,2010,1,18,18,,
2019-2020,Auston Matthews,TOR,F,2.0,216.0,4.0,,44.0,360.0,7.0,3.0,27.0,55.0,50.0,404.0,35.0,4.0,First Line,70,1467.8666666667,47,19,27,1997-09-17,USA,USA,75,208,2016,1,1,1,,
2019-2020,Barclay Goodrow,"SJS, TBL",F,328.0,5.0,,137.0,245.0,35.0,342.0,357.0,257.0,362.0,369.0,67.0,51.0,276.0,Second Line,70,1114.8166666667,8,9,32,1993-02-26,CAN,CAN,74,204,-,-,-,-,,
2019-2020,Barrett Hayton,ARI,F,361.0,406.0,,,282.0,400.0,243.0,432.0,18.0,298.0,432.0,218.0,160.0,409.0,Bottom 6,20,222.85,1,2,25,2000-06-09,CAN,CAN,73,207,2018,1,5,5,,
2019-2020,Blake Coleman,"NJD, TBL",F,116.0,117.0,,23.0,352.0,193.0,36.0,98.0,400.0,376.0,357.0,45.0,187.0,118.0,Second Line,66,1103.3833333333,21,5,33,1991-11-28,USA,USA,71,199,2011,3,14,75,,
2019-2020,Blake Comeau,DAL,F,343.0,220.0,,87.0,304.0,150.0,372.0,353.0,419.0,389.0,349.0,71.0,207.0,314.0,Bottom 6,55,821.7,8,3,39,1986-02-18,CAN,CAN,73,200,2004,2,17,47,,
2019-2020,Blake Lizotte,LAK,F,365.0,133.0,207.0,118.0,81.0,101.0,356.0,412.0,316.0,198.0,177.0,305.0,148.0,330.0,Bottom 6,65,907.4,6,10,27,1997-12-13,USA,USA,69,170,-,-,-,-,,
2019-2020,Blake Wheeler,WPG,F,117.0,250.0,15.0,159.0,194.0,278.0,110.0,156.0,100.0,9.0,272.0,222.0,174.0,23.0,First Line,71,1371.6666666667,22,27,38,1986-08-31,USA,USA,77,220,2004,1,5,5,,
2019-2020,Bo Horvat,VAN,F,206.0,343.0,95.0,200.0,148.0,406.0,149.0,118.0,378.0,122.0,127.0,338.0,6.0,52.0,First Line,69,1361.5,22,20,30,1995-04-05,CAN,CAN,72,215,2013,1,9,9,,
2019-2020,Bobby Ryan,OTT,F,140.0,225.0,156.0,,123.0,317.0,98.0,174.0,97.0,176.0,330.0,127.0,,185.0,Bottom 6,24,324.41666666667,5,2,38,1987-03-17,USA,USA,74,208,2005,1,2,2,,
2019-2020,Boone Jenner,CBJ,F,191.0,114.0,172.0,21.0,228.0,286.0,105.0,296.0,398.0,272.0,230.0,114.0,20.0,137.0,First Line,70,1268.15,11,7,32,1993-06-15,CAN,CAN,74,203,2011,2,7,37,,
2019-2020,Brad Marchand,BOS,F,6.0,264.0,26.0,28.0,25.0,71.0,90.0,21.0,23.0,8.0,100.0,301.0,,14.0,First Line,70,1361.65,28,36,37,1988-05-11,CAN,CAN,69,176,2006,3,8,71,,
2019-2020,Brad Richardson,ARI,F,290.0,180.0,,73.0,284.0,300.0,282.0,283.0,435.0,371.0,355.0,183.0,24.0,265.0,Bottom 6,59,805.11666666667,6,5,40,1985-02-04,CAN,CAN,72,190,2003,5,27,163,,
2019-2020,Brady Tkachuk,OTT,F,35.0,359.0,186.0,,208.0,363.0,19.0,119.0,263.0,101.0,198.0,36.0,186.0,76.0,First Line,71,1344.3333333333,21,18,25,1999-09-16,USA,USA,76,221,2018,1,4,4,,
2019-2020,Brandon Saad,CHI,F,51.0,423.0,175.0,62.0,89.0,422.0,83.0,72.0,197.0,225.0,102.0,358.0,,126.0,Second Line,58,971.35,21,8,32,1992-10-27,USA,USA,73,215,2011,2,13,43,,
2019-2020,Brandon Sutter,VAN,F,323.0,408.0,,80.0,388.0,412.0,285.0,269.0,438.0,349.0,54.0,279.0,79.0,246.0,Bottom 6,44,653.38333333333,8,6,36,1989-02-14,USA,CAN,75,190,2007,1,11,11,,
2019-2020,Brandon Tanev,PIT,F,344.0,6.0,,11.0,367.0,5.0,292.0,246.0,397.0,368.0,8.0,14.0,,217.0,Bottom 6,68,1003.6833333333,11,4,33,1991-12-31,CAN,CAN,72,189,-,-,-,-,,
2019-2020,Brayden Point,TBL,F,27.0,156.0,67.0,201.0,53.0,182.0,163.0,19.0,71.0,23.0,39.0,415.0,64.0,33.0,First Line,66,1247.5166666667,25,26,29,1996-03-13,CAN,CAN,71,180,2014,3,19,79,,
2019-2020,Brayden Schenn,STL,F,174.0,175.0,36.0,,136.0,115.0,231.0,106.0,89.0,46.0,324.0,149.0,84.0,86.0,First Line,71,1308.7,25,21,33,1991-08-22,CAN,CAN,73,199,2009,1,5,5,,
2019-2020,Brendan Gallagher,MTL,F,1.0,62.0,163.0,,17.0,82.0,1.0,18.0,348.0,152.0,204.0,200.0,,39.0,Second Line,59,997.71666666667,22,12,33,1992-05-06,CAN,CAN,69,186,2010,5,27,147,,
2019-2020,Brendan Leipsic,WSH,F,298.0,159.0,273.0,,240.0,128.0,288.0,404.0,165.0,182.0,69.0,179.0,,366.0,Bottom 6,61,558.78333333333,3,4,31,1994-05-19,CAN,CAN,70,180,2012,3,28,89,,
2019-2020,Brendan Lemieux,NYR,F,274.0,351.0,244.0,,349.0,425.0,229.0,182.0,289.0,350.0,132.0,19.0,,306.0,Bottom 6,59,759.35,6,8,29,1996-03-15,USA,USA,73,215,2014,2,1,31,,
2019-2020,Brendan Perlini,"CHI, DET",F,372.0,426.0,275.0,,429.0,427.0,121.0,318.0,117.0,408.0,313.0,237.0,,354.0,Bottom 6,40,427.83333333333,1,2,29,1996-04-27,GBR,GBR,75,211,2014,1,12,12,,
